close,volume,turnover,rsi,volume_ma,volume_ma_diff,middle_diff,band_diff,di_diff,bb_diff,exit_price,up_ratio,dw_ratio,rsi_up_ratio
16738,8180.966,136912864.7,34.22,1959.3269285714284,482.46,-16.14,25.51,-14.51,-101,16839,0.24,0.76,0.3469
17328.5,7135.205,123798908.6,41.56,2430.0598571428573,270.57,-3.59,-102.86,-16.57,-149.5,17478,0.24,0.76,0.375
21025,38695.299,818733162.1,40.16,9137.850071428571,2570.77,12.31,88.5,-7.87,269.5,20755.5,0.43,0.5700000000000001,0.375
22457.5,23415.281,526800774.9,37.27,6504.612999999999,1496.37,-47,-103.31,-15.16,-298.5,22756,0.43,0.5700000000000001,0.3469
22631,18056.4,408095650.7,35.29,7569.833714285714,152.69,-45.31,126.65,-14.08,21.5,22609.5,0.43,0.5700000000000001,0.3469
22646,19122.421,433896508.8,35.19,6613.898214285714,1175.41,-49.49,98.17,-16.79,-382,23028,0.24,0.76,0.3469
23193,27841.632,648845847.3,32.81,5263.905,707.94,-35.61,-61.11,-30.19,498.5,22694.5,0.43,0.5700000000000001,0.3469
23447,18723.276,443087470.7,42.29,7850.662071428572,1107.96,17.05,-157.93,-18.85,16,23431,0.43,0.5700000000000001,0.375
23315,4471.93,104551533.1,40.26,6623.382428571429,257.41,-35.15,-302.89,-3.4,-39.5,23354.5,0.44,0.56,0.375
23161.5,14613.311,338428667.1,31.7,2634.113214285714,967.68,-22.02,39.81,-26.15,227.5,22934,0.43,0.5700000000000001,0.3469
22852,5214.028,119319331.5,19.23,4926.204214285714,274.11,-120.31,355.1,-16.55,81.5,22770.5,0.44,0.56,0.5714
22879.5,11138.82,255485290.9,33.29,3292.2485,363.55,-44.5,-81.37,-21.39,79,22800.5,0.43,0.5700000000000001,0.3469
22518.5,25221.429,569242152.1,26.75,6976.352357142857,1434.58,-74.02,48.13,-17.35,-167,22685.5,0.44,0.56,0.3667
22034.5,44064.014,975030936.8,20.43,7988.489928571428,2914.36,-123.57,136.12,-18.97,154.5,21880,0.27,0.73,0.3667
21650.4,17577.207,380882457.6,30.59,5254.151357142857,1117.11,-85.59,-995.23,-1.43,10.400000000001455,21640,0.44,0.56,0.3469
21524.5,12842.651,276834721.9,31.41,6064.899357142857,653.13,-64.08,-182.86,-3.77,-158.4,21682.9,0.44,0.56,0.3469
24003.8,22983.971,556146646.2,42.07,13158.344500000001,1347.99,-7.23,137.36,-23.45,259.09999999999854,23744.7,0.43,0.5700000000000001,0.375
24358.4,25434.57,623942553.3,38.01,7610.489571428571,1753.87,13.07,226.25,0.9,-125.2,24483.6,0.43,0.5700000000000001,0.3469
24266.9,11304.342,275081154.5,36.33,9255.246000000001,684.57,-60.97,144.64,-30.56,-216.7,24483.6,0.27,0.73,0.3469
24575.7,7361.368,181611639,40.02,7144.877214285714,392.41,-58.26,117.93,-19.48,185.70000000000073,24390,0.43,0.5700000000000001,0.375
24204.6,19172.58,465560355.6,34.38,11942.561785714284,1105.71,-76.07,177.65,-7.63,240.29999999999927,23964.3,0.44,0.56,0.3469
23720.1,27836.289,662180098.8,30.33,8965.162428571428,1366.28,-100.88,-241.45,-7.18,-393,24113.1,0.44,0.56,0.3469
23777.9,14097.128,335438502.9,39.53,4620.9705,759.67,-29.12,-150.77,-4.47,614.4000000000015,23163.5,0.43,0.5700000000000001,0.3469
22926.9,5404.077,124192476.5,28.27,2692.964285714286,-360.65,-78.03,-1035.43,-2.78,-18.2,22945.1,0.44,0.56,0.3667
22930,11658.178,266442540.6,33.02,3807.6559999999995,750.22,-42.75,-72.75,-6.85,-191.5,23121.5,0.27,0.73,0.3469
23131.3,12783.357,295516806.4,36.47,6375.7483571428575,464.84,-47.63,134.18,-20.42,-189.5,23320.8,0.43,0.5700000000000001,0.3469
22146.1,71431.256,1609909457,16.02,10142.365357142857,4962.8,-114.57,778.4,-39.48,-194.8,22340.9,0.43,0.5700000000000001,0.5714
22293.2,2803.385,62574759,33.25,4702.870428571428,-40.9,-77.48,-1837.87,0.67,-56,22349.2,0.27,0.73,0.3469
22329.1,798.193,17827648.65,38.53,4601.723357142857,-77.17,-36.86,-664.18,3.11,-43.8,22372.9,0.27,0.73,0.3469
22293.8,857.516,19129193.2,38.58,1392.277214285714,6.82,-18.3,-60.26,-1.67,-42.8,22336.6,0.27,0.73,0.3469
22229.9,9852.102,219451187.7,33.28,7129.998214285714,594.25,-37.52,44.42,-24.7,90.40000000000146,22139.5,0.43,0.5700000000000001,0.3469
21944.2,14934.674,327846664.6,28.97,6116.240714285714,-3075.56,-51.54,-57.2,-7.09,-183.9,22128.1,0.44,0.56,0.3667
21800.1,15269.859,333076919.3,34.58,7351.5608571428575,854.69,-37.13,-17.05,-3.5,159,21641.1,0.27,0.73,0.3469
21472.7,20653.466,444628388.7,29.22,6354.941928571429,1292.92,-48.83,-292.86,-2.54,1432.6000000000022,20040.1,0.44,0.56,0.3667
24471.2,18637.757,458469228.3,44.02,13182.268785714285,413.22,-23.31,-1208.68,-2.12,105.20000000000073,24366,0.43,0.5700000000000001,0.375
26897.3,8066.714,218108482.1,42.98,8847.827214285715,-141.85,-27.91,-46.6,-16.25,-292.9,27190.2,0.43,0.5700000000000001,0.375
26642.6,64048.994,1746772962,23.4,17937.02571428571,4313.84,-107.07,1200.98,-34.86,-964.2,27606.8,0.43,0.5700000000000001,0.3667
27562.3,19675.757,544374021.6,37.74,5675.477357142859,1007.08,-74.78,-459.75,-22.33,290.2000000000007,27272.1,0.43,0.5700000000000001,0.3469
27175.6,11609.049,316466711.8,34.63,4862.077071428573,564.45,-49.2,-72.15,-8.85,-339.3,27514.9,0.44,0.56,0.3469
26936.7,34748.338,949732594.6,24.99,6221.700000000002,2253.15,-99.8,500.7,-26.51,-117.1,27053.8,0.24,0.76,0.3667
26870,5106.192,137382788.2,37.35,4100.655285714287,5.6,-67.61,-1221.65,0.57,-452.7,27322.7,0.27,0.73,0.3469
27829.9,22234.482,619983612.1,34.49,8357.062071428572,-634.49,-101.18,248.06,-21.65,-404.4,28234.3,0.43,0.5700000000000001,0.3469
