close,volume,turnover,rsi,upper,middle,lower,macd,macdsignal,macdhist,p_di,m_di,adx,adxr,volume_ma,volume_ma_diff,middle_diff,band_diff,di_diff,bb_diff,up_ratio,dw_ratio,rsi_up_ratio
16930.5,9355.198,158172660,66.84,16903.98,16813.06,16722.14,8.88,-5.16,14.05,33.25,12.8,19.78,15.79,4718.756714285714,566.33,21.71,37.77,26.96,-4.5,0.3,0.7,0.3898
16990,4902.592,83226058.93,70.69,16965.27,16935.04,16904.81,9.1,7.15,1.95,47.27,10.63,30.28,29.31,1078.4281428571428,291.99,6.15,24.52,25.47,-60,0.44,0.56,0.4048
17119.5,17641.011,301267545.1,77.17,17041.34,16955.3,16869.27,20.56,8.93,11.62,60.05,4.8,43.07,35.1,2914.2704999999996,1093.29,23.59,107.38,19.34,128,0.44,0.56,0.4048
17331.5,5970.819,103600481.9,75.59,17320.51,17208.67,17096.83,78.44,72.71,5.72,33.9,2.34,72.82,65.89,4258.110571428571,261.6,52.21,-192.98,-3.86,-120.5,0.48,0.52,0.4048
17308.5,9730.164,168432493,62.84,17302.5,17231.25,17160,23.51,20.19,3.32,31.57,15.63,27.19,37.28,3072.530071428572,578.74,14,-45.76,11.63,68,0.44,0.56,0.3898
17478,15199.06,265562334.1,63.33,17464.73,17394.07,17323.42,18.62,26.27,-7.64,34.27,16.71,24.09,29.48,3469.041357142857,982.51,-4.11,8.72,9.98,596.5,0.3,0.7,0.3898
18259,22898.825,413875020.6,90.57,17986.45,17561.59,17136.72,129.31,59.64,69.67,57.47,5.62,34.98,33.19,8011.232142857143,1562.97,141.63,715.98,48.84,-65.5,0.48,0.52,0.01
18833.5,46472.443,863758206.8,78.36,18549.64,18107.56,17665.49,189.19,175.03,14.15,43.75,10.82,43.39,45.39,11718.571857142857,3114.9,89.54,-297.91,16.11,-33,0.44,0.56,0.4048
18983.5,15334.522,291355285.4,64.03,18931.08,18778.2,18625.33,161.48,188.22,-26.73,34.09,11.09,41.85,43.86,4649.968428571429,680.11,59.7,-718.13,6.56,1943,0.44,0.56,0.3898
19451.5,16331.951,316699716.7,72.67,19427.32,19010.43,18593.54,222.88,199.04,23.84,33.32,6.68,49.07,45.53,10559.019642857142,1036.01,161.09,553.3,7.86,1457.5,0.48,0.52,0.4048
20997,4108.019,86141213.7,68.8,20949.8,20685.28,20420.75,274.47,331.87,-57.39,29.96,15.45,41.88,53.15,10751.962928571429,-110.93,106.41,-938.48,1.28,-317.5,0.48,0.52,0.3898
21192.5,20809.594,440200909.1,69.97,21119.9,20872.1,20624.3,94.78,79.36,15.42,27.02,19.45,13.97,16.67,6685.568714285714,1347.39,64.06,159.37,1.28,-442.5,0.44,0.56,0.3898
21351.5,7843.463,167070305.9,62.43,21322,21177.62,21033.23,55.58,51.14,4.43,29.85,9.65,21.89,17.62,7886.786142857142,345.34,25.88,24.12,11.75,-142.5,0.44,0.56,0.3898
21398.5,23373.39,498666128.2,61.09,21381.9,21245.43,21108.96,25.58,25.28,0.29,26.38,14.63,22.24,24.74,5041.728357142857,1315.65,7.54,14.42,8.44,-373.5,0.44,0.56,0.3898
21075,9738.088,204982412.2,63.78,21036.05,20861.41,20686.78,-7.04,-50.54,43.49,21.18,15.65,22.15,24.85,5613.4522857142865,588.62,40.06,110,13.26,-108,0.45,0.55,0.3898
21144,7575.924,159816235.5,62.92,21129.37,20993.01,20856.65,33.26,23.37,9.89,21.77,13.45,14.56,15.9,4261.2005,227.4,33.56,-147.87,9.59,1411,0.44,0.56,0.3898
22288.5,55632.798,1221737023,88.76,21849.83,21239.72,20629.61,187.74,87.62,100.11,51.36,5.34,28.81,21.6,10578.557857142858,3757.86,206.06,951.31,34.45,337.5,0.48,0.52,0.75
23190,9170.802,212069605.9,76.88,23071.75,22626.03,22180.3,383.06,392.92,-9.85,36.6,4.26,63.42,54.82,10628.958499999999,396.5,195.34,-1075.88,-4.28,-451,0.48,0.52,0.4048
23067.5,5447.772,125038962.6,60.71,23036.77,22818.86,22600.94,38.76,14.18,24.58,21.35,12.55,17.83,20.26,7878.763714285714,203.27,29.18,48.68,16.5,-275.5,0.3,0.7,0.3898
22938,13644.301,312091433.3,60.7,22900.08,22696.47,22492.86,-15.21,-53.33,38.11,23.89,21.84,28.35,28.26,6293.003357142858,811,32.22,-136.23,13.98,29.5,0.45,0.55,0.3898
23108,4808.954,110959001.1,58.27,23093.14,23015.99,22938.85,1.02,-6.91,7.94,22.26,14.74,11.82,15.6,2010.6557857142855,239.41,7.57,-60.15,7.52,320.5,0.3,0.7,0.3714
23448.5,10629.241,248849360.9,70.63,23416.81,23163.17,22909.52,75.19,47.48,27.71,38.02,8.7,32.32,22.17,4168.0416428571425,636.66,61.22,219.38,5.77,344,0.48,0.52,0.4048
23895.5,17930.423,427579174.7,83.04,23850.11,23430.88,23011.66,168.35,125.38,42.96,39.14,4.51,51.16,38.14,6991.473285714285,1181.76,133.04,297.22,3.1,-198,0.48,0.52,0.75
23381,55549.888,1285350394,67.85,23250.96,23078.95,22906.94,20.94,2.02,18.91,27.3,12.79,16.15,16,7359.091428571429,3892.41,25.31,90.28,18.1,412,0.45,0.55,0.3898
24064.5,13532.161,325541416.5,65.75,23998.88,23760.64,23522.4,128.58,137.41,-8.83,22.92,14.43,25.52,31.38,6420.500357142858,768.19,73.57,-499.25,3.12,-617.5,0.48,0.52,0.3898
23503,8890.112,209043937.5,57.23,23496.7,23399.52,23302.34,-23.61,-42.54,18.93,23.87,19.5,33.67,33.23,2032.0517857142856,534.34,6.68,-153.58,18.02,-93.5,0.3,0.7,0.3714
