,Unnamed: 0.1,Unnamed: 0,start_at,open,high,low,close,volume,turnover,date,funding_rate,oi,rsi,upper1,lower1,middle,upper2,lower2,upper3,lower3,macd,macdsignal,macdhist,p_di,m_di,adx,adxr,volume_ma,volume_ma_diff,middle_diff,band_diff,di_diff,sma,ema,state,bb_direction,enter_price,exit_price,current_profit,bb_profit,profit_max,profit_min,profit_mean,profit_ma
20,20,152,1641513600000.0,43110.5,43137.0,42742.0,42800.0,2328.831,99907453.4235,2022-01-07 00:00:00,0.0001,16478.682,36.41,43451.16,43057.11,43254.13,43648.18,42860.08,43845.21,42663.06,-334.5,-438.89,104.39,10.64,28.74,46.37,49.02,1870.6117142857145,-18.55,-47.8,-0.35,-5.37,43119.11,42973.64,PositionState,lower,42800.0,41953.0,0.0,847.0,1460.5,-203.5,833.1,1064.479999999996
61,61,193,1641661200000.0,41349.0,41398.5,40808.0,40845.0,6225.291,256143278.531,2022-01-08 17:00:00,0.0001,16688.766,28.44,42024.6,41466.39,41745.5,42303.7,41187.29,42582.8,40908.19,-198.82,-133.36,-65.45,11.9,33.29,27.0,29.0,1961.8585714285716,374.83,-94.79,421.61,-7.53,41700.16,41188.81,PositionState,lower,40845.0,41782.0,0.0,-937.0,154.0,-937.0,-192.9,-178.61000000000058
104,104,236,1641816000000.0,41567.5,41614.5,40950.0,40968.0,5809.468,239633860.4245,2022-01-10 12:00:00,0.0001,17726.588,32.94,42135.74,41456.14,41795.94,42475.53,41116.34,42815.33,40776.54,-94.5,1.17,-95.68,16.05,33.82,11.33,11.97,1998.477357142857,325.54,-87.14,307.93,-11.71,41783.38,41330.23,PositionState,lower,40968.0,41899.0,0.0,-931.0,179.0,-931.0,-118.6,-96.96999999999387
181,181,313,1642093200000.0,43245.5,43245.5,42582.0,42830.0,6115.639,261910925.356,2022-01-13 17:00:00,0.0001,18131.04599999,36.84,43812.73,43251.24,43531.99,44093.48,42970.5,44374.23,42689.75,16.47,139.7,-123.23,20.55,30.12,34.94,40.07,2920.7996428571428,345.53,-73.88,296.17,-9.2,43591.11,43122.54,PositionState,lower,42830.0,42951.5,0.0,-121.5,798.5,-121.5,239.13636363636363,584.0500000000029
276,276,408,1642435200000.0,42483.5,42521.5,42120.0,42251.5,4671.976,197623532.74,2022-01-17 16:00:00,0.0001,18914.41999999,31.85,42911.47,42509.85,42710.66,43112.29,42309.03,43313.1,42108.22,-141.07,-107.32,-33.74,11.17,35.65,29.35,23.36,2012.415428571429,258.8,-48.32,105.49,-6.83,42629.05,42410.24,PositionState,lower,42251.5,42357.0,0.0,-105.5,805.5,-105.5,296.03333333333336,377.9799999999959
355,355,487,1642719600000.0,41164.5,41180.5,40600.0,40702.0,6188.287,252653863.3515,2022-01-20 23:00:00,0.0001,18947.09999999,29.37,42785.11,41440.25,42112.68,43457.54,40767.83,44129.97,40095.4,-96.84,113.03,-209.88,20.19,39.41,24.98,18.13,4991.599642857143,330.56,-148.5,364.65,-4.98,42350.94,41160.96,PositionState,lower,40702.0,35438.5,0.0,5263.5,6328.5,-228.5,3842.063636363636,5877.309999999998
438,438,570,1643018400000.0,34498.5,34569.5,33160.0,33270.5,17196.619,580165014.327,2022-01-24 10:00:00,0.0001,17463.38,27.78,35602.34,34473.17,35037.76,36166.92,33908.59,36731.5,33344.01,-306.8,-140.16,-166.64,15.97,35.92,16.93,21.16,4677.638428571429,989.06,-186.01,748.66,-17.15,34851.22,34011.83,PositionState,lower,33270.5,35322.5,0.0,-2052.0,195.0,-2052.0,-587.4375,-703.1199999999953
497,497,629,1643230800000.0,36985.5,37139.0,36310.5,36320.0,4191.514,153618606.8185,2022-01-26 21:00:00,-0.00011039,16667.144,36.28,37934.65,36963.59,37449.12,38420.18,36478.06,38905.71,35992.53,120.47,313.34,-192.86,21.21,23.56,28.73,28.4,5516.116285714286,114.6,-118.84,106.56,-7.39,37711.38,36852.08,PositionState,lower,36320.0,36662.0,0.0,-342.0,596.5,-635.0,48.4,359.6600000000035
597,597,729,1643590800000.0,36833.5,36945.0,36744.0,36818.5,3094.398,114025068.809,2022-01-31 01:00:00,6.852e-05,17266.487,31.12,38020.57,37302.92,37661.75,38379.4,36944.09,38738.22,36585.27,-162.86,-46.64,-116.22,17.65,33.9,20.27,22.92,2185.828714285715,114.9,-88.76,422.99,-6.4,37551.55,37068.36,PositionState,lower,36818.5,37470.0,0.0,-651.5,0.0,-651.5,-265.6428571428572,-255.37000000000265
659,659,791,1643814000000.0,37710.0,37824.0,37368.0,37432.0,7196.671,270368498.344,2022-02-02 15:00:00,-2.667e-05,19102.553,31.35,38625.77,38000.38,38313.07,38938.47,37687.68,39251.17,37374.98,-116.45,-9.11,-107.33,16.31,32.29,24.08,28.55,2628.2270000000003,381.9,-92.75,465.32,-8.5,38265.0,37758.83,PositionState,lower,37432.0,36926.0,0.0,506.0,1073.5,-132.5,520.6129032258065,1044.0299999999988
879,879,1011,1644606000000.0,42661.0,43134.0,42050.0,42724.5,10705.813,456090311.65,2022-02-11 19:00:00,0.0001,18491.718,38.36,43676.44,43098.57,43387.5,43965.37,42809.63,44254.31,42520.7,-211.54,-178.71,-32.83,10.88,33.0,21.53,20.01,3313.4837857142857,625.31,-69.79,22.45,-6.36,43337.61,42898.27,PositionState,lower,42724.5,42691.5,0.0,33.0,686.5,0.0,412.77272727272725,484.34999999999854
994,994,1126,1645020000000.0,43637.5,43748.0,43265.0,43484.5,5999.263,261329680.3945,2022-02-16 14:00:00,0.0001,20510.097,39.49,44148.86,43738.07,43943.47,44354.25,43532.68,44559.64,43327.29,29.36,126.17,-96.81,19.42,35.67,23.7,30.66,2273.3712857142864,234.11,-48.3,193.88,-9.38,43980.0,43671.28,PositionState,lower,43484.5,44202.0,0.0,-717.5,0.0,-717.5,-230.83333333333331,-286.489999999998
1013,1013,1145,1645088400000.0,43493.0,43540.0,42843.5,43220.0,6614.488,285571994.0305,2022-02-17 09:00:00,0.0001,20704.47499999,36.42,44019.12,43512.66,43765.89,44272.35,43259.43,44525.59,43006.19,-91.64,-30.69,-60.95,13.98,37.96,22.83,22.47,2344.735785714286,64.58,-57.45,105.65,-10.02,43693.38,43438.36,PositionState,lower,43220.0,40362.0,0.0,2858.0,3380.0,-6.0,2391.043478260869,3166.209999999999
1061,1061,1193,1645261200000.0,39981.5,40040.0,39870.0,39911.0,2152.958,86023671.3345,2022-02-19 09:00:00,0.0001,20224.34,36.05,40370.51,40065.1,40217.81,40523.22,39912.4,40675.92,39759.7,-206.28,-262.83,56.54,13.46,26.4,43.85,51.26,1354.3420000000006,28.63,-32.3,-62.75,-0.85,40143.94,40015.14,PositionState,lower,39911.0,40159.5,0.0,-248.5,157.5,-248.5,-22.88888888888889,-32.30999999999767
