,Unnamed: 0.1,Unnamed: 0,start_at,open,high,low,close,volume,turnover,date,funding_rate,oi,rsi,upper1,lower1,middle,upper2,lower2,upper3,lower3,macd,macdsignal,macdhist,p_di,m_di,adx,adxr,volume_ma,volume_ma_diff,middle_diff,band_diff,di_diff,sma,ema,state,bb_direction,enter_price,exit_price,current_profit,bb_profit,profit_max,profit_min,profit_mean,profit_ma
135,135,267,1641927600000.0,42700.0,43163.0,42577.5,42939.5,2500.396,107092468.8475,2022-01-11 19:00:00,8.221e-05,17900.83099999,65.93,42491.64,41730.27,42110.96,42872.33,41349.59,43253.02,40968.9,212.87,108.68,104.19,26.16,11.53,17.72,16.58,3473.798285714286,72.37,87.22,328.99,0.58,42171.77,42735.97,PositionState,upper,42939.5,43197.5,0.0,258.0,1182.5,-411.5,375.44444444444446,848.7200000000012
227,227,359,1642258800000.0,43154.0,43394.5,43067.0,43363.5,2198.575,95042563.603,2022-01-15 15:00:00,6.753e-05,18422.304,60.28,43155.13,42875.47,43015.3,43294.96,42735.64,43434.79,42595.8,50.59,34.53,16.05,27.79,19.4,18.79,22.64,1580.001285714286,92.46,36.65,100.59,7.5,43038.88,43191.97,PositionState,upper,43363.5,43083.0,0.0,-280.5,111.5,-280.5,-42.05555555555556,3.360000000000582
346,346,478,1642687200000.0,42360.0,43030.0,42359.5,42940.0,8692.827,371023311.1895,2022-01-20 14:00:00,0.0001,20994.677,70.58,42367.6,41823.66,42095.63,42639.57,41551.69,42911.53,41279.73,132.49,48.89,83.6,37.56,14.01,14.4,13.7,2046.3523571428573,522.48,88.87,514.62,18.68,42181.33,42576.18,PositionState,upper,42940.0,41322.5,0.0,-1617.5,313.5,-1617.5,-161.0,-500.8199999999997
468,468,600,1643126400000.0,36515.0,37042.0,36470.0,36793.5,4127.951,151778020.107,2022-01-25 16:00:00,0.0001,16537.109,61.26,36454.04,35921.71,36187.87,36720.2,35655.54,36986.37,35389.38,295.12,286.84,8.28,29.81,14.16,26.14,25.87,3633.853000000001,187.29,63.75,-154.7,-0.19,36420.33,36614.2,PositionState,upper,36793.5,37549.5,0.0,756.0,1458.5,-248.0,633.1607142857143,1168.6500000000017
544,544,676,1643400000000.0,37195.0,37824.0,37116.0,37723.5,4038.797,151367323.459,2022-01-28 20:00:00,-8.549e-05,16928.894,63.42,37251.69,36587.45,36919.57,37583.81,36255.33,37915.93,35923.2,149.79,69.63,80.15,27.14,13.52,13.45,13.9,3523.4788571428576,19.54,84.62,246.59,8.85,36991.11,37403.78,PositionState,upper,37723.5,37595.5,0.0,-128.0,371.5,-208.5,-2.263157894736842,361.2799999999989
569,569,701,1643490000000.0,38305.0,38769.0,38242.5,38322.0,3409.153,131216360.955,2022-01-29 21:00:00,4.215e-05,18726.326,66.26,37978.31,37537.71,37758.01,38198.61,37317.41,38418.9,37097.12,198.74,172.34,26.39,33.67,11.19,25.81,25.3,2526.763857142857,127.31,59.37,301.18,10.04,37844.33,38176.17,PositionState,upper,38322.0,37806.5,0.0,-515.5,0.0,-515.5,-223.375,-198.8399999999965
612,612,744,1643644800000.0,37660.0,38351.5,37637.5,38278.5,5857.358,222634736.305,2022-01-31 16:00:00,-6.998e-05,18974.491,67.94,37808.83,37027.03,37417.93,38199.73,36636.13,38590.64,36245.23,6.07,-121.45,127.53,32.06,17.74,21.55,21.77,2593.039571428572,190.05,90.58,294.41,16.53,37388.05,37885.18,PositionState,upper,38278.5,38356.0,0.0,77.5,817.0,-54.0,191.16071428571428,632.25
698,698,830,1643954400000.0,37518.5,37990.0,37518.0,37939.5,5254.717,198756633.016,2022-02-04 06:00:00,-0.00016891,20198.802,67.32,37530.27,36763.61,37146.94,37913.6,36380.28,38296.94,35996.95,115.66,-22.15,137.82,35.54,14.88,27.34,32.92,2236.3740000000003,122.89,83.42,308.91,11.75,37312.38,37662.88,PositionState,upper,37939.5,37421.5,0.0,-518.0,55.0,-518.0,-98.9375,-3.930000000000291
708,708,840,1643990400000.0,39479.5,40672.0,39451.5,40235.5,12192.224,488881514.423,2022-02-04 16:00:00,-0.00041531,19857.596,78.77,38739.71,37158.82,37949.27,39530.16,36368.37,40320.61,35577.92,499.73,267.49,232.24,47.59,9.69,38.12,32.44,5447.412214285715,737.2,240.65,1166.59,23.91,38290.66,39436.93,PositionState,upper,40235.5,41283.0,0.0,1047.5,1494.5,0.0,1115.542553191489,2009.6500000000012
766,766,898,1644199200000.0,42071.0,42600.0,42063.0,42301.5,3080.362,130539233.68,2022-02-07 02:00:00,-7.551e-05,19389.59,62.67,41990.36,41470.7,41730.53,42250.19,41210.88,42510.02,40951.05,190.58,141.79,48.78,33.38,5.57,41.39,34.43,2824.307714285715,154.28,60.09,242.86,1.37,41825.27,42137.5,PositionState,upper,42301.5,43830.0,0.0,1528.5,2560.0,0.0,1254.015625,1965.0
