start_at,open,high,low,close,volume,turnover,date
1622476800000.0,36940,37396,36501,36817.5,6337.537,233332268.4975000024,2021-05-31 16:00:00
1622491200000.0,36817.5,37462.5,36543,37241,3371.182,125546188.8620000035,2021-05-31 20:00:00
1622505600000.0,37241,37864,36520,36718.5,6749.114,247817342.4090000093,2021-06-01 00:00:00
1622520000000.0,36718.5,37433,36600,36852.5,5625.55,207315581.375,2021-06-01 04:00:00
1622534400000.0,36852.5,36930.5,35917.5,36575,8345.155,305224044.125,2021-06-01 08:00:00
1622548800000.0,36575,37387,35600,36223,13178.174,477352996.8019999862,2021-06-01 12:00:00
1622563200000.0,36223,36469,35729,35958.5,5515.139,198316125.7314999998,2021-06-01 16:00:00
1622577600000.0,35958.5,36750,35878,36648,3465.68,127010240.6400000006,2021-06-01 20:00:00
1622592000000.0,36648,36858,35900,36484.5,5353.789,195330314.7705000043,2021-06-02 00:00:00
1622606400000.0,36484.5,37374,36484.5,37190,6384.218,237429067.4199999869,2021-06-02 04:00:00
1622620800000.0,37190,37499,36864,37204,6210.006,231037063.2240000069,2021-06-02 08:00:00
1622635200000.0,37204,38198,37080.5,37995,9397.678,357064775.6100000143,2021-06-02 12:00:00
1622649600000.0,37995,38160,37735,37861.5,3964.809,150113615.9535000026,2021-06-02 16:00:00
1622664000000.0,37861.5,37898,37350,37555,4046.362,151961124.9099999964,2021-06-02 20:00:00
1622678400000.0,37555,37860,37215.5,37624.5,4637.77,174493777.3650000095,2021-06-03 00:00:00
1622692800000.0,37624.5,39007,37600,38622,9621.184,371589368.4480000138,2021-06-03 04:00:00
1622707200000.0,38622,39440,38529,38773,9039.364,350483260.371999979,2021-06-03 08:00:00
1622721600000.0,38773,39249,38360,38576.5,10266.958,396063305.2870000005,2021-06-03 12:00:00
1622736000000.0,38576.5,38968.5,38456.5,38603.5,4479.013,172905578.3454999924,2021-06-03 16:00:00
1622750400000.0,38603.5,39237,38573,39224.5,3737.792,146613022.3039999902,2021-06-03 20:00:00
1622764800000.0,39224.5,39265.5,37400,37959,10608.535,402689380.0649999976,2021-06-04 00:00:00
1622779200000.0,37959,37959,36359,36638,11707.836,428951695.3679999709,2021-06-04 04:00:00
1622793600000.0,36638,37044.5,36250,36600,7687.441,281360340.6000000238,2021-06-04 08:00:00
1622808000000.0,36600,37100,35601,36932,19066.003,704145622.7960000038,2021-06-04 12:00:00
1622822400000.0,36932,37220.5,36745,36807.5,4836.446,178017486.1450000107,2021-06-04 16:00:00
1622836800000.0,36807.5,37232.5,36490.5,36843.5,4329.407,159510506.8045000136,2021-06-04 20:00:00
1622851200000.0,36843.5,37800,36634,37370,7500.197,280282361.8899999857,2021-06-05 00:00:00
1622865600000.0,37370,37867,37370,37583.5,5474.56,205753125.7599999905,2021-06-05 04:00:00
1622880000000.0,37583.5,37814,35666.5,35866.5,15835.955,567980280.0075000525,2021-06-05 08:00:00
1622894400000.0,35866.5,36420,35211,36308.5,13642.305,495331631.0924999714,2021-06-05 12:00:00
1622908800000.0,36308.5,36323,35708.5,35752.5,5078.349,181563672.6225000024,2021-06-05 16:00:00
