,start_at,open,high,low,close,volume,turnover,date,funding_rate,oi
0,1640966400000.0,47973,48114,45634,45692,15216.826,712845772.4385000467,2021-12-31 16:00:00,0.0001,16418.26099999
1,1640980800000.0,45692,46548.5,45660,46200.5,8247.759,380618666.3105000257,2021-12-31 20:00:00,0.0001,15522.27800000
2,1640995200000.0,46200.5,46929.5,46200.5,46811.5,4523.524,211145532.2310000062,2022-01-01 00:00:00,0.0001,15863.15200000
3,1641009600000.0,46811.5,47552,46500,47209.5,7303.629,343901929.6765000224,2022-01-01 04:00:00,0.0001,16107.55000000
4,1641024000000.0,47209.5,47351.5,46718.5,46768.5,6017.122,282858923.1909999847,2022-01-01 08:00:00,0.0001,15503.98700000
5,1641038400000.0,46768.5,47480,46768,47176.5,6138.677,289072886.9649999738,2022-01-01 12:00:00,0.0001,15814.34500000
6,1641052800000.0,47176.5,47915.5,47176,47334,6991.581,332251346.3195000291,2022-01-01 16:00:00,0.0001,15760.12100000
7,1641067200000.0,47334,47845,47188.5,47719.5,3602.997,170936088.4530000091,2022-01-01 20:00:00,0.0001,15571.39400000
8,1641081600000.0,47719.5,47719.5,47280,47331,3514.138,166774501.0209999979,2022-01-02 00:00:00,0.0001,15636.47400000
9,1641096000000.0,47331,47393,46791.5,47171,5890.418,277196685.9369999766,2022-01-02 04:00:00,0.0001,15919.51100000
10,1641110400000.0,47171,47552,46990,47218.5,4603.279,217522774.3174999952,2022-01-02 08:00:00,0.0001,15883.91100000
11,1641124800000.0,47218.5,47436.5,46990,47312.5,7095.163,334730475.8000000119,2022-01-02 12:00:00,0.0001,15906.02200000
12,1641139200000.0,47312.5,48000,46600,46906.5,12152.816,574966257.2029999495,2022-01-02 16:00:00,0.0001,15962.60300000
13,1641153600000.0,46906.5,47477.5,46845,47305,3517.841,166007591.2335000038,2022-01-02 20:00:00,0.0001,15501.48700000
14,1641168000000.0,47305,47305.5,46710,46821.5,4750.638,223343307.7579999864,2022-01-03 00:00:00,0.0001,15370.18400000
15,1641182400000.0,46821.5,47199,46780,47050,3796.141,178309924.2524999976,2022-01-03 04:00:00,0.0001,16152.86400000
16,1641196800000.0,47050,47422,46810,47367,6231.872,293561818.2400000095,2022-01-03 08:00:00,0.0001,16297.41300000
17,1641211200000.0,47367,47576.5,46535,46697,10498.205,494134177.9455000162,2022-01-03 12:00:00,0.0001,15962.22900000
18,1641225600000.0,46697,46883.5,46286,46400.5,9031.446,420281653.58950001,2022-01-03 16:00:00,0.0001,16541.24700000
19,1641240000000.0,46400.5,46581,45700,46462,10512.894,484731226.6480000019,2022-01-03 20:00:00,0.0001,16803.08600000
20,1641254400000.0,46462,46608,45950,46332.5,6498.118,300491462.3190000057,2022-01-04 00:00:00,0.0001,17275.28700000
21,1641268800000.0,46332.5,46537,46065.5,46512,5142.624,238043578.03549999,2022-01-04 04:00:00,0.0001,17490.51099999
22,1641283200000.0,46512,46747,46301,46706,6353.557,295716673.5630000234,2022-01-04 08:00:00,0.0001,17407.13399999
23,1641297600000.0,46706,47475,46423,46911,13168.083,619000003.8765000105,2022-01-04 12:00:00,0.0001,17461.75500000
24,1641312000000.0,46911,46982,45500,46052,17334.19,802414109.8519999981,2022-01-04 16:00:00,0.0001,17046.88499999
25,1641326400000.0,46052,46420.5,45772.5,45870,6032.322,278125769.3314999938,2022-01-04 20:00:00,0.0001,15614.69900000
26,1641340800000.0,45870,46566.5,45755,46408.5,4970.835,229777727.7664999962,2022-01-05 00:00:00,0.0001,15976.97700000
27,1641355200000.0,46408.5,46507.5,46255,46398,3164.111,146746139.1035000086,2022-01-05 04:00:00,0.0001,16284.50200000
28,1641369600000.0,46398,47060,46127,46287,9725.938,453252901.1600000262,2022-01-05 08:00:00,0.0001,16229.99700000
29,1641384000000.0,46287,46826.5,45910.5,46600,16478.367,764292473.5865000486,2022-01-05 12:00:00,0.0001,16329.06200000
30,1641398400000.0,46600,46691,44179.5,44665.5,24001.295,1093309017.0845000744,2022-01-05 16:00:00,0.0001,16457.88499999
31,1641412800000.0,44665.5,44843.5,42444,43437,29996.17,1309808595.2565000057,2022-01-05 20:00:00,0.0001,16076.48600000
32,1641427200000.0,43437,43795,42807,42830.5,10686.417,463246106.9244999886,2022-01-06 00:00:00,0.0001,16322.49100000
33,1641441600000.0,42830.5,43287.5,42610,43230,10529.178,452709872.6000000238,2022-01-06 04:00:00,0.0001,16361.38200000
34,1641456000000.0,43230,43238,42179,42858.5,11615.258,497012487.8619999886,2022-01-06 08:00:00,0.0001,16561.81000000
35,1641470400000.0,42858.5,43220,42652,42950,10711.804,459946567.4530000091,2022-01-06 12:00:00,0.0001,16727.19200000
36,1641484800000.0,42950,43494.5,42770,43406.5,6498.408,280083506.0515000224,2022-01-06 16:00:00,0.0001,16785.00500000
37,1641499200000.0,43406.5,43549,43017,43110.5,4373.887,188934483.5539999902,2022-01-06 20:00:00,0.0001,16644.05900000
38,1641513600000.0,43110.5,43137,41500,41791.5,15660.42,662983080.0935000181,2022-01-07 00:00:00,0.0001,16478.68200000
39,1641528000000.0,41791.5,41928,40952.5,41707.5,18996.917,788475311.6380000114,2022-01-07 04:00:00,0.0001,16768.83900000
