start_at,open,high,low,close,volume,turnover,date
1672531200000.0,16549.5,16631,16511,16622.5,24943.016,413344041.8945000172,2023-01-01
1672617600000.0,16622.5,16799,16552,16668,64844.907,1082761028.0204999447,2023-01-02
1672704000000.0,16668,16774,16605,16670,65314.938,1089751727.1024999619,2023-01-03
1672790400000.0,16670,16988,16652,16847.5,107056.584,1802658949.0490000248,2023-01-04
1672876800000.0,16847.5,16873.5,16747,16826,49374.574,830347501.4574999809,2023-01-05
1672963200000.0,16826,17031.5,16675,16940,95139.388,1600852208.1579999924,2023-01-06
1673049600000.0,16940,16974,16904,16938,18890.73,319820967.4959999919,2023-01-07
1673136000000.0,16938,17190,16907,17119.5,48890.622,830806301.92900002,2023-01-08
1673222400000.0,17119.5,17385,17094,17173.5,108098.728,1862765854.6150000095,2023-01-09
1673308800000.0,17173.5,17480.5,17138.5,17430.5,85649.811,1483162871.5855000019,2023-01-10
1673395200000.0,17430.5,18031,17309.5,17929,111579.23,1958457304.201499939,2023-01-11
1673481600000.0,17929,19133.5,17896,18820,296184.86,5452981211.3629999161,2023-01-12
1673568000000.0,18820,20013.5,18692,19909,235525.164,4542919906.4090003967,2023-01-13
1673654400000.0,19909,21550,19869.5,20952.5,326866.984,6789893946.5024995804,2023-01-14
1673740800000.0,20952.5,21066,20555,20878,118541.184,2464547068.181499958,2023-01-15
1673827200000.0,20878,21488,20600,21179,207040.534,4360681633.5480003357,2023-01-16
1673913600000.0,21179,21626.5,20824.5,21118,161002.365,3414586937.8014998436,2023-01-17
1674000000000.0,21118,21673,20385,20674,274076.351,5764592845.6754999161,2023-01-18
1674086400000.0,20674,21173.5,20645,21058.5,120207.752,2509130259.3520002365,2023-01-19
1674172800000.0,21058.5,22780,20853,22656.5,224304.43,4853369368.6175003052,2023-01-20
1674259200000.0,22656.5,23381,22413,22781.5,228138.206,5233052374.8380002975,2023-01-21
1674345600000.0,22781.5,23083,22277,22703.5,138759.901,3155418536.4815001488,2023-01-22
1674432000000.0,22703.5,23187,22459.5,22908.5,167008.427,3814594325.6744999886,2023-01-23
1674518400000.0,22908.5,23165.5,22451,22631,149058.582,3410870421.7224998474,2023-01-24
1674604800000.0,22631,23875,22319,23056.5,217704.47,4984330211.5399999619,2023-01-25
1674691200000.0,23056.5,23289.5,22850.5,23005.5,118456.82,2730267644.2899999619,2023-01-26
1674777600000.0,23005.5,23515.5,22523,23066,156010.669,3591327453.4124999046,2023-01-27
1674864000000.0,23066,23193,22874,23022,44468.238,1023166163.2745000124,2023-01-28
1674950400000.0,23022,23966,22962,23737.5,153694.093,3612952190.0755000114,2023-01-29
1675036800000.0,23737.5,23799.5,22480.5,22830.5,177328.745,4097042155.0190000534,2023-01-30
1675123200000.0,22830.5,23375,22723,23130,117969.48,2713521388.4650001526,2023-01-31
1675209600000.0,23130,23866,22755,23729.5,167442.623,3893625198.2845001221,2023-02-01
1675296000000.0,23729.5,24280,23360,23495.5,183609.406,4375369902.1634998322,2023-02-02
1675382400000.0,23495.5,23723,23203,23433.5,118629.253,2782902043.5100002289,2023-02-03
1675468800000.0,23433.5,23587.5,23260.5,23323.5,47655.117,1115289656.9489998817,2023-02-04
1675555200000.0,23323.5,23434.5,22760,22934,96929.849,2237306439.5679998398,2023-02-05
1675641600000.0,22934,23165,22612.5,22763.5,102631.632,2349669091.5095000267,2023-02-06
1675728000000.0,22763.5,23363,22749.5,23244.5,123637.716,2848507284.3645000458,2023-02-07
1675814400000.0,23244.5,23462.5,22669,22959,103272.766,2377438172.117000103,2023-02-08
1675900800000.0,22959,23011,21698,21802,205064.908,4581210558.5430002213,2023-02-09
1675987200000.0,21802,21939.5,21431.1,21624.2,126276.354,2742615991.8548998833,2023-02-10
1676073600000.0,21624.2,21890,21602.5,21847.1,52099.136,1131103724.3601000309,2023-02-11
1676160000000.0,21847.1,22079,21625.3,21776.9,78110.435,1707507588.9156999588,2023-02-12
1676246400000.0,21776.9,21887,21327.5,21768,129526.994,2801223867.0640997887,2023-02-13
1676332800000.0,21768,22310.7,21514.2,22184.1,178668.135,3919136665.9130997658,2023-02-14
