start_at,open,high,low,close,volume,turnover,date
1672617600000.0,16622.5,17190,16552,17119.5,449511.743,7556998683.2124996185,2023-01-02
1673222400000.0,17119.5,21550,17094,20878,1282445.9609999999,24554728162.858001709,2023-01-09
1673827200000.0,20878,23381,20385,22703.5,1353529.5390000001,29290831956.313999176,2023-01-16
1674432000000.0,22703.5,23966,22319,23737.5,1006401.299,23167508409.9894981384,2023-01-23
1675036800000.0,23737.5,24280,22480.5,22934,909564.473,21215056783.9589996338,2023-01-30
1675641600000.0,22934,23462.5,21431.1,21776.9,791092.947,17738052411.6646995544,2023-02-06
1676246400000.0,21776.9,25296.1,21327.5,24266.9,1369271.0349999999,32332594370.3969993591,2023-02-13
1676851200000.0,24266.9,25295,22712.3,23548.3,1182531.8500000001,28390824510.7002983093,2023-02-20
1677456000000.0,23548.3,24028.4,21905,22419,871130.657,20119676650.6758995056,2023-02-27
1678060800000.0,22419,22594.7,19535,21978.9,1475909.166,30935507603.257900238,2023-03-06
1678665600000.0,21978.9,28417.1,21804,27962.1,2220851.264,56179747502.6604995728,2023-03-13
1679270400000.0,27962.1,28897,26583.4,27951.6,1403990.692,39120213040.739402771,2023-03-20
1679875200000.0,27951.6,29197.2,26474.3,28155.9,1129170.1710000001,31526925618.0325012207,2023-03-27
1680480000000.0,28155.9,28797.1,27175,28309.7,790196.379,22174011575.5956001282,2023-04-03
1681084800000.0,28309.7,31061.7,28136.6,30295.9,950171.598,28503278297.6195983887,2023-04-10
1681689600000.0,30295.9,30500,27058,27572.8,1131283.8700000001,32524503381.4136009216,2023-04-17
1682294400000.0,27572.8,30062,26933,29217,1363212.0870000001,39090700419.1491012573,2023-04-24
1682899200000.0,29217,29833,27640.1,28413.9,1086488.0330000001,31184069069.3334999084,2023-05-01
1683504000000.0,28413.9,28615,25764,26903,949977.193,25908880423.3712005615,2023-05-08
1684108800000.0,26903,27648,26341.3,26734.3,713890.579,19303453441.4154014587,2023-05-15
1684713600000.0,26734.3,28280,25851,28049.9,715421.0110000001,19183275477.3745994568,2023-05-22
1685318400000.0,28049.9,28449,26480.7,27105.5,644990.182,17614367175.4388008118,2023-05-29
1685923200000.0,27105.5,27397,25324.2,25915.1,997545.527,26175905707.1214,2023-06-05
1686528000000.0,25915.1,26886.8,24779.5,26333.5,791587.289,20461070526.3968,2023-06-12
1687132800000.0,26333.5,31444,26250,30460.1,1277656.019,37407369417.7622,2023-06-19
1687737600000.0,30460.1,31291.9,29412.8,30601.9,891882.718,27133534692.6578,2023-06-26
1688342400000.0,30601.9,31543.1,29675.1,30150,688759.012,21062213934.1771,2023-07-03
1688947200000.0,30150,31843.9,29873,30221.4,767257.448,23528996265.6289,2023-07-10
1689552000000.0,30221.4,30407,29362,30071.1,540364.483,16180132710.9898,2023-07-17
1690156800000.0,30071.1,30084,28851,29273.1,469791.628,13763921207.7002,2023-07-24
1690761600000.0,29273.1,30040,28555.6,29075.7,578865.882,16906847298.4036,2023-07-31
1691366400000.0,29075.7,30265.8,28677.1,29301.3,550753.604,16242110234.2474,2023-08-07
1691971200000.0,29301.3,29680,24200.9,26176.5,905319.241,24868835448.488,2023-08-14
1692576000000.0,26176.5,26823.8,25267.3,26085.4,644994.728,16825114173.1466,2023-08-21
1693180800000.0,26085.4,28140.8,25305.4,25959.9,938798.411,24988721368.7753,2023-08-28
1693785600000.0,25959.9,26450,25342.4,25826.4,484768.996,12530288959.6473,2023-09-04
1694390400000.0,25826.4,26890.9,24853.4,26514.6,815390.43,21236996458.7938,2023-09-11
1694995200000.0,26514.6,27484.9,26079,26232.9,722494.66,19430317252.3546,2023-09-18
1695600000000.0,26232.9,28350,25971.3,27979,697401.632,18625568179.0658,2023-09-25
1696204800000.0,27979,28591.7,27132,27899,850712.914,23609389494.3325,2023-10-02
1696809600000.0,27899,27971.5,26523,27139.3,650037.934,17622681793.9836,2023-10-09
1697414400000.0,27139.3,30625.8,27098,29978.7,1116204.155,32198644659.7823,2023-10-16
1698019200000.0,29978.7,36743.5,29875,34535.8,1244490.327,41550831978.1269,2023-10-23
1698624000000.0,34535.8,36084.2,34026.4,35035.8,920732.753,32013758159.483,2023-10-30
1699228800000.0,35035.8,38149,34526.6,37089.5,957547.758,34708510607.339,2023-11-06
1699833600000.0,37089.5,38016.9,34542.9,37386.9,939239.124,34325559404.6512,2023-11-13
1700438400000.0,37386.9,38435.7,35613,37455.4,874445.993,32562685973.5557,2023-11-20
1701043200000.0,37455.4,40439.9,36714.5,39999.9,782978.013,29925987648.4688,2023-11-27
1701648000000.0,39999.9,44777,39996.6,43823.8,1061811.871,45656146845.167,2023-12-04
1702252800000.0,43823.8,43854.8,40167.7,41395.2,1049638.175,44091438266.3123,2023-12-11
1702857600000.0,41395.2,44473.9,40566,43022.3,812877.811,34980633382.6799,2023-12-18
