index,start_at,open,high,low,close,volume,turnover,date
1712039400.0,1712039400.0,66883.1,67157.5,66835,67108.7,1110.807,74459104.107,2024-04-02 06:30:00
1712040300.0,1712040300.0,67108.7,67147.7,66863,66903,1050.354,70358680.2985,2024-04-02 06:45:00
1712041200.0,1712041200.0,66903,66938.2,66740.5,66836.3,1221.65,81657081.4007,2024-04-02 07:00:00
1712042100.0,1712042100.0,66836.3,66922.3,66790.3,66797.9,821.777,54927071.9824,2024-04-02 07:15:00
1712043000.0,1712043000.0,66797.9,66848.2,66525.1,66611.8,1712.308,114150786.5839,2024-04-02 07:30:00
1712043900.0,1712043900.0,66611.8,66659.8,66500.1,66520,1424.537,94830760.0905,2024-04-02 07:45:00
1712044800.0,1712044800.0,66520,66710.3,66422,66440.8,1272.802,84709639.3219,2024-04-02 08:00:00
1712045700.0,1712045700.0,66440.8,66639.3,66340,66613.2,1239.44,82375641.7264,2024-04-02 08:15:00
1712046600.0,1712046600.0,66613.2,66757.7,66402.2,66505.8,1105.724,73633760.5105,2024-04-02 08:30:00
1712047500.0,1712047500.0,66505.8,66640.4,66151,66275.2,2586.569,171563765.421,2024-04-02 08:45:00
1712048400.0,1712048400.0,66275.2,66426,65656.6,66383.9,8688.903,573612068.5438,2024-04-02 09:00:00
1712049300.0,1712049300.0,66383.9,66576.9,66069,66224.3,2490.214,165275227.114,2024-04-02 09:15:00
1712050200.0,1712050200.0,66224.3,66268.5,65943.1,66153.9,1776.165,117425450.307,2024-04-02 09:30:00
1712051100.0,1712051100.0,66153.9,66325.2,66063.5,66111.8,879.906,58258115.4309,2024-04-02 09:45:00
1712052000.0,1712052000.0,66111.8,66200.4,65905.2,66029.2,1883.286,124369832.8874,2024-04-02 10:00:00
1712052900.0,1712052900.0,66029.2,66319.7,66001.8,66288.8,1182.608,78315729.8713,2024-04-02 10:15:00
1712053800.0,1712053800.0,66288.8,66300,65871.2,65991.4,1655.014,109291226.8805,2024-04-02 10:30:00
1712054700.0,1712054700.0,65991.4,66099.7,65428,66034.1,5379.736,353724110.1628,2024-04-02 10:45:00
1712055600.0,1712055600.0,66034.1,66084,65650.1,65785.9,1985.999,130792821.1591,2024-04-02 11:00:00
1712056500.0,1712056500.0,65785.9,65897.2,65200,65261.8,5890.434,385416985.6087,2024-04-02 11:15:00
1712057400.0,1712057400.0,65261.8,65593.7,65101.2,65432.2,5099.332,333192627.4512,2024-04-02 11:30:00
1712058300.0,1712058300.0,65432.2,65719.7,65345.3,65686.5,2654.054,173854783.831,2024-04-02 11:45:00
1712059200.0,1712059200.0,65686.5,65860,65502.5,65728,2075.85,136381525.1876,2024-04-02 12:00:00
1712060100.0,1712060100.0,65728,65878.3,65720,65823.9,1189.22,78269241.4732,2024-04-02 12:15:00
1712061000.0,1712061000.0,65823.9,65829.3,65534.6,65626.6,1631.241,107147105.4612,2024-04-02 12:30:00
1712061900.0,1712061900.0,65626.6,65634.2,65131.3,65387.3,3272.615,213813020.7838,2024-04-02 12:45:00
1712062800.0,1712062800.0,65387.3,65420.5,65030.7,65376,3245.712,211631503.2691,2024-04-02 13:00:00
1712063700.0,1712063700.0,65376,65499.3,64805,64897.4,6619.223,430545315.1357,2024-04-02 13:15:00
1712064600.0,1712064600.0,64897.4,65170,64620,65100,7570.668,490685209.1972,2024-04-02 13:30:00
1712065500.0,1712065500.0,65100,65336.8,64915.3,65242.8,3105.887,202406315.6578,2024-04-02 13:45:00
1712066400.0,1712066400.0,65242.8,65599.9,65178.4,65560,2988.85,195540047.7881,2024-04-02 14:00:00
1712067300.0,1712067300.0,65560,65948.9,65560,65930.8,4189.677,275501213.508,2024-04-02 14:15:00
1712068200.0,1712068200.0,65930.8,66308.3,65901,66181.8,3991.336,263951772.6437,2024-04-02 14:30:00
1712069100.0,1712069100.0,66181.8,66181.8,65600.1,65736.8,2960.108,194925639.1691,2024-04-02 14:45:00
1712070000.0,1712070000.0,65736.8,66190,65681.3,65980.1,1928.418,127253902.1724,2024-04-02 15:00:00
1712070900.0,1712070900.0,65980.1,66067.9,65784.3,65867.2,1026.587,67659306.7979,2024-04-02 15:15:00
1712071800.0,1712071800.0,65867.2,65958.6,65553.4,65588.5,1794.656,117933062.4729,2024-04-02 15:30:00
