index,start_at,open,high,low,close,volume,turnover,date
1713157200.0,1713157200.0,3139.04,3159.92,3134.7,3158.16,349004.97,1097703050.9,2024-04-15 05:00:00
1713160800.0,1713160800.0,3158.16,3253.83,3156.77,3241.56,635950.17,2046626311.5504,2024-04-15 06:00:00
1713164400.0,1713164400.0,3241.56,3249.63,3224.7,3243,476689.19,1543848521.0143,2024-04-15 07:00:00
1713168000.0,1713168000.0,3243,3263.79,3235.24,3248.61,460192.4,1496344708.0795,2024-04-15 08:00:00
1713171600.0,1713171600.0,3248.61,3261.14,3235.27,3252.42,367347.52,1193530788.0976,2024-04-15 09:00:00
1713175200.0,1713175200.0,3252.42,3267.9,3249.3,3260.93,309030.5,1006038862.2673,2024-04-15 10:00:00
1713178800.0,1713178800.0,3260.93,3275.73,3228.37,3229.83,436418.6,1416776242.0319,2024-04-15 11:00:00
1713182400.0,1713182400.0,3229.83,3243.79,3226.02,3232.03,433514.52,1402416431.9131,2024-04-15 12:00:00
1713186000.0,1713186000.0,3232.03,3238.67,3185.29,3192.58,508427.49,1636728709.3233,2024-04-15 13:00:00
1713189600.0,1713189600.0,3192.58,3208.62,3126.94,3129.16,694788.23,2206596746.6085,2024-04-15 14:00:00
1713193200.0,1713193200.0,3129.16,3132.32,3129.16,3132.32,571.12,1788930.3442,2024-04-15 15:00:00
