,Unnamed: 0,start_at,open,high,low,close,volume,turnover,date,funding_rate,oi,rsi,upper1,lower1,middle,upper2,lower2,upper3,lower3,macd,macdsignal,macdhist,p_di,m_di,adx,adxr,volume_ma,volume_ma_diff,middle_diff,band_diff,di_diff,sma,ema,state,bb_direction,enter_price,exit_price,current_profit,bb_profit,profit_max,profit_min,profit_mean,profit_ma
0,132,1611331200000.0,32413.5,33647.5,31950.0,33564.5,4284.569,143809416.2005,2021-01-22 16:00:00,0.0001,5097.344,48.34,35372.55,31454.9,33413.72,37331.37,29496.08,39290.19,27537.26,-1087.32,-1061.21,-26.11,16.24,25.87,33.83,24.41,6220.6714999999995,-61.08,15.87,-873.42,8.32,31827.05,32561.33,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,133,1611345600000.0,33564.5,33777.0,32620.0,32969.5,3223.771,106286117.9845,2021-01-22 20:00:00,0.0001,4925.70799999,45.51,35152.85,31589.99,33371.42,36934.28,29808.55,38715.71,28027.12,-988.1,-1046.59,58.48,15.96,24.45,32.92,24.73,6118.398214285715,-102.27,-42.3,-994.99,4.75,31913.66,32765.41,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,134,1611360000000.0,32969.5,32969.5,32081.0,32390.0,3310.291,107220325.49,2021-01-23 00:00:00,0.0001,4604.41,42.87,34955.08,31600.82,33277.95,36632.21,29923.68,38309.35,28246.55,-945.34,-1026.34,81.0,15.27,26.03,32.43,24.96,5994.044500000001,-124.35,-93.47,-814.29,-2.55,32023.61,32577.7,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,135,1611374400000.0,32390.0,33445.0,32293.0,32927.5,3241.3,106727905.75,2021-01-23 04:00:00,0.0001,4457.832,46.0,34817.93,31671.21,33244.57,36391.3,30097.85,37964.66,28524.48,-858.18,-992.71,134.53,16.76,24.54,31.45,24.99,6072.970857142857,78.92,-33.37,-717.14,2.29,32072.44,32752.6,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,136,1611388800000.0,32927.5,33088.5,31513.5,31638.0,3974.305,125739061.59,2021-01-23 08:00:00,0.0001,4949.18999999,40.3,34637.17,31545.96,33091.56,36182.77,30000.36,37728.38,28454.75,-882.97,-970.76,87.78,15.45,26.48,31.08,25.4,6158.489785714286,85.51,-153.01,-351.95,-1.76,32153.16,32195.3,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,137,1611403200000.0,31638.0,32232.0,31395.0,31852.5,3414.161,108749563.2525,2021-01-23 12:00:00,0.0001,5337.434,41.6,34416.55,31530.57,32973.56,35859.54,30087.57,37302.53,28644.58,-875.23,-951.66,76.42,14.79,25.95,30.82,26.39,6150.480500000001,-8.0,-118.0,-618.97,-1.44,32255.55,32023.9,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,138,1611417600000.0,31852.5,32495.5,31753.5,32331.5,1743.17,56359300.855,2021-01-23 16:00:00,0.0001,5425.30599999,44.49,34311.58,31513.24,32912.41,35710.74,30114.07,37109.91,28714.91,-820.98,-925.52,104.54,15.6,24.94,30.26,27.37,5500.873714285714,-649.6,-61.14,-498.52,1.15,32421.44,32177.7,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,139,1611432000000.0,32331.5,32530.0,31855.0,32099.5,2911.402,93454548.499,2021-01-23 20:00:00,0.0001,5418.81,43.37,34198.17,31471.8,32834.99,35561.36,30108.62,36924.55,28745.43,-787.62,-897.94,110.31,15.22,24.02,29.7,28.27,4623.485357142857,-877.38,-77.42,-292.72,1.35,32465.16,32138.6,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,140,1611446400000.0,32099.5,32450.0,31636.5,32448.0,2715.751,88120688.448,2021-01-24 00:00:00,0.0001,5066.794,45.59,34031.31,31564.96,32798.13,35264.48,30331.78,36497.66,29098.6,-724.72,-863.3,138.58,14.52,24.15,29.36,29.36,4310.232,-313.25,-36.86,-669.41,-1.2,32469.0,32293.3,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,141,1611460800000.0,32448.0,33065.0,32347.5,32806.0,2640.479,86623554.074,2021-01-24 04:00:00,0.0001,5392.61899999,47.85,33829.84,31767.93,32798.88,34860.79,30736.97,35891.74,29706.02,-638.61,-818.36,179.74,17.48,23.14,28.25,30.17,4010.1585000000005,-300.07,0.75,-1105.76,3.26,32384.72,32549.65,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
