,Unnamed: 0.1,Unnamed: 0,start_at,open,high,low,close,volume,turnover,date,funding_rate,p_close,oi,rsi,upper1,lower1,middle,upper2,lower2,upper3,lower3,macd,macdsignal,macdhist,p_di,m_di,adx,adxr,volume_ma,volume_ma_diff,middle_diff,band_diff,di_diff,sma,ema,upper_diff,lower_diff,ema_diff,sma_diff,rsi_sell,rsi_buy,dmi_diff,macd_diff,state,bb_direction,entry_price,exit_price,current_profit,bb_profit,profit_max,profit_min,profit_mean,prediction,entry_volume
0,0,132,1620273600000.0,56909.0,57627.5,56823.5,56990.0,563.547,32116543.53,2021-05-06 04:00:00,0.0001,0.001364,4860.322,56.96,57375.48,55954.9,56665.19,58085.77,55244.61,58796.06,54534.32,405.55,444.08,-38.53,25.38,14.29,26.37,29.05,574.5377857142857,-73.72,-324.8099999999977,-384.09,4.65,57033.33,56996.16,1095.7699999999968,-1745.3899999999994,6.1600000000034925,43.33000000000175,-13.04,26.96,11.09,-38.52999999999997,,,58050.5,0.0,0.0,0.0,0.0,0.0,0.0,0,517.52
1,1,133,1620277200000.0,56990.0,57387.0,56852.0,57214.0,489.443,28002991.802,2021-05-06 05:00:00,0.0001,0.000831,4855.10999999,59.49,57357.96,56076.96,56717.46,57998.46,55436.46,58638.96,54795.95,399.23,435.11,-35.88,23.84,13.43,26.48,29.29,485.78107142857147,-88.75,-496.5400000000009,-357.62,3.43,57065.77,57105.08,784.4599999999991,-1777.5400000000009,-108.91999999999824,-148.2300000000032,-10.509999999999998,29.49,10.41,-35.879999999999995,,,58050.5,0.0,0.0,0.0,0.0,0.0,0.0,0,517.52
2,2,134,1620280800000.0,57214.0,57214.0,56559.0,56676.0,492.647,27921261.372,2021-05-06 06:00:00,0.0001,0.001949,4766.456,51.63,57298.46,56128.56,56713.51,57883.41,55543.61,58468.36,54958.66,346.81,417.45,-70.63,22.08,15.74,25.78,29.08,458.3210714285714,-27.46,37.51000000000204,-309.5,-5.61,57043.27,56890.54,1207.4100000000035,-1132.3899999999994,214.54000000000087,367.2699999999968,-18.37,21.630000000000003,6.339999999999998,-70.63999999999999,,,58050.5,0.0,0.0,0.0,0.0,0.0,0.0,0,517.52
3,3,135,1620284400000.0,56676.0,56983.5,56458.0,56891.5,363.653,20688764.6495,2021-05-06 07:00:00,0.0001,0.001174,4860.866,54.24,57161.34,56299.58,56730.46,57592.23,55868.69,58023.11,55437.81,318.99,397.76,-78.77,20.75,15.95,24.88,28.59,457.2018571428572,-1.11,-161.04000000000087,-731.3,-3.29,57014.77,56891.02,700.7300000000032,-1022.8099999999976,-0.4800000000032014,123.2699999999968,-15.759999999999998,24.24,4.800000000000001,-78.76999999999998,,,58050.5,0.0,0.0,0.0,0.0,0.0,0.0,0,517.52
4,4,136,1620288000000.0,56891.5,57249.5,56874.5,56978.0,407.114,23196541.492,2021-05-06 08:00:00,0.00022172,0.001401,4831.844,55.28,57049.22,56458.85,56754.03,57344.4,56163.67,57639.59,55868.48,300.45,378.3,-77.85,22.96,15.25,24.54,28.39,454.4135,-2.78,-223.9700000000012,-833.98,1.58,56958.88,56934.51,366.4000000000015,-814.3300000000017,-43.48999999999796,-19.12000000000262,-14.72,25.28,7.710000000000001,-77.85000000000002,,,58050.5,0.0,0.0,0.0,0.0,0.0,0.0,0,517.52
5,5,137,1620291600000.0,56978.0,57346.0,56868.0,57303.0,559.512,32061716.136,2021-05-06 09:00:00,0.00022172,0.000762,4764.18,59.05,57034.79,56577.84,56806.32,57263.27,56349.37,57491.74,56120.89,308.42,364.32,-55.89,22.8,14.37,24.41,27.75,469.7725,15.35,-496.6800000000003,-514.66,2.93,56993.66,57118.75,-39.7300000000032,-953.6299999999974,-184.25,-309.3399999999965,-10.950000000000005,29.05,8.430000000000001,-55.89999999999998,EnterPreparationState,upper,58050.5,0.0,0.0,0.0,0.0,0.0,0.0,0,517.52
6,6,138,1620295200000.0,57303.0,58396.0,57198.5,58050.5,1319.237,76582367.4685,2021-05-06 10:00:00,0.00022172,0.000969,4715.376,66.13,57228.07,56621.55,56924.81,57531.32,56318.3,57834.58,56015.04,370.79,365.62,5.17,31.47,12.45,25.75,27.89,529.1757857142858,59.4,-1125.6900000000023,217.98,10.42,57122.38,57584.62,-519.1800000000003,-1732.199999999997,-465.8799999999974,-928.1200000000026,-3.870000000000005,36.13,19.02,5.170000000000016,PositionState,upper,58050.5,56805.5,0.0,-1245.0,0.0,-1245.0,-562.8571428571429,0,517.52
7,26,158,1620367200000.0,55854.5,56193.0,55706.5,56155.5,348.338,19561094.559,2021-05-07 06:00:00,0.00112562,0.001277,5182.072,45.89,57005.69,55677.75,56341.72,57669.65,55013.78,58333.62,54349.82,-231.88,-160.71,-71.16,15.79,20.01,19.21,20.79,607.4346428571428,-28.75,186.2200000000012,-327.43,3.03,56103.5,56011.6,1514.1500000000017,-1141.7200000000012,-143.90000000000146,-52.0,-24.11,15.89,-4.220000000000002,-71.16999999999999,PositionState,lower,56990.5,56449.0,7.0,0.0,0.0,0.0,0.0,0,706.637
8,27,159,1620370800000.0,56155.5,56283.0,55748.0,55818.5,405.371,22627201.1635,2021-05-07 07:00:00,0.00112562,0.001481,5244.308,41.4,56871.93,55711.85,56291.89,57451.97,55131.8,58032.01,54551.76,-242.93,-177.15,-65.78,15.85,18.78,18.45,20.53,616.722,9.28,473.3899999999994,-499.7,1.5,56028.94,55915.05,1633.4700000000012,-686.6999999999971,96.55000000000292,210.44000000000236,-28.6,11.4,-2.930000000000001,-65.78,PositionState,lower,56990.5,56449.0,344.0,0.0,0.0,0.0,0.0,0,706.637
9,28,160,1620374400000.0,55818.5,56160.0,55631.0,56131.5,545.888,30641512.272,2021-05-07 08:00:00,0.00083697,0.000147,5319.366,46.62,56776.3,55776.92,56276.61,57276.0,55277.23,57775.69,54777.54,-223.86,-186.49,-37.36,14.88,18.99,17.99,20.58,505.5413571428572,-111.18,145.11000000000058,-539.08,-1.11,56003.22,56023.27,1144.5,-854.2699999999968,-108.2300000000032,-128.27999999999884,-23.380000000000003,16.619999999999997,-4.109999999999998,-37.370000000000005,PositionState,lower,56990.5,56449.0,31.0,0.0,0.0,0.0,0.0,0,706.637
