,Unnamed: 0.1,Unnamed: 0,start_at,open,high,low,close,volume,turnover,date,funding_rate,p_close,oi,rsi,upper1,lower1,middle,upper2,lower2,upper3,lower3,macd,macdsignal,macdhist,p_di,m_di,adx,adxr,volume_ma,volume_ma_diff,middle_diff,band_diff,di_diff,sma,ema,upper_diff,lower_diff,ema_diff,sma_diff,rsi_sell,rsi_buy,dmi_diff,macd_diff,state,bb_direction,entry_price,exit_price,current_profit,bb_profit,profit_max,profit_min,profit_mean,prediction,entry_volume
0,14,146,1641492000000.0,43004.0,43437.0,42972.5,43357.0,1841.098,79538993.10449998,2022-01-06 18:00:00,0.0001,-0.000262,16790.088,44.65,43631.81,43112.17,43371.99,43891.63,42852.35,44151.45,42592.53,-512.39,-652.66,140.27,12.94,25.95,51.7,47.64,2442.4345,-152.0,14.989999999997965,-102.12,6.08,42984.27,43155.65,534.6299999999974,-504.6500000000015,-201.34999999999852,-372.7300000000032,-25.35,14.65,-13.01,140.26999999999998,,,43003.5,0.0,0.0,0.0,0.0,0.0,0.0,0,1136.124
1,15,147,1641495600000.0,43357.0,43494.5,43228.5,43406.5,1191.378,51663657.1095,2022-01-06 19:00:00,0.0001,-0.000679,16604.537,45.62,43633.07,43117.48,43375.27,43890.87,42859.68,44148.67,42601.88,-450.17,-612.16,161.99,13.3,24.87,50.17,47.58,2312.3663571428574,-130.06,-31.2300000000032,-17.13,4.8,43044.38,43281.07,484.3700000000026,-546.8199999999997,-125.43000000000028,-362.1200000000026,-24.380000000000003,15.619999999999996,-11.57,161.98999999999995,,,43003.5,0.0,0.0,0.0,0.0,0.0,0.0,0,1136.124
2,16,148,1641499200000.0,43406.5,43549.0,43101.0,43209.5,1556.081,67347276.315,2022-01-06 20:00:00,0.0001,-0.000389,16644.059,42.44,43584.71,43134.26,43359.49,43809.94,42909.03,44035.17,42683.8,-412.01,-572.13,160.12,12.37,25.12,49.02,47.57,2299.9535,-12.41,149.98999999999796,-131.03,-0.82,43083.38,43245.28,600.4400000000023,-300.4700000000012,35.77999999999884,-126.12000000000262,-27.56,12.439999999999998,-12.750000000000002,160.12,,,43003.5,0.0,0.0,0.0,0.0,0.0,0.0,0,1136.124
3,17,149,1641502800000.0,43209.5,43230.0,43060.0,43115.0,1098.699,47431218.9495,2022-01-06 21:00:00,0.0001,5.7e-05,16557.397,40.97,43533.38,43139.02,43336.2,43730.56,42941.85,43927.73,42744.67,-384.96,-534.7,149.74,12.02,25.1,48.03,47.64,2248.589285714286,-51.36,221.1999999999971,-193.13,-1.26,43091.16,43180.14,615.5599999999977,-173.15000000000146,65.13999999999942,-23.839999999996508,-29.03,10.97,-13.080000000000002,149.74000000000007,,,43003.5,0.0,0.0,0.0,0.0,0.0,0.0,0,1136.124
4,18,150,1641506400000.0,43115.0,43219.5,43017.0,43188.0,911.118,39292987.6345,2022-01-06 22:00:00,0.0001,-1.4e-05,16473.145,42.62,43516.65,43127.52,43322.09,43711.22,42932.96,43905.78,42738.39,-353.55,-498.47,144.91,11.61,24.96,47.21,48.04,2196.0445,-52.54,134.0899999999965,-89.83,-0.61,43098.38,43184.07,523.2200000000012,-255.04000000000087,-3.930000000000291,-89.62000000000262,-27.380000000000003,12.619999999999996,-13.35,144.92000000000002,,,43003.5,0.0,0.0,0.0,0.0,0.0,0.0,0,1136.124
5,19,151,1641510000000.0,43188.0,43227.5,43085.0,43110.5,807.989,34863000.655,2022-01-06 23:00:00,0.0001,0.000298,16457.122,41.3,43491.52,43112.35,43301.93,43681.1,42922.77,43870.68,42733.19,-331.09,-464.99,133.89,11.45,24.33,46.41,48.38,1889.162142857143,-306.88,191.4300000000003,-39.26,0.06,43135.77,43147.28,570.5999999999985,-187.7300000000032,36.77999999999884,25.2699999999968,-28.700000000000003,11.299999999999995,-12.88,133.90000000000003,,,43003.5,0.0,0.0,0.0,0.0,0.0,0.0,0,1136.124
6,20,152,1641513600000.0,43110.5,43137.0,42742.0,42800.0,2328.831,99907453.4235,2022-01-07 00:00:00,0.0001,0.000188,16478.682,36.41,43451.16,43057.11,43254.13,43648.18,42860.08,43845.21,42663.06,-334.5,-438.89,104.39,10.64,28.74,46.37,49.02,1870.6117142857145,-18.55,454.1299999999974,-0.35,-5.37,43119.11,42973.64,848.1800000000003,60.08000000000175,173.63999999999942,319.1100000000006,-33.59,6.409999999999997,-18.1,104.39,EnterPreparationState,lower,43003.5,0.0,0.0,0.0,0.0,0.0,0.0,0,1136.124
7,21,153,1641517200000.0,42800.0,43019.0,42800.0,43003.5,1060.635,45531713.293,2022-01-07 01:00:00,0.0001,-6.8e-05,16517.625,41.31,43427.39,43033.13,43230.26,43624.53,42836.0,43821.66,42638.86,-317.12,-414.54,97.41,10.21,27.58,46.34,49.41,1783.8260714285716,-86.78,226.76000000000204,-32.48,-0.07,43132.66,42988.57,621.0299999999988,-167.5,-14.930000000000293,129.1600000000035,-28.69,11.310000000000002,-17.369999999999997,97.42000000000002,PositionState,lower,43003.5,41953.0,0.0,1050.5,1664.0,0.0,1065.3275862068965,0,1136.124
8,54,186,1641636000000.0,42115.0,42150.0,41741.0,41915.0,1780.138,74720078.031,2022-01-08 10:00:00,0.0001,-0.000245,16745.917,47.4,42143.3,41761.91,41952.61,42334.0,41571.21,42524.7,41380.51,-94.37,-160.27,65.9,18.79,27.12,25.54,31.19,1275.8603571428573,13.98,37.61000000000058,3.25,-4.07,41925.38,41968.64,419.0,-343.7900000000009,53.63999999999942,10.37999999999738,-22.6,17.4,-8.330000000000002,65.9,,,40845.0,0.0,0.0,0.0,0.0,0.0,0.0,0,6390.18
9,55,187,1641639600000.0,41915.0,41955.0,41750.0,41943.5,1225.772,51289560.7735,2022-01-08 11:00:00,0.0001,-0.000128,16520.909,48.05,42102.3,41801.17,41951.74,42252.87,41650.61,42403.44,41500.04,-85.86,-145.39,59.53,18.07,26.08,25.01,30.95,1303.7397857142855,27.87,8.239999999997963,-163.54,-1.17,41933.66,41956.07,309.3700000000026,-292.8899999999994,12.569999999999707,-9.839999999996508,-21.950000000000003,18.05,-8.009999999999998,59.52999999999999,,,40845.0,0.0,0.0,0.0,0.0,0.0,0.0,0,6390.18
10,56,188,1641643200000.0,41943.5,42030.0,41766.0,41900.0,1278.725,53568388.8285,2022-01-08 12:00:00,0.0001,0.000188,16527.20699999,47.09,42084.09,41809.53,41946.81,42221.37,41672.25,42358.65,41534.97,-81.67,-132.65,50.97,18.59,24.76,24.24,30.6,1292.342571428571,-11.39,46.80999999999767,-134.26,1.11,41944.72,41928.03,321.3700000000026,-227.75,28.02999999999884,44.72000000000117,-22.91,17.090000000000003,-6.170000000000002,50.98,,,40845.0,0.0,0.0,0.0,0.0,0.0,0.0,0,6390.18
