,Unnamed: 0,start_at,open,high,low,close,volume,turnover,date,funding_rate,p_close,oi,rsi,upper1,lower1,middle,upper2,lower2,upper3,lower3,macd,macdsignal,macdhist,p_di,m_di,adx,adxr,volume_ma,volume_ma_diff,middle_diff,band_diff,di_diff,sma,ema,state,bb_direction,enter_price,exit_price,current_profit,bb_profit,profit_max,profit_min,profit_mean,profit_ma
24,156,1641528000000.0,41791.5,41889.5,40952.5,41667.5,10217.536,423282959.911,2022-01-07 04:00:00,0.0001,-0.000384,16768.839,26.07,43354.11,42493.08,42923.59,43784.63,42062.56,44215.15,41632.04,-457.4,-407.02,-50.37,6.61,44.05,49.81,51.6,2807.284071428571,502.91,-132.23,521.63,-5.49,42742.38,42004.69,PositionState,lower,41667.5,41953.0,0.0,-285.5,328.0,-732.0,-202.34615384615384,95.52999999999884
61,193,1641661200000.0,41349.0,41398.5,40808.0,40845.0,6225.291,256143278.531,2022-01-08 17:00:00,0.0001,0.000213,16688.766,28.44,42024.6,41466.39,41745.5,42303.7,41187.29,42582.8,40908.19,-198.82,-133.36,-65.45,11.9,33.29,27.0,29.0,1961.8585714285714,374.83,-94.79,421.61,-7.53,41700.16,41188.81,PositionState,lower,40845.0,41782.0,0.0,-937.0,154.0,-937.0,-192.9,-178.61000000000058
105,237,1641819600000.0,40968.0,41068.0,40750.0,40791.0,5279.071,215949177.579,2022-01-10 13:00:00,0.0001,0.000417,17959.899,30.76,42120.56,41279.9,41700.23,42540.89,40859.57,42961.22,40439.24,-161.72,-31.4,-130.32,14.96,35.8,13.45,13.04,2192.7404285714288,194.26,-95.7,400.43,-5.71,41629.72,41060.61,PositionState,lower,40791.0,41899.0,0.0,-1108.0,2.0,-1108.0,-325.25,-366.5899999999965
182,314,1642096800000.0,42830.0,42996.5,42669.0,42726.5,2080.857,89146299.8565,2022-01-13 18:00:00,0.0001,0.000259,17989.025,35.37,43796.6,43113.95,43455.28,44137.93,42772.62,44479.26,42431.3,-47.21,102.32,-149.53,19.32,28.31,33.79,39.38,2992.8070714285714,72.0,-76.7,309.81,-2.21,43466.27,42924.52,PositionState,lower,42726.5,42951.5,0.0,-225.0,695.0,-225.0,147.02380952380952,386.02999999999884
277,409,1642438800000.0,42251.5,42255.0,41936.0,42121.0,3440.668,144916536.238,2022-01-17 17:00:00,0.0001,0.000739,19166.077,29.17,42889.88,42419.13,42654.5,43125.25,42183.76,43360.62,41948.38,-170.37,-119.93,-50.43,10.14,37.69,31.36,25.01,2125.5255714285718,113.11,-56.16,143.35,-4.57,42555.11,42265.62,PositionState,lower,42121.0,42357.0,0.0,-236.0,675.0,-236.0,175.74137931034483,233.36000000000058
378,510,1642802400000.0,36646.0,37129.5,35378.0,36084.0,14438.46,523697667.7325,2022-01-21 22:00:00,0.0001,-0.00079,17407.089,22.35,39300.06,37792.58,38546.32,40053.8,37038.84,40807.54,36285.1,-960.1,-833.63,-126.47,4.0,41.13,56.78,48.64,6778.665000000001,834.91,-259.19,623.74,-1.64,37956.61,36769.56,PositionState,lower,36084.0,35438.5,0.0,645.5,1710.5,-379.5,647.625,1485.9099999999962
597,729,1643590800000.0,36833.5,36945.0,36744.0,36818.5,3094.398,114025068.809,2022-01-31 01:00:00,6.852e-05,-1.8e-05,17266.487,31.12,38020.57,37302.92,37661.75,38379.4,36944.09,38738.22,36585.27,-162.86,-46.64,-116.22,17.65,33.9,20.27,22.92,2185.828714285715,114.9,-88.76,422.99,-6.4,37551.55,37068.36,PositionState,lower,36818.5,37470.0,0.0,-651.5,0.0,-651.5,-265.64285714285717,-255.37000000000262
659,791,1643814000000.0,37710.0,37824.0,37368.0,37432.0,7196.671,270368498.344,2022-02-02 15:00:00,-2.667e-05,-8.7e-05,19102.553,31.35,38625.77,38000.38,38313.07,38938.47,37687.68,39251.17,37374.98,-116.45,-9.11,-107.33,16.31,32.29,24.08,28.55,2628.2270000000003,381.9,-92.75,465.32,-8.5,38265.0,37758.83,PositionState,lower,37432.0,36926.0,0.0,506.0,1073.5,-132.5,520.6129032258065,1044.0299999999988
879,1011,1644606000000.0,42661.0,43134.0,42050.0,42724.5,10705.813,456090311.65,2022-02-11 19:00:00,0.0001,-0.000255,18491.718,38.36,43676.44,43098.57,43387.5,43965.37,42809.63,44254.31,42520.7,-211.54,-178.71,-32.83,10.88,33.0,21.53,20.01,3313.4837857142857,625.31,-69.79,22.45,-6.36,43337.61,42898.27,PositionState,lower,42724.5,42691.5,0.0,33.0,686.5,0.0,412.77272727272725,484.34999999999854
994,1126,1645020000000.0,43637.5,43748.0,43265.0,43484.5,5999.263,261329680.3945,2022-02-16 14:00:00,0.0001,1.3e-05,20510.097,39.49,44148.86,43738.07,43943.47,44354.25,43532.68,44559.64,43327.29,29.36,126.17,-96.81,19.42,35.67,23.7,30.66,2273.3712857142864,234.11,-48.3,193.88,-9.38,43980.0,43671.28,PositionState,lower,43484.5,44202.0,0.0,-717.5,0.0,-717.5,-230.83333333333334,-286.48999999999796
