,Unnamed: 0,start_at,open,high,low,close,volume,turnover,date,funding_rate,oi,rsi,upper1,lower1,middle,upper2,lower2,upper3,lower3,macd,macdsignal,macdhist,p_di,m_di,adx,adxr,volume_ma,volume_ma_diff,middle_diff,band_diff,di_diff,sma,ema,state,bb_direction,enter_price,exit_price,current_profit,bb_profit,profit_max,profit_min,profit_mean,profit_ma
10,142,1672756200000.0,16742.5,16770.0,16631.0,16658.0,9008.938,150463445.479,2023-01-03 14:30:00,0.0001,76260.829,37.75,16730.73,16692.62,16711.67,16749.78,16673.56,16768.84,16654.51,0.5,4.18,-3.67,17.37,31.66,21.0,20.23,1445.9139285714284,565.71,-5.65,18.59,-23.36,16713.5,16694.3,PositionState,lower,16658.0,16669.0,0.0,-11.0,36.5,-21.5,10.857142857142858,32.55999999999767
138,270,1672986600000.0,16792.0,16796.0,16774.5,16778.5,1629.474,27352368.6015,2023-01-06 06:30:00,-3.394e-05,71062.634,36.56,16833.24,16797.65,16815.45,16851.04,16779.85,16868.84,16762.05,-8.67,-3.3,-5.37,12.22,35.53,23.42,17.57,722.642642857143,78.17,-3.88,8.08,-4.42,16809.0,16789.23,PositionState,lower,16778.5,16768.5,0.0,10.0,98.5,-20.0,16.8,52.70999999999913
396,528,1673451000000.0,17388.0,17391.0,17309.5,17328.5,6181.057,107188517.408,2023-01-11 15:30:00,-0.00016625,72747.34699999,32.79,17429.31,17377.51,17403.41,17455.21,17351.62,17481.11,17325.72,-6.31,4.08,-10.39,15.09,33.0,16.98,19.73,1520.1130714285714,402.74,-7.88,34.45,-16.87,17396.83,17361.92,PositionState,lower,17328.5,17475.5,0.0,-147.0,0.0,-147.0,-45.666666666666664,-59.42000000000189
933,1065,1674417600000.0,22717.5,22728.0,22415.0,22568.5,13100.443,295430020.1895,2023-01-22 20:00:00,0.0001,46551.673,33.39,22909.88,22724.86,22817.37,23002.4,22632.35,23094.91,22539.84,-38.26,-15.13,-23.12,12.26,36.51,20.69,20.02,4120.5608571428575,755.71,-26.2,86.21,-12.37,22804.33,22671.35,PositionState,lower,22568.5,22769.5,0.0,-201.0,119.0,-201.0,-39.166666666666664,-52.38000000000102
1008,1140,1674552600000.0,22913.0,22921.0,22770.0,22850.0,6434.781,146962510.852,2023-01-24 09:30:00,0.0001,46438.996,37.77,23086.23,22940.13,23013.18,23159.28,22867.08,23232.33,22794.03,7.99,36.95,-28.96,16.45,33.12,17.39,16.68,2150.7591428571427,308.78,-17.18,17.04,-4.41,23039.5,22917.95,PositionState,lower,22850.0,22994.0,0.0,-144.0,0.0,-144.0,-67.25,-37.80999999999767
1136,1268,1674783000000.0,22893.0,22910.0,22523.0,22646.0,17518.256,397132589.1625,2023-01-27 01:30:00,0.0001,44857.369,26.7,23078.82,22877.6,22978.21,23179.43,22776.99,23280.04,22676.38,-50.44,-14.52,-35.92,10.38,40.64,25.79,24.86,2598.5004999999996,1079.72,-34.97,160.0,-17.76,22952.77,22785.06,PositionState,lower,22646.0,23028.0,0.0,-382.0,0.0,-382.0,-156.88888888888889,-135.38999999999942
1296,1428,1675071000000.0,23292.0,23337.0,23102.5,23193.0,9261.756,214856090.6475,2023-01-30 09:30:00,0.0001,45650.599,23.21,23721.9,23442.17,23582.03,23861.77,23302.3,24001.64,23162.43,-61.43,-3.34,-58.09,11.37,42.32,26.4,28.99,3123.790571428571,606.62,-40.96,211.5,-7.4,23556.5,23314.34,PositionState,lower,23193.0,22861.0,0.0,332.0,516.5,-92.0,237.5340909090909,485.3600000000006
1450,1582,1675348200000.0,23904.0,23940.0,23510.0,23612.0,16753.468,397198158.539,2023-02-02 14:30:00,0.0001,47426.061,41.1,23843.49,23730.78,23787.14,23899.85,23674.43,23956.2,23618.07,22.48,48.7,-26.22,19.04,29.39,17.52,25.24,2708.433071428571,1076.15,-18.43,79.07,-10.41,23797.55,23730.74,PositionState,lower,23612.0,23849.0,0.0,-237.0,0.0,-237.0,-102.66666666666667,-47.18999999999869
1484,1616,1675409400000.0,23472.0,23498.0,23444.5,23449.0,1707.845,40076942.0575,2023-02-03 07:30:00,0.0001,46370.843,37.76,23585.27,23513.34,23549.3,23621.23,23477.37,23657.2,23441.41,-60.6,-62.12,1.51,13.91,27.7,25.69,22.82,990.0292142857143,-21.46,-10.56,-64.32,-2.5,23508.44,23471.0,PositionState,lower,23449.0,23543.0,0.0,-94.0,68.5,-94.0,9.166666666666666,-22.13000000000102
1497,1629,1675432800000.0,23349.5,23384.5,23218.0,23321.0,4267.818,99463929.3775,2023-02-03 14:00:00,0.0001,47170.44,34.33,23533.87,23406.78,23470.33,23597.42,23343.24,23660.97,23279.69,-44.9,-43.84,-1.06,12.72,35.83,31.16,28.43,3279.020285714286,205.64,-15.71,25.48,-3.01,23452.05,23376.47,PositionState,lower,23321.0,23517.5,0.0,-196.5,0.0,-196.5,-98.25,-70.5099999999984
1565,1697,1675555200000.0,23323.5,23368.0,23284.5,23320.0,1742.667,40647759.814,2023-02-05 00:00:00,0.0001,47060.996,35.41,23432.98,23364.4,23398.69,23467.26,23330.12,23501.55,23295.83,-10.87,1.95,-12.82,14.2,28.98,15.3,17.16,847.8717857142857,71.83,-8.28,28.59,-2.34,23392.38,23343.5,PositionState,lower,23320.0,23372.0,0.0,-52.0,32.0,-52.0,-6.05,-10.360000000000582
1591,1723,1675602000000.0,23161.5,23162.0,23068.0,23152.5,5158.18,119268994.961,2023-02-05 13:00:00,0.0001,45975.43,24.77,23400.22,23266.62,23333.42,23467.02,23199.82,23533.82,23133.02,-30.75,-9.34,-21.4,9.59,46.55,21.38,22.19,1908.4107857142856,334.87,-19.05,95.07,-3.54,23325.66,23208.49,PositionState,lower,23152.5,23061.0,0.0,91.5,302.0,-42.5,147.0,206.4300000000003
1623,1755,1675659600000.0,22867.0,22885.0,22612.5,22700.0,6835.712,155395216.2255,2023-02-06 05:00:00,0.0001,49186.023,28.75,23010.86,22859.63,22935.24,23086.47,22784.02,23162.08,22708.41,-68.62,-59.44,-9.17,11.03,46.38,39.76,44.59,1613.5104285714285,284.3,-24.76,66.85,-16.24,22900.83,22793.88,PositionState,lower,22700.0,22881.5,0.0,-181.5,0.0,-181.5,-116.96428571428571,-44.98999999999796
