,Unnamed: 0,start_at,open,high,low,close,volume,turnover,date,funding_rate,oi,rsi,upper1,lower1,middle,upper2,lower2,upper3,lower3,macd,macdsignal,macdhist,p_di,m_di,adx,adxr,volume_ma,volume_ma_diff,middle_diff,band_diff,di_diff,sma,ema,state,bb_direction,enter_price,exit_price,current_profit,bb_profit,profit_max,profit_min,profit_mean,profit_ma
36,168,1672803000000.0,16796.5,16869.5,16796.0,16853.5,3825.826,64402157.813,2023-01-04 03:30:00,0.0001,72699.624,78.51,16761.45,16654.93,16708.19,16814.71,16601.67,16867.97,16548.41,26.34,6.74,19.6,42.65,10.3,25.95,25.67,1881.1952857142858,227.34,15.29,91.56,13.19,16722.27,16805.29,PositionState,upper,16853.5,16811.5,0.0,-42.0,21.5,-42.0,-7.2105263157894735,18.889999999999418
63,195,1672851600000.0,16850.5,16870.0,16843.5,16866.5,766.588,12920819.2935,2023-01-04 17:00:00,0.0001,72118.039,62.74,16848.14,16816.1,16832.12,16864.17,16800.07,16880.19,16784.05,17.65,19.23,-1.57,23.34,14.29,33.45,41.02,1932.783357142857,0.21,3.61,3.04,-2.4,16836.77,16857.65,PositionState,upper,16866.5,16801.5,0.0,-65.0,77.0,-65.0,13.6,1.139999999999418
164,296,1673033400000.0,16850.5,16958.0,16850.5,16930.5,8236.823,139328221.4915,2023-01-06 19:30:00,0.0001,70258.762,70.31,16870.55,16756.02,16813.28,16927.82,16698.75,16985.08,16641.48,21.92,5.84,16.07,36.74,12.86,29.19,38.4,3282.8250714285714,514.58,12.34,52.09,16.3,16840.88,16886.53,PositionState,upper,16930.5,16921.0,0.0,-9.5,41.5,-44.0,3.8653846153846154,40.81000000000131
268,400,1673220600000.0,17038.5,17190.0,17024.5,17119.5,9017.532,154364667.312,2023-01-08 23:30:00,0.0001,68273.586,81.13,17014.26,16921.98,16968.12,17060.4,16875.84,17106.54,16829.7,24.52,9.23,15.28,52.91,5.95,36.91,28.34,1849.5495714285714,551.41,15.93,103.09,29.05,16980.72,17058.21,PositionState,upper,17119.5,17228.5,0.0,109.0,242.0,-17.0,108.53571428571429,206.95999999999913
353,485,1673373600000.0,17308.0,17390.0,17307.5,17357.5,4677.926,81204905.0105,2023-01-10 18:00:00,-0.00017739,68285.621,69.94,17310.29,17236.35,17273.32,17347.25,17199.38,17384.22,17162.41,26.05,18.29,7.76,32.96,12.42,24.5,22.11,2616.0869285714284,270.7,8.86,24.96,10.45,17300.55,17328.33,PositionState,upper,17357.5,17376.5,0.0,19.0,106.0,0.0,63.361111111111114,69.91999999999825
412,544,1673479800000.0,17629.5,18031.0,17629.5,17929.0,24564.229,439126968.8135,2023-01-11 23:30:00,1.701e-05,69992.028,87.81,17663.07,17399.47,17531.27,17794.88,17267.66,17926.68,17135.86,74.17,38.44,35.73,54.3,7.53,34.63,27.01,4854.186357142857,1682.5,41.86,222.85,30.88,17587.94,17756.24,PositionState,upper,17929.0,18064.0,0.0,135.0,335.5,0.0,224.25,390.5599999999977
448,580,1673544600000.0,18243.0,18900.0,18232.0,18833.5,41437.638,772208165.5299999,2023-01-12 17:30:00,-1.809e-05,64779.559,76.22,18358.52,18030.66,18194.59,18522.45,17866.73,18686.38,17702.8,90.36,59.23,31.12,40.84,13.13,36.98,43.63,10100.747285714286,2884.17,67.25,402.73,35.18,18208.72,18506.02,PositionState,upper,18833.5,18852.5,0.0,19.0,203.5,-201.0,4.153846153846154,373.6100000000006
491,623,1673622000000.0,18983.5,19270.0,18974.0,19260.0,21946.16,419913978.535,2023-01-13 15:00:00,-0.00042722,64677.271,74.34,19013.44,18800.65,18907.04,19119.83,18694.25,19226.23,18587.85,75.5,60.27,15.23,34.56,12.22,23.66,24.95,5069.7291428571425,1510.5,37.15,181.24,15.3,18939.05,19096.76,PositionState,upper,19260.0,20581.5,0.0,1321.5,1748.5,-160.0,913.7162162162163,1682.380000000001
555,687,1673737200000.0,20997.0,21093.0,20961.5,21066.0,3349.526,70432079.106,2023-01-14 23:00:00,0.0001,48540.975,65.87,20936.5,20768.18,20852.34,21020.66,20684.03,21104.81,20599.87,81.53,72.53,8.99,25.47,15.89,17.82,22.96,2240.1612142857143,29.2,22.49,94.36,5.87,20892.33,21003.55,PositionState,upper,21066.0,20765.0,0.0,-301.0,0.0,-301.0,-140.875,-147.29999999999927
587,719,1673794800000.0,20801.5,20921.0,20786.5,20878.5,5285.723,110293660.9545,2023-01-15 15:00:00,0.0001,50747.544,62.02,20800.71,20695.98,20748.35,20853.08,20643.62,20905.44,20591.25,7.66,-8.5,16.16,31.01,16.8,18.38,19.35,2218.092357142857,206.59,13.69,61.18,11.32,20746.66,20819.47,PositionState,upper,20878.5,20798.5,0.0,-80.0,114.5,-80.0,22.071428571428573,45.70999999999913
