start_at,open,high,low,close,volume,turnover,date,funding_rate,p_close,oi,rsi,upper1,lower1,middle,upper2,lower2,upper3,lower3,macd,macdsignal,macdhist,p_di,m_di,adx,adxr,volume_ma,volume_ma_diff,middle_diff,band_diff,di_diff,sma,ema,upper_diff,lower_diff,ema_diff,sma_diff,rsi_sell,rsi_buy,dmi_diff,macd_diff,bol_diff,state,bb_direction,entry_price,exit_price,current_profit,bb_profit,profit_max,profit_min,profit_mean,prediction,profit_ma,entry_type,entry_volume
2023-01-03 10:00:00,16735.5,16741.5,16722.0,16722.5,1367.184,22873201.299,2023-01-03 10:00:00,0.0001,4e-05,75552.656,55.83,16727.48,16683.07,16705.27,16749.69,16660.86,16771.9,16638.65,14.24,14.98,-0.73,29.93,15.16,27.8,30.41,2603.631714285715,30.5,-17.229999999999563,4.75,0.99,16709.88,16722.5,27.18999999999869,-61.63999999999942,0.0,-12.619999999998981,-14.170000000000002,25.83,14.77,-0.7400000000000002,88.82999999999811,None,None,16630.5,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,None,1802.374
2023-01-03 11:00:00,16722.5,16733.5,16707.0,16715.5,1313.39,21960624.891,2023-01-03 11:00:00,0.0001,-0.000428,75914.107,54.08,16727.97,16684.53,16706.25,16749.69,16662.8,16771.41,16641.08,13.41,14.66,-1.25,28.41,17.27,27.56,29.96,2458.795857142858,-144.83,-9.25,-0.04,-4.76,16714.44,16719.7,34.18999999999869,-52.70000000000073,4.200000000000728,-1.0600000000013097,-15.920000000000002,24.08,11.14,-1.25,86.88999999999942,None,None,16630.5,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,None,1802.374
2023-01-03 12:00:00,16715.5,16722.5,16701.0,16706.0,1651.955,27607063.2785,2023-01-03 12:00:00,0.0001,-0.000239,76056.516,51.71,16727.96,16684.49,16706.22,16749.69,16662.76,16771.42,16641.03,11.85,14.1,-2.25,27.2,17.72,27.1,29.07,2257.3674285714296,-201.42,0.22000000000116415,0.04,-3.18,16716.11,16714.22,43.68999999999869,-43.2400000000016,8.220000000001164,10.110000000000582,-18.29,21.71,9.48,-2.25,86.93000000000029,None,None,16630.5,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,None,1802.374
2023-01-03 13:00:00,16706.0,16735.0,16706.0,16724.0,1423.366,23801296.1355,2023-01-03 13:00:00,0.0001,-0.000366,75886.732,55.67,16729.87,16685.96,16707.92,16751.83,16664.0,16773.79,16642.05,11.93,13.67,-1.73,28.13,16.69,26.98,28.31,2081.5084285714297,-175.85,-16.080000000001746,0.9,0.74,16720.0,16718.13,27.830000000001746,-60.0,-5.869999999998981,-4.0,-14.329999999999998,25.67,11.439999999999998,-1.7400000000000002,87.83000000000175,None,None,16630.5,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,None,1802.374
2023-01-03 14:00:00,16724.0,16770.0,16631.0,16658.0,10268.536,171543521.538,2023-01-03 14:00:00,0.0001,-0.000268,76085.481,42.06,16727.72,16678.6,16703.16,16752.29,16654.04,16776.85,16629.47,6.59,12.25,-5.66,21.63,25.29,25.61,26.97,2590.7473571428586,509.23,45.159999999999854,12.56,-14.16,16713.16,16694.07,94.29000000000087,-3.959999999999127,36.06999999999971,55.159999999999854,-27.939999999999998,12.060000000000002,-3.66,-5.66,98.25,None,None,16630.5,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,None,1802.374
2023-01-03 15:00:00,16658.0,16680.0,16616.0,16679.5,8501.428,141545257.4075,2023-01-03 15:00:00,0.0001,0.0,74819.163,46.63,16725.34,16676.48,16700.91,16749.76,16652.05,16774.19,16627.62,4.04,10.61,-6.56,19.41,25.1,24.69,25.91,2981.278142857144,390.53,21.409999999999854,-0.08,-8.53,16708.77,16688.24,70.2599999999984,-27.450000000000728,8.7400000000016,29.270000000000437,-23.369999999999997,16.630000000000003,-5.690000000000001,-6.569999999999999,97.70999999999913,None,None,16630.5,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,None,1802.374
2023-01-03 16:00:00,16679.5,16686.0,16606.0,16621.5,4999.237,83211016.8495,2023-01-03 16:00:00,0.0001,-8.6e-05,75206.382,37.93,16723.06,16663.63,16693.34,16752.77,16633.91,16782.49,16604.2,-2.61,7.96,-10.58,17.05,23.57,24.07,25.22,3280.4224285714295,299.14,71.84000000000015,18.61,-3.04,16697.16,16661.54,131.27000000000044,12.409999999999854,40.04000000000087,75.65999999999985,-32.07,7.93,-6.52,-10.57,118.86000000000058,EntryPreparationState,lower,16630.5,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,None,1802.374
2023-01-03 17:00:00,16621.5,16641.5,16605.0,16630.5,2831.586,47075250.082,2023-01-03 17:00:00,0.0001,0.0,75171.849,39.8,16718.04,16656.68,16687.36,16748.72,16626.0,16779.39,16595.32,-7.09,4.95,-12.04,16.09,22.39,23.52,24.61,3408.5190000000007,128.09,56.86000000000058,6.87,-2.14,16688.11,16649.12,118.22000000000116,-4.5,18.61999999999898,57.61000000000058,-30.200000000000003,9.799999999999997,-6.300000000000001,-12.04,122.72000000000116,PositionState,lower,16630.5,16698.5,0.0,-68.0,0.0,-68.0,-29.333333333333332,0,-27.44000000000233,None,1802.374
2023-01-06 05:00:00,16817.0,16817.5,16785.5,16805.0,1426.524,23965788.141,2023-01-06 05:00:00,-3.394e-05,-0.000301,71511.095,45.75,16842.91,16805.88,16824.39,16861.43,16787.36,16879.95,16768.84,0.81,4.03,-3.21,16.13,25.47,10.85,12.83,1490.5632142857153,-432.51,19.389999999999418,-3.16,-3.12,16826.38,16815.98,56.43000000000029,-17.639999999999418,10.979999999999563,21.38000000000102,-24.25,15.75,-9.34,-3.22,74.06999999999971,None,None,16726.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,None,15887.823
2023-01-06 06:00:00,16805.0,16809.0,16774.5,16778.5,2125.44,35684804.795,2023-01-06 06:00:00,-3.394e-05,-0.000553,71135.962,40.61,16841.15,16798.9,16820.02,16862.27,16777.78,16883.39,16756.65,-2.86,2.65,-5.52,15.0,25.92,11.98,13.12,1472.3269285714293,-18.23,41.52000000000044,8.15,-2.69,16819.38,16800.99,83.77000000000044,-0.7200000000011642,22.4900000000016,40.88000000000102,-29.39,10.61,-10.920000000000002,-5.51,84.4900000000016,None,None,16726.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,None,15887.823
