,Unnamed: 0.1,Unnamed: 0,start_at,open,high,low,close,volume,turnover,date,funding_rate,p_close,oi,rsi,upper1,lower1,middle,upper2,lower2,upper3,lower3,macd,macdsignal,macdhist,p_di,m_di,adx,adxr,volume_ma,volume_ma_diff,middle_diff,band_diff,di_diff,sma,ema,upper_diff,lower_diff,ema_diff,sma_diff,rsi_sell,rsi_buy,dmi_diff,macd_diff,bol_diff,state,bb_direction,entry_price,exit_price,current_profit,bb_profit,profit_max,profit_min,profit_mean,prediction,entry_volume
0,6,138,1686045600000.0,25741.2,25780.0,25727.6,25731.1,1272.906,32785779.9605,2023-06-06 10:00:00,4.867e-05,-0.000479,63286.678,33.09,25960.66,25789.66,25875.16,26046.16,25704.16,26131.66,25618.65,-212.87,-260.55,47.67,14.2,33.67,49.79,50.38,2342.8143571428577,-110.24,144.0600000000013,-818.94,2.57,25737.27,25729.07,315.0600000000013,-26.93999999999869,-2.029999999998836,6.170000000001892,-36.91,3.0900000000000034,-19.47,47.68000000000001,342.0,,,26659.9,0.0,0.0,0.0,0.0,0.0,0.0,0,7169.641
1,7,139,1686049200000.0,25731.1,25739.3,25628.0,25674.8,2575.519,66142303.5478,2023-06-06 11:00:00,4.867e-05,-0.000501,63358.034,30.83,25916.03,25796.12,25856.08,25975.99,25736.16,26035.95,25676.2,-203.98,-249.24,45.25,13.33,37.08,49.6,50.92,2191.3672142857145,-151.44,181.28000000000247,-444.57,-4.41,25728.93,25701.93,301.1900000000023,61.36000000000058,27.13000000000102,54.13000000000102,-39.17,0.8299999999999983,-23.75,45.26000000000002,239.83000000000172,EnterPreparationState,lower,26659.9,0.0,0.0,0.0,0.0,0.0,0.0,0,7169.641
2,8,140,1686052800000.0,25674.8,25733.9,25324.2,25525.5,24740.493,631770807.862,2023-06-06 12:00:00,4.867e-05,-0.000477,63720.11,25.79,25891.41,25757.77,25824.59,25958.23,25690.95,26025.05,25624.13,-206.6,-240.71,34.1,10.73,44.31,50.41,51.56,3701.3515,1509.98,299.09000000000015,-42.72,-10.7,25707.42,25613.71,432.7299999999996,165.45000000000073,88.20999999999913,181.91999999999825,-44.21,-4.210000000000001,-33.58,34.110000000000014,267.27999999999884,PositionState,lower,26659.9,26014.3,0.0,-488.7999999999993,0.0,-488.7999999999993,-229.09999999999977,0,7169.641
3,9,141,1686056400000.0,25525.5,25772.5,25369.0,25724.0,14504.166,371010664.1061,2023-06-06 13:00:00,4.867e-05,-0.000412,63313.409,39.87,25880.87,25749.15,25815.01,25946.73,25683.3,26012.58,25617.44,-190.47,-230.66,40.19,10.53,36.71,50.77,51.99,4462.6125,761.26,91.0099999999984,-21.61,4.8,25701.28,25668.85,222.7299999999996,-40.70000000000073,-55.150000000001455,-22.720000000001164,-30.130000000000003,9.869999999999996,-26.18,40.19,263.4300000000003,PositionState,lower,26659.9,26014.3,-198.5,0.0,0.0,0.0,0.0,0,7169.641
4,10,142,1686060000000.0,25724.0,26118.0,25723.6,26014.3,27294.643,708257522.8714,2023-06-06 14:00:00,4.867e-05,-0.000374,64869.955,53.7,25925.01,25742.97,25833.99,26016.03,25651.95,26107.06,25560.93,-152.49,-215.03,62.53,22.31,31.1,48.32,51.07,6187.942071428572,1725.32,-180.30999999999767,89.14,17.18,25729.98,25841.57,1.7299999999995634,-362.34999999999854,-172.72999999999956,-284.3199999999997,-16.299999999999997,23.700000000000003,-8.790000000000003,62.53999999999999,364.0799999999981,IdleState,lower,26659.9,26014.3,-488.7999999999993,0.0,0.0,0.0,0.0,0,7169.641
5,11,143,1686063600000.0,26014.3,26140.0,25906.6,26055.0,9319.044,242414296.3519,2023-06-06 15:00:00,4.867e-05,-0.000657,64276.349,55.26,25970.89,25739.19,25855.04,26086.74,25623.34,26202.58,25507.49,-117.76,-195.57,77.81,21.16,28.34,45.9,49.75,6710.892285714284,522.95,-199.95999999999916,168.62,13.39,25763.22,25948.28,31.7400000000016,-431.6599999999999,-106.72000000000116,-291.77999999999884,-14.740000000000002,25.26,-7.18,77.80999999999999,463.4000000000015,,,26659.9,0.0,0.0,0.0,0.0,0.0,0.0,0,7169.641
6,12,144,1686067200000.0,26055.0,26394.2,26054.9,26358.8,18610.719,487952332.1049,2023-06-06 16:00:00,0.0001,-0.000341,64208.053,64.76,26079.71,25726.32,25903.02,26256.4,25549.63,26433.09,25372.94,-64.97,-169.45,104.48,27.72,24.88,43.01,48.2,7882.300642857143,1171.4,-455.7799999999989,314.08,8.87,25835.43,26153.54,-102.39999999999782,-809.1699999999983,-205.2599999999984,-523.369999999999,-5.239999999999995,34.760000000000005,2.84,104.48,706.7700000000004,EnterPreparationState,upper,26659.9,0.0,0.0,0.0,0.0,0.0,0.0,0,7169.641
7,13,145,1686070800000.0,26358.8,26767.0,26275.8,26659.9,32304.599,857645450.0787998,2023-06-06 17:00:00,0.0001,-0.000396,62788.129,71.28,26235.32,25714.88,25975.1,26495.53,25454.66,26755.75,25194.45,1.14,-135.33,136.48,35.42,20.91,41.77,47.32,10116.256428571429,2233.95,-684.8000000000029,503.75,18.23,25942.73,26406.72,-164.37000000000262,-1205.2400000000016,-253.1800000000003,-717.1700000000019,1.2800000000000011,41.28,14.510000000000002,136.47,1040.869999999999,PositionState,upper,26659.9,26475.8,0.0,-184.10000000000215,557.0,-184.10000000000215,254.2823529411749,0,7169.641
8,53,185,1686214800000.0,26431.1,26431.2,26361.4,26374.0,1881.224,49636109.9941,2023-06-08 09:00:00,2.319e-05,-0.000332,57237.836,46.51,26504.26,26347.28,26425.77,26582.74,26268.8,26661.23,26190.31,-41.1,-49.36,8.26,16.02,24.7,23.7,23.03,3081.0718571428574,6.67,51.77000000000044,-229.36,-1.32,26392.75,26397.86,208.7400000000016,-105.20000000000071,23.860000000000586,18.75,-23.49,16.509999999999998,-8.68,8.259999999999998,313.9400000000023,,,26485.3,0.0,0.0,0.0,0.0,0.0,0.0,0,3232.078
9,54,186,1686218400000.0,26374.0,26484.0,26359.5,26470.5,2484.392,65631906.4953,2023-06-08 10:00:00,2.319e-05,-0.000483,57319.369,51.31,26510.44,26349.62,26430.03,26590.85,26269.21,26671.26,26188.8,-32.38,-45.97,13.58,17.45,23.36,23.04,23.05,3002.7854285714284,-78.28,-40.47000000000117,-85.2,2.27,26396.85,26434.18,120.34999999999854,-201.29000000000087,-36.31999999999971,-73.65000000000146,-18.69,21.31,-5.91,13.589999999999996,321.6399999999994,,,26485.3,0.0,0.0,0.0,0.0,0.0,0.0,0,3232.078
