,start_at,open,high,low,close,volume,turnover,date,funding_rate,p_close,oi,rsi,upper1,lower1,middle,upper2,lower2,upper3,lower3,macd,macdsignal,macdhist,p_di,m_di,adx,adxr,volume_ma,volume_ma_diff,middle_diff,band_diff,di_diff,sma,ema,upper_diff,lower_diff,ema_diff,sma_diff,rsi_sell,rsi_buy,dmi_diff,macd_diff,bol_diff,state,bb_direction,entry_price,exit_price,current_profit,bb_profit,profit_max,profit_min,profit_mean,prediction,profit_ma
155,1689667200.0,29947.9,30100.0,29780.0,29866.5,18358.464,549836680.2117,2023-07-18 08:00:00,-3.259e-05,-0.00071553,67715.967,37.64,30340.41,30053.36,30196.88,30483.94,29909.83,30627.46,29766.3,-150.7,-122.7,-28.0,9.77,30.62,29.22,25.76,11780.956285714285,432.67,330.380000000001,76.0,-2.17,30081.26,29961.15,617.4399999999987,43.330000000001746,94.65000000000146,214.7599999999984,-32.36,7.640000000000001,-20.85,-27.999999999999986,574.109999999997,PositionState,lower,29866.5,30190.0,0.0,-323.5,166.59999999999854,-323.5,-77.4416666666666,0,-79.94999999999709
192,1690200000.0,29257.0,29257.1,28851.0,29088.7,33873.456,984934431.2482,2023-07-24 12:00:00,5.915e-05,-0.00017735,63356.876,28.96,29988.14,29532.26,29760.2,30216.08,29304.32,30444.02,29076.38,-126.07,-61.01,-65.06,14.19,34.07,23.68,25.74,13206.326214285713,2054.95,671.5,352.65,-4.5,29740.77,29405.08,1127.380000000001,215.61999999999898,316.380000000001,652.0699999999997,-41.04,-1.0399999999999991,-19.880000000000003,-65.06,911.760000000002,PositionState,lower,29088.7,29385.0,0.0,-296.2999999999993,0.0,-296.2999999999993,-91.65714285714265,0,111.31000000000131
236,1690833600.0,29149.8,29287.0,29106.7,29224.4,8055.675,235213939.3992,2023-07-31 20:00:00,1.912e-05,-0.00027499,70726.331,45.9,29349.94,29224.32,29287.13,29412.75,29161.51,29475.56,29098.7,-22.76,-17.76,-4.99,21.02,24.07,14.45,16.84,9253.237785714286,325.61,62.72999999999956,-6.25,-0.26,29285.45,29237.2,188.34999999999854,-62.890000000003056,12.799999999999272,61.04999999999927,-24.1,15.899999999999999,-3.0500000000000007,-5.0,251.2400000000016,PositionState,lower,29224.4,29263.9,0.0,-39.5,398.7000000000007,-39.5,219.41666666666728,0,164.11000000000058
277,1691424000.0,28852.2,29184.8,28677.1,29146.4,35833.375,1037071502.2769,2023-08-07 16:00:00,0.0001,-0.00035523,70759.399,52.11,29154.97,29009.26,29082.12,29227.83,28936.4,29300.69,28863.55,-34.82,-39.84,5.01,11.49,24.83,16.82,15.96,8258.408,2376.45,-64.28000000000247,-0.11,-3.76,29059.85,29054.25,81.43000000000029,-210.0,-92.15000000000146,-86.55000000000291,-17.89,22.11,-13.339999999999998,5.020000000000003,291.4300000000003,PositionState,lower,29146.4,29200.0,0.0,-53.599999999998545,0.0,-53.599999999998545,-26.799999999999272,0,-58.29999999999927
315,1691971200.0,29301.3,29419.1,29080.0,29388.0,20725.965,606126927.429,2023-08-14 00:00:00,0.0001,-0.00028614,70317.827,48.92,29430.98,29372.09,29401.53,29460.42,29342.65,29489.87,29313.2,-12.0,-2.67,-9.33,19.19,24.61,19.21,21.94,4565.987571428572,451.54,13.529999999998836,1.28,-13.08,29386.27,29371.39,72.41999999999825,-45.349999999998545,-16.610000000000582,-1.7299999999995634,-21.08,18.92,-5.419999999999998,-9.33,117.7699999999968,PositionState,lower,29388.0,29414.8,0.0,-26.799999999999272,0.0,-26.799999999999272,-13.399999999999636,0,-17.360000000000582
326,1692129600.0,29178.5,29242.5,29130.0,29194.4,7740.507,225996292.8834,2023-08-15 20:00:00,0.0001,-0.0002077,71065.547,38.89,29441.79,29276.08,29358.94,29524.65,29193.22,29607.51,29110.37,-37.96,-14.24,-23.71,15.58,23.02,13.68,16.99,11709.502142857144,325.67,164.53999999999724,56.32,-2.15,29354.81,29249.94,330.25,-1.180000000000291,55.539999999997235,160.40999999999985,-31.11,8.89,-7.4399999999999995,-23.72,331.4300000000003,PositionState,lower,29194.4,26134.9,0.0,3059.5,3426.4000000000015,-25.599999999998545,2419.180851063831,0,3212.8899999999994
401,1693209600.0,25920.7,25988.0,25842.0,25987.9,10737.609,278363576.1382,2023-08-28 08:00:00,9.912e-05,-0.00061814,57995.725,44.67,26102.47,25993.89,26048.18,26156.76,25939.6,26211.05,25885.31,-45.63,-49.86,4.22,12.54,25.2,30.87,33.71,7223.446000000001,236.5,60.279999999998836,-20.38,-1.07,26034.44,25995.05,168.85999999999694,-48.30000000000291,7.149999999997817,46.539999999997235,-25.33,14.670000000000002,-12.66,4.229999999999997,217.15999999999985,PositionState,lower,25987.9,26089.1,0.0,-101.19999999999709,0.0,-101.19999999999709,-50.599999999998545,0,-37.61999999999898
448,1693886400.0,25677.9,25740.0,25663.3,25722.8,6184.116,158918141.5289,2023-09-05 04:00:00,2.449e-05,-0.00046445,58777.64,38.8,25997.18,25831.7,25914.44,26079.92,25748.96,26162.65,25666.22,-127.27,-132.61,5.33,11.89,26.73,27.3,29.81,9281.629285714285,223.28,191.63999999999942,-19.7,-0.81,25851.17,25758.15,357.119999999999,26.159999999999854,35.35000000000218,128.36999999999898,-31.200000000000003,8.799999999999997,-14.84,5.340000000000018,330.9599999999991,PositionState,lower,25722.8,25822.1,0.0,-99.29999999999927,148.79999999999927,-99.29999999999927,-2.916666666667576,0,7.860000000000582
487,1694448000.0,25103.4,25236.0,24972.0,25007.8,25739.88,646533844.5207,2023-09-11 16:00:00,-4.52e-06,-0.00019425,60295.41,22.57,25912.79,25431.5,25672.14,26153.43,25190.86,26394.07,24950.22,-140.57,-57.42,-83.14,10.54,38.55,24.18,19.64,15776.426142857144,1653.95,664.3400000000001,322.79,-1.48,25598.72,25282.21,1145.630000000001,183.0600000000013,274.40999999999985,590.9200000000019,-47.43,-7.43,-28.009999999999998,-83.14999999999999,962.5699999999997,PositionState,lower,25007.8,25785.6,0.0,-777.7999999999993,0.0,-777.7999999999993,-308.2333333333336,0,-170.75
566,1695585600.0,26438.5,26512.2,26079.0,26232.9,20437.426,537478311.4581,2023-09-24 20:00:00,6.269e-05,-0.00055501,57795.248,29.57,26659.33,26487.73,26573.53,26745.13,26401.93,26830.93,26316.12,-89.32,-68.22,-21.1,11.22,31.45,22.08,22.14,5801.466214285714,611.09,340.6299999999974,146.5,-9.59,26517.47,26402.71,512.2299999999996,169.02999999999884,169.80999999999767,284.5699999999997,-40.43,-0.4299999999999997,-20.229999999999997,-21.099999999999994,343.2000000000007,PositionState,lower,26232.9,26745.8,0.0,-512.8999999999978,168.70000000000073,-512.8999999999978,-24.04374999999891,0,-36.69000000000233
