,start_at,open,high,low,close,volume,turnover,date,funding_rate,p_close,oi,rsi,upper1,lower1,middle,upper2,lower2,upper3,lower3,macd,macdsignal,macdhist,p_di,m_di,adx,adxr,volume_ma,volume_ma_diff,middle_diff,band_diff,di_diff,sma,ema,upper_diff,lower_diff,ema_diff,sma_diff,rsi_sell,rsi_buy,dmi_diff,macd_diff,bol_diff,bb_direction,state,entry_price,current_profit,exit_price,bb_profit,profit_max,profit_min,profit_mean,profit_ma
12,1694012400.0,25607.4,25654.1,25532.5,25574.0,3856.939,98739688.1067,2023-09-06 15:00:00,6.42e-06,-0.000552,61327.259,33.67,25768.94,25654.52,25711.73,25826.15,25597.31,25883.36,25540.1,-29.6,-14.52,-15.08,13.37,22.75,12.78,12.73,2219.4262857142853,218.16,137.72999999999956,47.38,-2.37,25693.01,25635.4,252.15000000000146,23.31000000000131,61.400000000001455,119.0099999999984,-36.33,3.6700000000000017,-9.38,-15.080000000000002,228.84000000000015,lower,PositionState,25574.0,,25846.3,-272.2999999999993,-13.0,-272.2999999999993,-142.64999999999964,-72.73999999999796
83,1694268000.0,25812.0,25849.5,25812.0,25835.8,646.462,16697034.9485,2023-09-09 14:00:00,4.25e-06,-0.00043,59409.924,44.44,25885.64,25841.68,25863.66,25907.63,25819.69,25929.61,25797.71,-23.42,-23.93,0.51,13.62,25.91,22.08,23.93,663.4382142857143,-10.66,27.860000000000582,-24.11,-0.67,25851.0,25834.89,71.83000000000175,-16.110000000000582,-0.9099999999998545,15.200000000000728,-25.560000000000002,14.439999999999998,-12.290000000000001,0.509999999999998,87.94000000000233,lower,PositionState,25835.8,,25880.3,-44.5,-44.5,-44.5,-44.5,-18.159999999999854
104,1694343600.0,25793.0,25812.6,25781.3,25784.0,869.592,22434087.1692,2023-09-10 11:00:00,6.603e-05,-0.000405,59258.409,36.41,25866.72,25810.54,25838.63,25894.81,25782.45,25922.9,25754.35,-17.43,-12.19,-5.24,11.25,30.83,25.21,19.92,952.8619285714285,15.5,54.63000000000102,14.44,-1.53,25826.03,25804.0,110.81000000000131,-1.5499999999992724,20.0,42.029999999998836,-33.59,6.409999999999997,-19.58,-5.24,112.36000000000058,lower,PositionState,25784.0,,25806.2,-22.200000000000728,97.09999999999854,-22.200000000000728,17.166666666666263,29.020000000000437
119,1694397600.0,25674.6,25731.0,25646.3,25723.2,1200.274,30842367.6798,2023-09-11 02:00:00,7.35e-05,-0.000585,58548.409,42.7,25837.67,25727.44,25782.55,25892.79,25672.32,25947.91,25617.2,-25.28,-19.88,-5.39,10.64,27.9,42.46,35.47,3723.2652857142857,39.83,59.349999999998545,1.22,0.01,25775.83,25733.25,169.59000000000015,-50.88000000000102,10.049999999999272,52.63000000000102,-27.299999999999997,12.700000000000003,-17.259999999999998,-5.400000000000002,220.47000000000116,lower,PositionState,25723.2,,25882.2,-159.0,-2.2000000000007276,-159.0,-68.19999999999952,-66.45000000000073
129,1694433600.0,25586.0,25710.2,25570.1,25707.4,3351.657,85939220.4245,2023-09-11 12:00:00,2.295e-05,-0.000507,59274.192,45.52,25827.62,25679.39,25753.5,25901.74,25605.27,25975.85,25531.16,-29.91,-19.42,-10.49,11.56,26.98,34.96,38.46,3218.7192857142863,-248.36,46.099999999998545,9.44,0.92,25753.73,25690.42,194.34000000000015,-102.13000000000102,-16.9800000000032,46.32999999999811,-24.479999999999997,15.520000000000003,-15.42,-10.489999999999998,296.47000000000116,lower,PositionState,25707.4,,25785.6,-78.19999999999709,699.6000000000022,-78.19999999999709,493.7266666666677,275.6399999999994
225,1694779200.0,26415.5,26460.5,26320.0,26349.0,7089.726,187148333.3656,2023-09-15 12:00:00,1.452e-05,-0.000463,62545.91,40.95,26596.93,26443.45,26520.19,26673.67,26366.7,26750.41,26289.96,24.54,58.0,-33.45,21.39,21.72,40.76,45.76,2927.172785714286,352.96,171.1899999999987,64.19,-6.14,26550.01,26458.88,324.66999999999825,17.700000000000728,109.88000000000102,201.0099999999984,-29.049999999999997,10.950000000000003,-0.3299999999999983,-33.46,306.9699999999975,lower,PositionState,26349.0,,26449.9,-100.90000000000146,126.59999999999854,-100.90000000000146,0.7333333333327674,56.10000000000218
262,1694912400.0,26456.5,26506.6,26405.6,26484.9,2772.809,73342713.922,2023-09-17 01:00:00,7.234e-05,-0.000378,59167.357,46.76,26549.52,26488.1,26518.81,26580.24,26457.39,26610.95,26426.67,0.94,7.75,-6.81,18.44,24.4,21.29,24.72,1409.1957857142856,81.86,33.909999999999854,2.53,-2.62,26528.14,26499.83,95.34000000000015,-27.510000000002037,14.930000000000291,43.23999999999796,-23.240000000000002,16.759999999999998,-5.959999999999997,-6.8100000000000005,122.85000000000218,lower,PositionState,26484.9,,26541.1,-56.19999999999709,-6.899999999997817,-56.19999999999709,-31.033333333331637,-18.959999999999127
282,1694984400.0,26422.8,26487.8,26380.0,26472.3,2251.624,59513272.0428,2023-09-17 21:00:00,2.862e-05,-0.000406,58900.272,45.37,26543.2,26466.01,26504.6,26581.79,26427.42,26620.38,26388.82,-14.5,-4.62,-9.87,12.35,27.27,14.89,14.98,1417.74,102.25,32.29999999999927,0.74,-3.5,26490.83,26467.2,109.4900000000016,-44.88000000000102,-5.099999999998545,18.530000000002474,-24.630000000000003,15.369999999999997,-14.92,-9.879999999999999,154.37000000000262,lower,PositionState,26472.3,,26514.6,-42.29999999999927,-6.700000000000728,-42.29999999999927,-24.5,-21.790000000000873
353,1695240000.0,26911.9,27083.8,26902.0,27082.4,5808.182,156732359.5661,2023-09-20 20:00:00,2.605e-05,-0.000458,60505.833,49.46,27181.55,27017.88,27099.72,27263.38,26936.05,27345.22,26854.21,0.7,13.33,-12.62,14.41,27.19,13.89,16.02,6340.951928571428,54.53,17.31999999999971,-3.56,-2.62,27106.06,27066.99,180.97999999999956,-146.35000000000218,-15.409999999999854,23.659999999999854,-20.54,19.46,-12.780000000000001,-12.63,327.33000000000175,lower,PositionState,27082.4,,27110.6,-28.19999999999709,1.5,-28.19999999999709,-13.633333333331393,-25.039999999997235
367,1695290400.0,26736.1,26787.4,26621.0,26633.0,15162.259,404964201.3121,2023-09-21 10:00:00,5.862e-05,-0.000467,60709.595,29.5,27115.49,26843.53,26979.51,27251.47,26707.55,27387.45,26571.57,-72.75,-31.72,-41.03,12.11,33.68,19.86,16.8,5433.848642857142,668.14,346.5099999999984,150.47,-2.42,26938.1,26782.31,618.4700000000012,74.54999999999927,149.3100000000013,305.09999999999854,-40.5,-0.5,-21.57,-41.03,543.9200000000019,lower,PositionState,26633.0,,26656.2,-23.200000000000728,225.40000000000146,-84.29999999999927,35.52857142857171,148.26000000000204
392,1695380400.0,26576.5,26640.5,26576.5,26629.8,1253.091,33358726.968,2023-09-22 11:00:00,1.66e-06,-0.000529,60634.878,46.51,26673.64,26610.57,26642.11,26705.18,26579.04,26736.71,26547.5,-45.17,-62.96,17.79,11.31,23.48,35.07,34.48,2239.2169999999996,-47.35,12.31000000000131,-9.84,0.13,26627.57,26619.01,75.38000000000102,-50.7599999999984,-10.790000000000873,-2.2299999999995634,-23.490000000000002,16.509999999999998,-12.17,17.79,126.13999999999942,lower,PositionState,26629.8,,26664.9,-35.10000000000218,57.29999999999927,-35.10000000000218,16.666666666665453,-7.570000000003347
401,1695412800.0,26524.0,26554.6,26492.4,26524.3,1980.957,52533037.9056,2023-09-22 20:00:00,2.708e-05,-0.000533,59710.058,40.27,26642.38,26560.88,26601.63,26683.13,26520.13,26723.88,26479.38,-40.93,-41.04,0.1,12.36,22.89,32.3,34.25,2638.3090714285713,12.1,77.33000000000175,12.67,-0.18,26581.64,26546.44,158.83000000000175,-4.169999999998254,22.139999999999418,57.340000000000146,-29.729999999999997,10.270000000000003,-10.530000000000001,0.10999999999999943,163.0,lower,PositionState,26524.3,,26592.4,-68.10000000000218,-30.5,-68.10000000000218,-46.50000000000091,-27.159999999999854
453,1695600000.0,26232.9,26236.1,25971.3,26236.1,15552.937,406055378.2657,2023-09-25 00:00:00,1.607e-05,-0.00048,56954.884,25.73,26595.19,26382.51,26488.85,26701.53,26276.17,26807.87,26169.83,-57.67,-22.7,-34.97,8.59,43.39,24.41,20.03,4502.038928571428,1079.72,252.75,135.76,-5.52,26463.67,26329.53,465.4300000000003,40.06999999999971,93.43000000000029,227.5699999999997,-44.269999999999996,-4.27,-34.8,-34.97,425.3600000000006,lower,PositionState,26236.1,,26227.5,8.599999999998545,186.09999999999854,8.599999999998545,107.00666666666463,168.86999999999898
493,1695744000.0,26113.8,26285.0,26103.7,26205.0,4824.405,126482584.1383,2023-09-26 16:00:00,4.889e-05,-0.000477,62404.859,45.61,26289.84,26176.26,26233.05,26346.63,26119.46,26403.42,26062.67,-27.21,-15.97,-11.24,19.98,18.12,14.69,18.72,3091.873571428571,223.79,28.049999999999272,11.43,6.18,26210.58,26181.06,141.63000000000102,-85.54000000000087,-23.93999999999869,5.580000000001746,-24.39,15.61,1.8599999999999994,-11.24,227.1700000000019,lower,PositionState,26205.0,,26234.5,-29.5,44.599999999998545,-29.5,16.699999999999516,-15.739999999997963
661,1696348800.0,27330.4,27434.0,27310.0,27380.0,5773.269,158055196.3204,2023-10-03 16:00:00,6.702e-05,-0.000188,62686.773,40.76,27639.87,27465.99,27552.93,27726.82,27379.05,27813.76,27292.1,-98.25,-77.69,-20.56,9.96,24.2,33.53,34.2,4562.7625,270.72,172.9300000000003,-146.93,1.24,27479.69,27393.91,346.8199999999997,-0.9500000000007276,13.909999999999854,99.68999999999869,-29.240000000000002,10.759999999999998,-14.239999999999998,-20.560000000000002,347.77000000000044,lower,PositionState,27380.0,,27442.9,-62.900000000001455,121.5,-62.900000000001455,6.559999999999612,-19.270000000000437
730,1696597200.0,27231.4,27696.2,27132.0,27510.9,24205.726,663591771.8505,2023-10-06 13:00:00,5.197e-05,-0.00055,62714.889,48.48,27655.3,27434.6,27544.95,27765.66,27324.25,27876.01,27213.9,-12.2,-9.79,-2.4,14.67,27.78,17.76,19.26,6227.0902857142855,1656.98,34.04999999999927,1.23,-5.19,27556.92,27503.51,254.7599999999984,-186.65000000000146,-7.390000000003056,46.0199999999968,-21.520000000000003,18.479999999999997,-13.110000000000001,-2.41,441.40999999999985,lower,PositionState,27510.9,,27655.5,-144.59999999999854,-144.59999999999854,-144.59999999999854,-144.59999999999854,-60.79000000000087
798,1696842000.0,27732.3,27783.6,27400.0,27530.7,18780.707,517811880.5926,2023-10-09 09:00:00,-1.491e-05,-0.00043,65227.334,27.1,27925.01,27745.75,27835.38,28014.64,27656.12,28104.27,27566.49,-42.34,-12.21,-30.13,10.25,41.75,17.09,15.68,3429.5028571428566,1225.16,304.6800000000003,167.32,-16.28,27832.31,27695.03,483.9399999999987,125.41999999999825,164.3299999999981,301.6100000000006,-42.9,-2.8999999999999986,-31.5,-30.130000000000003,358.52000000000044,lower,PositionState,27530.7,,27664.1,-133.39999999999782,139.79999999999927,-133.39999999999782,-1.3294117647053687,88.11999999999898
826,1696942800.0,27411.0,27464.0,27323.0,27384.0,8098.193,221768629.2925,2023-10-10 13:00:00,2.403e-05,-0.000372,66322.2,33.05,27641.73,27495.32,27568.52,27714.94,27422.11,27788.15,27348.9,-46.95,-32.32,-14.62,14.57,33.63,22.81,26.91,2932.972999999999,523.31,184.52000000000044,35.04,-4.9,27564.51,27458.81,330.9399999999987,38.11000000000058,74.81000000000131,180.5099999999984,-36.95,3.049999999999997,-19.060000000000002,-14.630000000000003,292.8299999999981,lower,PositionState,27384.0,,27273.7,110.29999999999927,388.5,-69.90000000000146,104.90000000000018,302.52000000000044
853,1697040000.0,26770.9,26782.3,26588.0,26675.4,18533.158,494675259.9669,2023-10-11 16:00:00,0.0001,-0.0002344,69870.306,25.46,27334.65,26925.14,27129.9,27539.41,26720.39,27744.16,26515.64,-139.51,-106.55,-32.95,10.92,39.56,29.75,24.05,7875.8094999999985,-0.64,454.5,110.59,-5.89,27071.92,26862.21,864.0099999999984,44.98999999999796,186.80999999999767,396.5199999999968,-44.54,-4.539999999999999,-28.64,-32.959999999999994,819.0200000000004,lower,PositionState,26675.4,,26818.5,-143.09999999999854,52.60000000000218,-214.39999999999782,-81.64687499999854,93.86000000000058
1209,1698321600.0,34111.6,34353.7,34089.3,34270.7,7007.45,239943266.9987,2023-10-26 12:00:00,0.0001,0.00013902,59233.711,45.16,34644.87,34293.53,34469.2,34820.55,34117.85,34996.22,33942.18,11.75,97.72,-85.96,15.02,24.74,22.03,27.89,5253.583357142857,293.67,198.5,76.31,-0.5,34466.35,34293.76,549.8500000000058,-152.84999999999854,23.060000000004948,195.65000000000146,-24.840000000000003,15.159999999999997,-9.719999999999999,-85.97,702.7000000000044,lower,PositionState,34270.7,,34251.7,19.0,484.5,19.0,187.54999999999782,127.66000000000349
1239,1698429600.0,33613.6,33691.6,33401.7,33612.7,8836.611,296491862.4059,2023-10-27 18:00:00,0.0001,0.00049157,59693.708,35.83,34169.99,33827.84,33998.92,34341.07,33656.76,34512.15,33485.68,-113.49,-70.07,-43.41,9.38,30.49,26.23,25.02,5556.541357142857,441.89,386.22000000000116,120.65,-0.0,33946.33,33742.06,728.3700000000026,44.06000000000495,129.36000000000058,333.63000000000466,-34.17,5.829999999999998,-21.11,-43.42,684.3099999999977,lower,PositionState,33612.7,,33943.5,-330.8000000000029,-104.80000000000291,-330.8000000000029,-245.84285714286048,-161.4800000000032
1459,1699221600.0,34656.8,35039.0,34640.0,34989.4,5875.917,204486597.9284,2023-11-05 22:00:00,0.0001,0.0005565,59916.995,50.69,35117.12,34842.67,34979.89,35254.34,34705.45,35391.56,34568.22,0.24,29.48,-29.23,15.72,27.9,25.13,26.99,4945.0449285714285,197.22,-9.510000000002037,36.31,-3.45,34959.0,34923.0,264.93999999999505,-283.95000000000437,-66.40000000000146,-30.400000000001455,-19.310000000000002,20.689999999999998,-12.179999999999998,-29.240000000000002,548.8899999999994,lower,PositionState,34989.4,,35035.8,-46.400000000001455,-46.400000000001455,-46.400000000001455,-46.400000000001455,-45.12000000000262
1496,1699354800.0,34665.9,34759.8,34636.0,34650.0,3745.162,129962699.7269,2023-11-07 11:00:00,0.0001,0.00060654,62511.458,34.87,35036.01,34793.13,34914.57,35157.45,34671.69,35278.89,34550.25,-69.65,-33.7,-35.94,11.33,27.09,18.53,15.17,3232.117928571429,117.97,264.5699999999997,56.19,-0.65,34869.58,34742.96,507.4499999999971,21.69000000000233,92.95999999999913,219.58000000000175,-35.13,4.869999999999997,-15.76,-35.95,485.75999999999476,lower,PositionState,34650.0,,34875.9,-225.90000000000146,-42.19999999999709,-225.90000000000146,-135.60000000000096,-53.279999999998836
