,start_at,open,high,low,close,volume,turnover,date,funding_rate,p_close,oi,rsi,upper1,lower1,middle,upper2,lower2,upper3,lower3,macd,macdsignal,macdhist,p_di,m_di,adx,adxr,volume_ma,volume_ma_diff,middle_diff,band_diff,di_diff,sma,ema,upper_diff,lower_diff,ema_diff,sma_diff,rsi_sell,rsi_buy,dmi_diff,macd_diff,bol_diff,bb_direction,state,entry_price,exit_price,current_profit,bb_profit,profit_max,profit_min,profit_mean,profit_ma
9,1696593600.0,27748.0,27755.0,27165.4,27231.4,25134.244,689444505.8771,2023-10-06 12:00:00,5.197e-05,-0.000447,64482.006,35.71,27659.21,27437.86,27548.54,27769.89,27327.18,27880.56,27216.51,-10.84,-9.75,-1.08,18.84,34.08,16.7,18.65,4570.103785714286,1583.11,317.1399999999994,121.47,-25.42,27557.65,27498.52,538.489999999998,95.77999999999884,267.119999999999,326.25,-34.29,5.710000000000001,-15.239999999999998,-1.0899999999999999,442.7099999999991,lower,EntryPreparationState,,,,,,,,
10,1696597200.0,27231.4,27696.2,27132.0,27510.9,24205.726,663591771.8505,2023-10-06 13:00:00,5.197e-05,-0.00055,62714.889,48.48,27655.3,27434.6,27544.95,27765.66,27324.25,27876.01,27213.9,-12.55,-10.31,-2.24,14.65,27.81,17.72,19.13,6227.0902857142855,1656.98,34.04999999999927,1.22,-5.15,27556.92,27503.47,254.7599999999984,-186.65000000000146,-7.430000000000291,46.0199999999968,-21.520000000000003,18.479999999999997,-13.159999999999998,-2.24,441.40999999999985,lower,PositionState,27510.9,27655.5,,-144.59999999999854,-144.59999999999854,-144.59999999999854,-144.59999999999854,-60.80999999999767
11,1696600800.0,27510.9,27695.0,27451.0,27655.5,9838.307,271414769.0772,2023-10-06 14:00:00,5.197e-05,-0.000361,61763.328,53.61,27669.98,27440.97,27555.48,27784.49,27326.47,27898.99,27211.97,-2.22,-8.69,6.47,13.27,25.2,18.67,19.2,6797.565357142857,570.47,-100.02000000000044,12.38,-2.96,27575.65,27564.28,128.9900000000016,-329.02999999999884,-91.22000000000116,-79.84999999999854,-16.39,23.61,-11.93,6.469999999999999,458.02000000000044,lower,,27510.9,27655.5,-144.59999999999854,,,,,
77,1696838400.0,27802.1,27828.3,27690.3,27732.3,6969.704,193484680.3724,2023-10-09 08:00:00,-1.491e-05,-0.000628,65077.204,37.13,27915.92,27818.98,27867.45,27964.39,27770.51,28012.86,27722.04,-17.87,-4.68,-13.19,13.64,30.55,13.74,14.09,2204.3407857142856,263.98,135.15000000000146,24.59,-9.07,27863.13,27804.59,232.09000000000015,38.20999999999913,72.29000000000087,130.83000000000175,-32.87,7.130000000000003,-16.91,-13.190000000000001,193.88000000000102,lower,EntryPreparationState,,,,,,,,
78,1696842000.0,27732.3,27783.6,27400.0,27530.7,18780.707,517811880.5926,2023-10-09 09:00:00,-1.491e-05,-0.00043,65227.334,27.1,27925.01,27745.75,27835.38,28014.64,27656.12,28104.27,27566.49,-42.35,-12.21,-30.13,10.25,41.75,17.09,15.67,3429.502857142857,1225.16,304.6800000000003,167.32,-16.28,27832.31,27695.03,483.9399999999987,125.41999999999825,164.3299999999981,301.6100000000006,-42.9,-2.8999999999999986,-31.5,-30.14,358.52000000000044,lower,PositionState,27530.7,27664.1,,-133.39999999999782,139.79999999999927,-133.39999999999782,-1.3294117647053687,88.11999999999898
79,1696845600.0,27530.7,27603.1,27453.6,27515.5,8968.111,246828863.5936,2023-10-09 10:00:00,-1.491e-05,-0.000628,64556.831,26.52,27920.58,27689.25,27804.91,28036.25,27573.58,28151.92,27457.91,-62.25,-22.22,-40.03,9.28,37.81,20.19,17.53,3992.0920714285717,562.58,289.40999999999985,154.39,-0.42,27784.51,27623.22,520.75,58.080000000001746,107.72000000000116,269.0099999999984,-43.480000000000004,-3.4800000000000004,-28.53,-40.03,462.66999999999825,lower,PositionState,27530.7,27664.1,15.200000000000728,,,,,
80,1696849200.0,27515.5,27515.5,27378.9,27452.1,7497.478,205855614.2546,2023-10-09 11:00:00,-1.491e-05,-0.000613,65401.069,24.18,27913.91,27628.71,27771.31,28056.51,27486.11,28199.12,27343.51,-82.2,-34.22,-47.98,8.49,39.25,23.35,18.6,4347.867714285714,355.77,319.21000000000276,129.34,-3.19,27732.54,27554.77,604.4099999999999,34.01000000000204,102.67000000000189,280.4400000000023,-45.82,-5.82,-30.759999999999998,-47.980000000000004,570.3999999999978,lower,PositionState,27530.7,27664.1,78.60000000000218,,,,,
81,1696852800.0,27452.1,27539.0,27359.1,27424.5,9239.165,253737855.5926,2023-10-09 12:00:00,-1.491e-05,-0.000393,65566.50199999,23.23,27903.17,27573.4,27738.28,28068.05,27408.51,28232.94,27243.63,-99.09,-47.19,-51.9,8.99,35.02,25.91,19.41,4731.481214285714,383.61,313.77999999999884,109.4,3.93,27678.88,27502.66,643.5499999999993,-15.9900000000016,78.15999999999985,254.38000000000102,-46.769999999999996,-6.77,-26.03,-51.900000000000006,659.5400000000009,lower,PositionState,27530.7,27664.1,106.20000000000073,,,,,
82,1696856400.0,27424.5,27516.6,27339.8,27505.9,8104.447,222343382.9562,2023-10-09 13:00:00,-1.491e-05,-0.000399,66599.36599999,31.8,27891.69,27540.61,27716.15,28067.22,27365.08,28242.76,27189.54,-104.7,-58.69,-46.0,8.07,32.56,28.36,20.72,5238.937571428572,507.45,210.25,54.13,2.03,27633.18,27503.95,561.3199999999997,-140.8199999999997,-1.9500000000007276,127.27999999999884,-38.2,1.8000000000000007,-24.490000000000002,-46.010000000000005,702.1399999999994,lower,PositionState,27530.7,27664.1,24.799999999999272,,,,,
83,1696860000.0,27505.9,27570.1,27444.4,27483.0,4811.117,132313310.1003,2023-10-09 14:00:00,-1.491e-05,-0.000601,67180.655,30.76,27879.54,27508.35,27693.95,28065.13,27322.76,28250.72,27137.17,-109.73,-68.9,-40.83,10.57,30.2,29.77,21.01,5404.406714285715,165.46,210.95000000000073,39.4,3.94,27592.82,27495.57,582.130000000001,-160.2400000000016,12.569999999999709,109.81999999999971,-39.239999999999995,0.7600000000000016,-19.63,-40.83,742.3700000000026,lower,PositionState,27530.7,27664.1,47.70000000000073,,,,,
