,start_at,open,high,low,close,volume,turnover,date,funding_rate,p_close,oi,rsi,upper1,lower1,middle,upper2,lower2,upper3,lower3,macd,macdsignal,macdhist,p_di,m_di,adx,adxr,volume_ma,volume_ma_diff,middle_diff,band_diff,di_diff,sma,ema,upper_diff,lower_diff,ema_diff,sma_diff,rsi_sell,rsi_buy,dmi_diff,macd_diff,bol_diff,bb_direction,state,entry_price,exit_price,current_profit,bb_profit,profit_max,profit_min,profit_mean,profit_ma
0,1696561200.0,27527.6,27566.4,27520.0,27547.0,1048.421,28880222.5743,2023-10-06 03:00:00,5.881e-05,-0.000449,63888.65,49.73,27702.63,27374.05,27538.34,27866.92,27209.76,28031.21,27045.46,-37.45,-33.49,-3.96,20.73,21.97,17.41,21.39,6363.594714285714,-1674.81,-8.659999999999854,-1.22,1.73,27466.56,27506.47,319.91999999999825,-337.2400000000016,-40.529999999998836,-80.43999999999869,-20.270000000000003,19.729999999999997,-1.2399999999999984,-3.960000000000001,657.1599999999999,,IdleState,,,,,,,,
1,1696564800.0,27547.0,27550.1,27480.0,27517.5,1799.728,49513948.2652,2023-10-06 04:00:00,5.881e-05,-0.000502,63981.732,47.66,27700.45,27372.26,27536.35,27864.55,27208.16,28028.64,27044.06,-34.29,-33.65,-0.64,19.87,23.44,16.76,20.56,5663.917357142856,-699.67,18.849999999998545,0.3,-2.91,27473.52,27510.88,347.0499999999993,-309.34000000000015,-6.619999999998981,-43.97999999999956,-22.340000000000003,17.659999999999997,-3.5700000000000003,-0.6400000000000006,656.3899999999994,,,,,,,,,,
2,1696568400.0,27517.5,27519.2,27459.8,27486.9,1346.741,37009028.4252,2023-10-06 05:00:00,5.881e-05,-0.00048,63921.264,45.54,27694.92,27368.37,27531.64,27858.2,27205.09,28021.47,27041.81,-33.87,-33.69,-0.17,19.14,23.83,16.34,19.92,3598.6785714285716,-2065.23,44.73999999999796,-5.64,-1.97,27476.52,27501.29,371.2999999999993,-281.8100000000013,14.389999999999418,-10.380000000001019,-24.46,15.54,-4.689999999999998,-0.17999999999999972,653.1100000000006,,,,,,,,,,
3,1696572000.0,27486.9,27505.5,27443.4,27477.5,1491.514,40978491.0084,2023-10-06 06:00:00,5.881e-05,-0.000524,64011.578,44.88,27685.96,27367.01,27526.49,27845.43,27207.54,28004.9,27048.07,-33.9,-33.73,-0.16,18.37,23.93,16.11,19.45,2698.6797142857145,-899.99,48.9900000000016,-21.56,-1.6,27481.11,27491.77,367.9300000000003,-269.9599999999991,14.270000000000437,3.610000000000582,-25.119999999999997,14.880000000000003,-5.559999999999999,-0.1700000000000017,637.8899999999994,,,,,,,,,,
4,1696575600.0,27477.5,27640.0,27468.0,27625.4,5053.707,139368194.2454,2023-10-06 07:00:00,5.881e-05,-0.000295,64146.749,55.74,27691.83,27379.98,27535.91,27847.76,27224.05,28003.68,27068.13,-21.73,-31.33,9.59,24.72,21.39,15.47,18.8,2523.4038571428573,-175.27,-89.4900000000016,-26.95,8.11,27503.38,27545.22,222.35999999999694,-401.3500000000022,-80.18000000000029,-122.02000000000044,-14.259999999999998,25.740000000000002,3.3299999999999983,9.599999999999998,623.7099999999991,,,,,,,,,,
5,1696579200.0,27625.4,27659.6,27588.3,27599.9,4210.088,116285220.3171,2023-10-06 08:00:00,5.197e-05,-0.000691,63800.032,53.77,27693.77,27390.23,27542.0,27845.54,27238.46,27997.31,27086.69,-13.99,-27.87,13.87,24.84,20.43,15.06,18.29,2470.5508571428572,-52.85,-57.900000000001455,-14.29,7.43,27525.9,27567.09,245.63999999999942,-361.4400000000023,-32.81000000000131,-74.0,-16.229999999999997,23.770000000000003,4.41,13.88,607.0800000000017,,,,,,,,,,
6,1696582800.0,27599.9,27692.9,27573.0,27675.3,3709.618,102552780.5345,2023-10-06 09:00:00,5.197e-05,-0.000487,64041.694,58.44,27673.76,27435.63,27554.69,27792.83,27316.56,27911.9,27197.49,-1.75,-22.64,20.89,25.06,18.88,14.99,18.05,2523.9455714285714,53.39,-120.61000000000058,-133.02,1.89,27551.16,27610.37,117.53000000000247,-358.73999999999796,-64.93000000000029,-124.13999999999942,-11.560000000000002,28.439999999999998,6.18,20.89,476.27000000000044,,,,,,,,,,
7,1696586400.0,27675.3,27788.0,27653.0,27657.0,6604.811,183085134.5612,2023-10-06 10:00:00,5.197e-05,-0.000482,64022.749,56.94,27641.07,27487.8,27564.44,27717.71,27411.17,27794.34,27334.54,6.39,-16.83,23.23,28.88,17.29,15.71,18.15,2794.7856428571426,270.84,-92.56000000000131,-222.43,5.62,27568.23,27629.02,60.70999999999913,-245.83000000000175,-27.979999999999563,-88.77000000000044,-13.060000000000002,26.939999999999998,11.59,23.22,306.5400000000009,,,,,,,,,,
8,1696590000.0,27657.0,27761.9,27602.3,27748.0,4480.77,123998120.5726,2023-10-06 11:00:00,5.197e-05,-0.000466,64194.843,62.15,27674.64,27489.2,27581.92,27767.36,27396.48,27860.08,27303.76,19.96,-9.47,29.44,26.08,18.69,15.77,18.18,2986.9928571428572,192.2,-166.08000000000175,-10.78,-0.38,27592.72,27676.61,19.360000000000582,-351.52000000000044,-71.38999999999942,-155.27999999999884,-7.850000000000001,32.15,7.389999999999997,29.43,370.880000000001,,,,,,,,,,
9,1696593600.0,27748.0,27755.0,27165.4,27231.4,25134.244,689444505.8771,2023-10-06 12:00:00,5.197e-05,-0.000447,64482.006,35.71,27659.21,27437.86,27548.54,27769.89,27327.18,27880.56,27216.51,-10.84,-9.75,-1.08,18.84,34.08,16.7,18.65,4570.103785714286,1583.11,317.1399999999994,121.47,-25.42,27557.65,27498.52,538.489999999998,95.77999999999884,267.119999999999,326.25,-34.29,5.710000000000001,-15.239999999999998,-1.0899999999999999,442.7099999999991,lower,EntryPreparationState,,,,,,,,
