start_at,open,high,low,close,volume,turnover,date,rsi,upper1,lower1,middle,upper2,lower2,upper3,lower3,macd,macdsignal,macdhist,p_di,m_di,adx,adxr,volume_ma,volume_ma_diff,middle_diff,band_diff,di_diff,sma,ema,upper_diff,lower_diff,ema_diff,sma_diff,rsi_sell,rsi_buy,dmi_diff,macd_diff,bol_diff,state,bb_direction,entry_price,exit_price,current_profit,bb_profit,profit_max,profit_min,profit_mean,prediction,profit_ma,entry_type,entry_volume
2020-04-09 04:00:00,7283.0,7331.0,7236.5,7322.0,1256.367,9199119.174,2020-04-09 04:00:00,62.34,7343.96,7080.92,7212.44,7475.48,6949.4,7607.0,6817.88,122.04,139.94,-17.9,23.34,16.53,35.15,39.72,2628.4913571428574,-95.01,-109.5600000000004,-181.43,-2.75,7298.44,7311.89,153.47999999999956,-372.60000000000036,-10.109999999999673,-23.5600000000004,-7.659999999999997,32.34,6.809999999999999,-17.89999999999999,526.0799999999999,PositionState,upper,6897.5,7186.5,525.5,0.0,0.0,0.0,0.0,0,0.0,None,4365.162
2020-04-09 08:00:00,7322.0,7344.0,7143.0,7186.5,8800.704,63246259.296,2020-04-09 08:00:00,52.28,7302.91,7117.02,7209.97,7395.86,7024.08,7488.8,6931.13,105.54,133.06,-27.52,21.07,19.44,32.93,39.16,2986.755857142857,358.26,23.470000000000255,-213.56,-6.32,7297.11,7261.73,209.35999999999967,-162.42000000000007,75.22999999999956,110.60999999999967,-17.72,22.28,1.629999999999999,-27.519999999999996,371.77999999999975,None,upper,6897.5,7186.5,390.0,0.0,0.0,0.0,0.0,0,0.0,None,4365.162
2020-04-09 12:00:00,7186.5,7342.5,7123.0,7273.5,3901.145,28374978.1575,2020-04-09 12:00:00,57.07,7290.34,7141.7,7216.02,7364.66,7067.38,7438.98,6993.06,98.35,126.12,-27.77,18.91,18.38,30.68,38.63,3046.8709999999996,60.11,-57.47999999999956,-154.11,-3.36,7289.16,7266.44,91.15999999999985,-206.1199999999999,-7.0600000000004,15.659999999999854,-12.93,27.07,0.5300000000000011,-27.77000000000001,297.27999999999975,None,None,6897.5,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,None,4365.162
2020-04-09 16:00:00,7273.5,7310.5,7229.5,7259.5,540.479,3923607.3005,2020-04-09 16:00:00,56.1,7280.8,7159.52,7220.16,7341.44,7098.88,7402.08,7038.24,90.48,118.99,-28.51,18.17,17.66,28.59,37.78,2870.449357142857,-176.42,-39.340000000000146,-85.92,-2.17,7283.16,7263.66,81.9399999999996,-160.6199999999999,4.1599999999998545,23.659999999999854,-13.899999999999999,26.1,0.5100000000000016,-28.50999999999999,242.5599999999995,None,None,6897.5,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,None,4365.162
2020-04-09 20:00:00,7259.5,7310.0,7238.5,7282.0,522.241,3802958.962,2020-04-09 20:00:00,57.36,7275.35,7176.75,7226.05,7324.65,7127.45,7373.95,7078.14,85.07,112.21,-27.13,17.51,17.03,26.65,36.99,2657.6837857142855,-212.76,-55.94999999999982,-68.57,-0.76,7282.61,7270.99,42.649999999999636,-154.55000000000018,-11.010000000000218,0.6099999999996726,-12.64,27.36,0.4800000000000004,-27.14,197.19999999999982,None,None,6897.5,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,None,4365.162
2020-04-10 00:00:00,7282.0,7287.0,7158.0,7175.5,954.609,6849796.8795,2020-04-10 00:00:00,50.03,7276.92,7165.55,7221.23,7332.6,7109.87,7388.28,7054.19,71.37,104.04,-32.66,16.37,19.98,25.45,35.48,2586.1245714285715,-71.55,45.72999999999956,8.74,-4.75,7271.88,7232.79,157.10000000000036,-65.63000000000011,57.289999999999964,96.38000000000011,-19.97,20.03,-3.6099999999999994,-32.67,222.73000000000047,None,None,6897.5,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,None,4365.162
2020-04-10 04:00:00,7175.5,7175.5,6866.5,6918.0,7588.604,52497962.472,2020-04-10 04:00:00,37.54,7290.75,7093.96,7192.35,7389.14,6995.57,7487.53,6897.17,39.28,91.09,-51.8,14.01,30.69,26.3,35.29,2897.688428571429,311.56,274.35000000000036,178.79,-14.21,7228.5,7106.87,471.1400000000003,77.56999999999971,188.8699999999999,310.5,-32.46,7.539999999999999,-16.68,-51.81,393.5700000000006,EntryPreparationState,lower,6897.5,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,None,4365.162
2020-04-10 08:00:00,6918.0,6966.0,6854.0,6897.5,2644.851,18242859.7725,2020-04-10 08:00:00,36.75,7291.44,7037.11,7164.27,7418.6,6909.95,7545.76,6782.78,12.06,75.28,-63.22,13.27,29.65,27.14,35.24,2795.8561428571425,-101.83,266.77000000000044,171.61,-2.05,7177.5,7023.12,521.1000000000004,12.449999999999818,125.61999999999989,280.0,-33.25,6.75,-16.38,-63.22,508.65000000000055,PositionState,lower,6897.5,7008.5,0.0,-111.0,128.0,-111.0,35.5,0,117.05000000000018,None,4365.162
2020-04-19 16:00:00,7096.5,7161.0,7087.0,7133.5,1427.677,10184333.8795,2020-04-19 16:00:00,55.62,7157.88,7023.37,7090.63,7225.14,6956.11,7292.4,6888.85,63.28,68.58,-5.3,22.45,19.02,21.95,20.44,1595.8120000000001,-13.22,-42.86999999999989,-39.64,-2.03,7170.11,7138.04,91.64000000000033,-177.39000000000033,4.539999999999964,36.60999999999967,-14.380000000000003,25.619999999999997,3.4299999999999997,-5.299999999999997,269.03000000000065,None,None,6827.5,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,None,1440.847
2020-04-19 20:00:00,7133.5,7195.0,7105.5,7118.5,1178.607,8389913.9295,2020-04-19 20:00:00,54.34,7158.78,7027.78,7093.28,7224.29,6962.27,7289.79,6896.77,57.74,66.41,-8.67,23.35,17.91,21.32,20.12,1519.4585714285715,-76.35,-25.220000000000255,-8.01,0.89,7172.44,7130.22,105.78999999999996,-156.22999999999956,11.720000000000255,53.9399999999996,-15.659999999999997,24.340000000000003,5.440000000000001,-8.669999999999995,262.0199999999995,None,None,6827.5,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,None,1440.847
