start_at,open,high,low,close,volume,turnover,date,rsi,upper1,lower1,middle,upper2,lower2,upper3,lower3,macd,macdsignal,macdhist,p_di,m_di,adx,adxr,volume_ma,volume_ma_diff,middle_diff,band_diff,di_diff,sma,ema,upper_diff,lower_diff,ema_diff,sma_diff,rsi_sell,rsi_buy,dmi_diff,macd_diff,bol_diff,pandl,state,bb_direction,entry_price,exit_price,current_profit,bb_profit,prediction,profit_ma,entry_type,entry_volume
2020-03-26 20:30:00,6696.5,6733.0,6682.5,6719.0,98.814,663931.266,2020-03-26 20:30:00,68.25,6674.41,6612.93,6643.67,6705.15,6582.19,6735.89,6551.45,13.58,2.49,11.08,28.69,15.82,18.93,18.48,94.64014285714286,-3.03,-75.32999999999993,45.64,6.96,6653.0,6687.21,-13.850000000000364,-136.8100000000004,-31.789999999999964,-66.0,-1.75,38.25,12.870000000000001,11.09,122.96000000000004,0.0,EntryPreparationState,upper,6719.0,6738.0,0.0,19.0,0,0.0,None,0
2020-03-30 05:30:00,6159.5,6240.0,6159.5,6196.0,523.03,3240693.88,2020-03-30 05:30:00,72.4,6102.13,5929.84,6015.98,6188.28,5843.69,6274.42,5757.54,17.88,-16.9,34.79,40.43,14.11,37.78,42.69,249.28642857142856,32.4,-180.02000000000044,116.26,20.04,6034.16,6119.69,-7.720000000000255,-352.3100000000004,-76.3100000000004,-161.84000000000015,2.4000000000000057,42.400000000000006,26.32,34.78,344.59000000000015,0.0,EntryPreparationState,upper,6196.0,6389.5,0.0,193.5,0,0.0,None,0
2020-04-01 21:00:00,6330.0,6395.0,6330.0,6344.5,514.252,3262671.814,2020-04-01 21:00:00,65.14,6291.27,6198.14,6244.71,6337.83,6151.58,6384.4,6105.01,-4.79,-24.64,19.84,32.54,18.71,42.81,41.8,391.50371428571424,7.62,-99.78999999999996,46.51,11.4,6228.66,6294.24,-6.670000000000073,-192.92000000000007,-50.26000000000022,-115.84000000000015,-4.859999999999999,35.14,13.829999999999998,19.85,186.25,0.0,EntryPreparationState,upper,6344.5,6787.0,0.0,442.5,0,0.0,None,0
2020-04-03 07:30:00,6845.0,6947.5,6845.0,6934.5,614.191,4259107.4895,2020-04-03 07:30:00,65.56,6844.71,6762.69,6803.7,6885.72,6721.68,6926.73,6680.67,21.57,12.81,8.75,35.38,17.77,14.09,18.69,264.6742142857143,22.94,-130.80000000000018,67.55,12.23,6805.11,6860.6,-48.779999999999745,-212.8199999999997,-73.89999999999964,-129.39000000000033,-4.439999999999998,35.56,17.610000000000003,8.76,164.03999999999996,0.0,EntryPreparationState,upper,6934.5,6887.0,0.0,-47.5,0,0.0,None,0
2020-04-04 10:00:00,6832.5,6870.5,6806.0,6855.0,232.502,1593801.21,2020-04-04 10:00:00,64.69,6798.53,6713.95,6756.24,6840.82,6671.66,6883.11,6629.37,12.48,-3.56,16.05,31.27,14.7,14.32,15.23,106.20571428571428,10.11,-98.76000000000022,63.41,8.39,6760.05,6811.38,-14.180000000000291,-183.34000000000015,-43.61999999999989,-94.94999999999982,-5.310000000000002,34.69,16.57,16.04,169.15999999999985,0.0,EntryPreparationState,upper,6855.0,6698.0,0.0,-157.0,0,0.0,None,0
2020-04-04 21:30:00,6872.0,6881.0,6836.5,6856.0,119.148,816878.688,2020-04-04 21:30:00,61.2,6833.95,6734.43,6784.19,6883.71,6684.67,6933.47,6634.91,22.59,10.56,12.03,36.7,11.92,21.24,18.8,267.56135714285716,6.47,-71.8100000000004,31.89,-4.32,6799.05,6839.55,27.710000000000036,-171.32999999999993,-16.449999999999818,-56.94999999999982,-8.799999999999997,31.200000000000003,24.78,12.03,199.03999999999996,0.0,EntryPreparationState,upper,6856.0,6811.0,0.0,-45.0,0,0.0,None,0
2020-04-06 01:00:00,6866.0,6884.5,6834.5,6840.0,271.801,1859118.84,2020-04-06 01:00:00,58.54,6828.56,6762.11,6795.33,6861.78,6728.89,6895.0,6695.67,10.8,1.6,9.2,25.13,13.8,14.88,12.24,403.4991428571429,10.05,-44.67000000000007,30.2,-1.68,6798.77,6831.2,21.779999999999745,-111.10999999999967,-8.800000000000182,-41.22999999999956,-11.46,28.54,11.329999999999998,9.200000000000001,132.88999999999942,0.0,EntryPreparationState,upper,6840.0,7269.5,0.0,429.5,0,0.0,None,0
2020-04-12 12:30:00,6898.0,6921.5,6889.5,6905.0,434.218,2998275.29,2020-04-12 12:30:00,71.13,6870.09,6818.78,6844.44,6895.74,6793.13,6921.39,6767.48,10.84,2.42,8.41,38.82,14.68,18.25,19.68,150.78814285714293,19.85,-60.5600000000004,45.82,9.33,6850.88,6879.57,-9.260000000000218,-111.86999999999989,-25.43000000000029,-54.11999999999989,1.1299999999999955,41.129999999999995,24.14,8.42,102.60999999999967,0.0,EntryPreparationState,upper,6905.0,6982.5,0.0,77.5,0,0.0,None,0
2020-04-14 04:30:00,6905.0,6905.0,6872.5,6878.0,327.102,2249807.556,2020-04-14 04:30:00,61.26,6866.85,6800.29,6833.57,6900.13,6767.02,6933.41,6733.74,29.73,26.01,3.71,32.77,13.31,31.6,28.71,292.0568571428572,-19.67,-44.43000000000029,-2.92,-0.4,6853.44,6876.57,22.13000000000011,-110.97999999999956,-1.430000000000291,-24.5600000000004,-8.740000000000002,31.259999999999998,19.46,3.719999999999999,133.10999999999967,0.0,EntryPreparationState,upper,6878.0,6817.5,0.0,-60.5,0,0.0,None,0
2020-04-16 07:30:00,6909.0,6927.0,6858.5,6885.0,650.979,4481990.415,2020-04-16 07:30:00,70.29,6786.81,6602.37,6694.59,6879.04,6510.15,6971.26,6417.92,19.09,-16.11,35.2,45.58,15.1,37.54,40.88,511.42850000000004,19.48,-190.40999999999985,134.14,24.67,6697.94,6808.92,-5.960000000000036,-374.85000000000036,-76.07999999999993,-187.0600000000004,0.29000000000000625,40.290000000000006,30.479999999999997,35.2,368.8900000000003,0.0,EntryPreparationState,upper,6885.0,7051.5,0.0,166.5,0,0.0,None,0
