start_at,open,high,low,close,volume,turnover,date,rsi,upper1,lower1,middle,upper2,lower2,upper3,lower3,macd,macdsignal,macdhist,p_di,m_di,adx,adxr,volume_ma,volume_ma_diff,middle_diff,band_diff,di_diff,sma,ema,upper_diff,lower_diff,ema_diff,sma_diff,rsi_sell,rsi_buy,dmi_diff,macd_diff,bol_diff,pandl,state,bb_direction,entry_price,exit_price,current_profit,bb_profit,prediction,profit_ma,entry_type,entry_volume
2020-03-26 17:00:00,6634.5,6675.0,6608.0,6627.0,83.906,556045.062,2020-03-26 17:00:00,50.7,6639.96,6602.9,6621.43,6658.5,6584.37,6677.03,6565.83,-4.59,-7.41,2.82,18.75,23.39,21.97,19.63,85.16142857142857,-0.39,-5.569999999999709,2.22,7.72,6618.33,6623.63,31.5,-42.63000000000011,-3.369999999999891,-8.670000000000073,-19.299999999999997,20.700000000000003,-4.640000000000001,2.8200000000000003,74.13000000000011,0.0,None,None,0.0,0.0,0.0,0.0,0,0.0,None,0
2020-03-26 17:30:00,6627.0,6638.5,6614.0,6630.5,280.51,1859921.555,2020-03-26 17:30:00,51.43,6639.99,6604.59,6622.29,6657.7,6586.89,6675.4,6569.19,-3.32,-6.59,3.27,18.09,22.56,21.19,18.79,99.13321428571429,13.97,-8.210000000000036,-2.23,0.93,6618.22,6626.38,27.199999999999818,-43.60999999999967,-4.119999999999891,-12.279999999999745,-18.57,21.43,-4.469999999999999,3.27,70.80999999999949,0.0,None,None,0.0,0.0,0.0,0.0,0,0.0,None,0
2020-03-26 18:00:00,6630.5,6651.5,6626.0,6629.5,53.014,351456.313,2020-03-26 18:00:00,51.2,6637.37,6608.59,6622.98,6651.76,6594.2,6666.16,6579.8,-2.37,-5.75,3.37,19.35,21.69,20.08,18.05,98.02157142857143,-1.11,-6.520000000000437,-14.04,1.46,6618.55,6627.62,22.26000000000022,-35.30000000000018,-1.8800000000001091,-10.949999999999818,-18.799999999999997,21.200000000000003,-2.34,3.38,57.5600000000004,0.0,None,None,0.0,0.0,0.0,0.0,0,0.0,None,0
2020-03-26 18:30:00,6629.5,6630.0,6627.0,6629.5,44.999,298320.8705,2020-03-26 18:30:00,51.2,6638.17,6609.03,6623.6,6652.74,6594.46,6667.31,6579.89,-1.6,-4.92,3.31,19.25,21.59,19.05,17.57,94.949,-3.07,-5.899999999999636,-5.22,1.26,6619.22,6628.37,23.23999999999978,-35.039999999999964,-1.1300000000001091,-10.279999999999745,-18.799999999999997,21.200000000000003,-2.34,3.32,58.279999999999745,0.0,None,None,0.0,0.0,0.0,0.0,0,0.0,None,0
2020-03-26 19:00:00,6629.5,6661.0,6629.5,6654.5,70.983,472356.3735,2020-03-26 19:00:00,56.89,6643.16,6609.93,6626.54,6659.77,6593.32,6676.38,6576.7,1.01,-3.73,4.74,23.35,20.47,18.16,17.16,94.69335714285715,-0.25,-27.960000000000036,9.15,5.12,6626.22,6638.82,5.270000000000437,-61.18000000000029,-15.680000000000291,-28.279999999999745,-13.11,26.89,2.8800000000000026,4.74,66.45000000000073,0.0,None,None,0.0,0.0,0.0,0.0,0,0.0,None,0
2020-03-26 19:30:00,6654.5,6667.0,6635.0,6656.0,77.374,515001.344,2020-03-26 19:30:00,57.21,6647.76,6610.94,6629.35,6666.17,6592.53,6684.58,6574.12,3.16,-2.35,5.52,23.11,19.37,17.49,16.5,95.67542857142858,0.98,-26.649999999999636,14.22,4.95,6632.44,6645.69,10.170000000000073,-63.470000000000255,-10.3100000000004,-23.5600000000004,-12.79,27.21,3.7399999999999984,5.51,73.64000000000033,0.0,None,None,0.0,0.0,0.0,0.0,0,0.0,None,0
2020-03-26 20:00:00,6656.0,6725.0,6655.0,6696.5,105.093,703755.2745,2020-03-26 20:00:00,64.86,6659.19,6612.3,6635.74,6682.64,6588.85,6706.08,6565.4,8.05,-0.27,8.32,29.81,17.2,18.16,17.49,97.68007142857142,2.0,-60.76000000000022,26.54,8.62,6641.94,6666.01,-13.859999999999673,-107.64999999999964,-30.48999999999978,-54.5600000000004,-5.140000000000001,34.86,12.61,8.32,93.78999999999996,0.0,IdleState,upper,0.0,0.0,0.0,0.0,0,0.0,None,0
2020-03-26 20:30:00,6696.5,6733.0,6682.5,6719.0,98.814,663931.266,2020-03-26 20:30:00,68.25,6674.41,6612.93,6643.67,6705.15,6582.19,6735.89,6551.45,13.58,2.49,11.08,28.69,15.82,18.93,18.48,94.64014285714286,-3.03,-75.32999999999993,45.64,6.96,6653.0,6687.21,-13.850000000000364,-136.8100000000004,-31.789999999999964,-66.0,-1.75,38.25,12.870000000000001,11.09,122.96000000000004,0.0,EntryPreparationState,upper,6719.0,6738.0,0.0,19.0,0,0.0,None,0
2020-03-30 02:00:00,5932.0,6005.0,5931.5,6004.5,186.62,1120559.79,2020-03-30 02:00:00,52.68,6042.26,5884.67,5963.47,6121.06,5805.88,6199.85,5727.08,-43.87,-54.69,10.81,19.88,27.66,49.06,41.27,176.096,7.58,-41.029999999999745,-33.06,13.25,5916.33,5950.59,116.5600000000004,-198.6199999999999,-53.909999999999854,-88.17000000000007,-17.32,22.68,-7.780000000000001,10.82,315.1800000000003,0.0,PositionState,lower,5887.0,6004.5,117.5,0.0,0,0.0,None,0
2020-03-30 02:30:00,6004.5,6015.5,5974.0,5981.5,115.39,690205.285,2020-03-30 02:30:00,49.36,6039.02,5891.35,5965.18,6112.86,5817.51,6186.69,5743.67,-37.24,-51.2,13.95,20.23,25.87,46.43,41.45,139.93428571428572,-36.16,-16.31999999999971,-24.16,11.53,5923.11,5962.95,131.35999999999967,-163.98999999999978,-18.550000000000182,-58.39000000000033,-20.64,19.36,-5.640000000000001,13.96,295.34999999999945,0.0,None,None,0.0,0.0,0.0,0.0,0,0.0,None,0
2020-03-30 03:00:00,5981.5,5998.5,5970.5,5994.0,287.135,1721087.19,2020-03-30 03:00:00,51.16,6036.93,5898.92,5967.93,6105.93,5829.92,6174.94,5760.92,-30.62,-47.08,16.45,19.33,25.27,44.06,41.39,140.84785714285715,0.91,-26.06999999999971,-27.53,0.05,5932.5,5975.37,111.93000000000029,-164.07999999999993,-18.63000000000011,-61.5,-18.840000000000003,21.159999999999997,-5.940000000000001,16.459999999999997,276.0100000000002,0.0,None,None,0.0,0.0,0.0,0.0,0,0.0,None,0
2020-03-30 03:30:00,5994.0,5997.5,5975.0,5996.5,255.667,1533107.1655,2020-03-30 03:30:00,51.53,6033.69,5907.6,5970.65,6096.74,5844.56,6159.79,5781.51,-24.89,-42.64,17.75,18.6,24.32,41.87,41.33,148.31014285714286,7.46,-25.850000000000364,-30.76,-0.67,5942.44,5983.82,100.23999999999978,-151.9399999999996,-12.680000000000291,-54.0600000000004,-18.47,21.53,-5.719999999999999,17.75,252.17999999999938,0.0,None,None,0.0,0.0,0.0,0.0,0,0.0,None,0
