start_at,open,high,low,close,volume,turnover,date,rsi,upper1,lower1,middle,upper2,lower2,upper3,lower3,bbvi,macd,macdsignal,macdhist,p_di,m_di,adx,adxr,volume_ma,volume_ma_diff,middle_diff,band_diff,di_diff,sma,ema,upper_diff,lower_diff,ema_diff,sma_diff,rsi_sell,rsi_buy,dmi_diff,macd_diff,bol_diff,pandl,state,bb_direction,entry_price,exit_price,current_profit,bb_profit,prediction,profit_ma,entry_type,max_pandl,min_pandl,exit_reason,entry_volume
2020-04-02 16:00:00,6796.5,7230.5,6723.0,6796.5,16357.16,111171437.94,2020-04-02 16:00:00,68.64,6663.5,6323.03,6493.27,6833.74,6152.79,7003.98,5982.56,10.48,87.77,28.03,59.74,42.45,11.15,26.34,25.57,3890.3282857142863,992.81,-303.22999999999956,141.25,14.22,6540.22,6725.35,37.23999999999978,-643.71,-71.14999999999964,-256.27999999999975,-1.3599999999999994,38.64,31.300000000000004,59.739999999999995,680.9499999999998,0.0,EntryPreparationState,upper,6796.5,7186.5,0.0,168.84742882365907,1,0.0,None,288.9092253365704,-88.04950342087868,None,0
2020-04-23 16:00:00,7528.5,7607.5,7487.5,7523.5,2427.053,18259933.2455,2020-04-23 16:00:00,72.33,7316.12,6895.17,7105.64,7526.6,6684.69,7737.08,6474.21,11.84,89.79,25.32,64.46,43.77,12.29,25.98,25.77,3563.2216428571433,13.46,-417.8599999999997,285.36,19.86,7177.33,7370.01,3.100000000000364,-838.8100000000004,-153.48999999999978,-346.1700000000001,2.3299999999999983,42.33,31.480000000000004,64.47,841.9100000000008,0.0,EntryPreparationState,upper,7523.5,8729.5,0.0,477.5932013025851,1,0.0,None,768.0829999335413,-52.545696816641154,None,0
2020-05-06 12:00:00,9319.5,9380.0,9131.0,9274.5,5117.148,47458989.126,2020-05-06 12:00:00,64.84,9121.73,8790.48,8956.11,9287.36,8624.86,9452.98,8459.23,7.39,121.74,94.04,27.69,31.54,10.43,30.57,31.54,2950.398857142857,144.66,-318.3899999999994,168.09,7.34,9025.5,9180.03,12.860000000000582,-649.6399999999994,-94.46999999999935,-249.0,-5.159999999999997,34.84,21.11,27.69999999999999,662.5,0.0,EntryPreparationState,upper,9274.5,9546.0,0.0,84.52144590004828,1,0.0,None,250.6220443150575,-79.80008086689331,None,0
2020-05-17 16:00:00,9817.5,9833.0,9704.0,9769.0,1296.187,12662450.803,2020-05-17 16:00:00,63.28,9641.57,9321.52,9481.55,9801.59,9161.5,9961.61,9001.48,6.75,108.88,88.34,20.53,28.25,14.89,16.89,21.3,2156.883357142857,-40.72,-287.4500000000007,92.51,7.59,9522.22,9682.68,32.590000000000146,-607.5,-86.31999999999971,-246.78000000000065,-6.719999999999999,33.28,13.36,20.539999999999992,640.0900000000001,0.0,EntryPreparationState,upper,9769.0,9529.5,0.0,-76.84898147200356,1,0.0,None,54.58719418568917,-92.35722182413774,None,0
2020-06-02 00:00:00,10203.5,10226.0,10050.0,10099.5,2065.839,20863940.9805,2020-06-02 00:00:00,71.42,9808.95,9415.19,9612.07,10005.82,9218.31,10202.7,9021.44,8.19,144.87,100.59,44.28,42.69,8.82,30.42,29.06,2520.513785714286,101.62,-487.4300000000003,385.06,21.36,9665.72,9925.19,-93.68000000000029,-881.1900000000005,-174.3099999999995,-433.78000000000065,1.4200000000000017,41.42,33.87,44.28,787.5100000000002,0.0,EntryPreparationState,upper,10099.5,9469.0,0.0,-190.58649933165026,1,0.0,None,23.13695232437267,-244.35153720481213,None,0
2020-06-11 00:00:00,9884.0,9968.0,9860.0,9890.5,1483.775,14675276.6375,2020-06-11 00:00:00,64.61,9819.27,9700.31,9759.79,9878.74,9640.83,9938.22,9581.36,2.43,44.03,27.47,16.56,28.51,14.48,14.28,12.88,1272.588857142857,57.11,-130.70999999999913,21.6,1.64,9789.72,9852.53,-11.760000000000218,-249.67000000000007,-37.969999999999345,-100.78000000000065,-5.390000000000001,34.61,14.030000000000001,16.560000000000002,237.90999999999985,0.0,EntryPreparationState,upper,9890.5,9527.0,0.0,-113.55731762802706,1,0.0,None,0.4915171123804609,-118.25879884737905,None,0
2020-06-22 16:00:00,9489.5,9625.0,9474.5,9561.0,2150.94399999,20565175.58390439,2020-06-22 16:00:00,65.65,9466.21,9323.72,9394.97,9537.46,9252.47,9608.7,9181.23,3.03,25.09,-0.87,25.96,28.23,15.52,24.73,29.28,957.6583571421428,34.15,-166.03000000000065,93.39,11.24,9408.22,9488.95,-23.540000000000873,-308.53000000000065,-72.04999999999927,-152.78000000000065,-4.349999999999994,35.650000000000006,12.71,25.96,284.9899999999998,0.0,EntryPreparationState,upper,9561.0,9515.0,0.0,-17.733636648886478,1,0.0,None,66.04421085660461,-19.773172262315985,None,0
2020-07-01 16:00:00,9266.5,9289.0,9236.5,9242.0,997.447,9218405.174,2020-07-01 16:00:00,58.98,9205.39,9120.57,9162.98,9247.79,9078.17,9290.2,9035.76,1.85,7.75,-10.07,17.83,22.36,18.69,21.64,26.44,992.8957856985714,-22.44,-79.02000000000044,20.04,6.69,9170.38,9213.71,5.790000000000873,-163.82999999999993,-28.290000000000873,-71.6200000000008,-11.020000000000003,28.979999999999997,3.669999999999998,17.82,169.6200000000008,0.0,EntryPreparationState,upper,9242.0,9046.5,0.0,-66.76028998052361,1,0.0,None,2.5428911491018877,-71.14245834235025,None,0
2020-07-06 08:00:00,9193.5,9227.0,9173.0,9224.0,665.26999998,6136450.47981552,2020-07-06 08:00:00,64.4,9157.1,9059.44,9108.27,9205.93,9010.61,9254.76,8961.78,2.14,2.27,-14.09,16.36,21.95,26.81,26.72,26.92,937.5943571335716,7.22,-115.72999999999956,69.85,9.87,9095.66,9160.8,-18.06999999999971,-213.38999999999942,-63.20000000000073,-128.34000000000015,-5.599999999999994,34.400000000000006,-4.859999999999999,16.36,195.3199999999997,0.0,EntryPreparationState,upper,9224.0,9210.0,0.0,-7.853339115351265,1,0.0,None,75.57033824804849,-23.79002601908069,None,0
2020-07-21 08:00:00,9314.0,9347.0,9299.5,9335.5,1826.765,17053764.6575,2020-07-21 08:00:00,71.93,9244.47,9139.57,9192.02,9296.92,9087.13,9349.36,9034.68,2.28,22.09,3.66,18.43,41.04,12.77,20.29,19.54,1044.4548571428572,88.21,-143.47999999999956,109.27,16.98,9202.33,9269.11,-38.57999999999993,-248.3700000000008,-66.38999999999942,-133.17000000000007,1.9300000000000068,41.93000000000001,28.27,18.43,209.79000000000087,0.0,EntryPreparationState,upper,9335.5,11333.0,0.0,638.6045578704945,1,0.0,None,889.4213325478015,-22.259884312570012,None,0
