start_at,open,high,low,close,volume,turnover,date,wclprice,rsi,upper1,lower1,middle,upper2,lower2,upper3,lower3,bbvi,macd,macdsignal,macdhist,p_di,m_di,adx,adxr,volume_ma,volume_ma_diff,middle_diff,band_diff,di_diff,sma,ema,upper_diff,lower_diff,ema_diff,sma_diff,rsi_sell,ema_sma,sma_ema,ema_sma_500,sma_ema_500,rsi_buy,dmi_diff,macd_diff,bol_diff,aroon,adline,pandl,state,bb_direction,entry_price,exit_price,current_profit,bb_profit,prediction,profit_ma,entry_type,max_pandl,min_pandl,exit_reason,entry_volume
2020-03-27 17:00:00,6638.5,6652.5,6610.0,6632.0,164.831,1093159.192,2020-03-27 17:00:00,6631.62,44.92,6720.25,6589.87,6655.06,6785.43,6524.68,6850.62,6459.5,3.91,-13.79,-4.29,-9.5,16.04,22.49,17.4,19.86,207.67907142857143,1.97,23.44000000000051,3.54,-1.21,6627.87,6628.15,153.8100000000004,-106.9399999999996,-3.4700000000002547,-3.75,-25.08,0.27999999999974534,-0.27999999999974534,0.0,0.0,14.920000000000002,-6.449999999999999,-9.5,260.75,-64.28,-97.27,0.0,IdleState,None,0.0,0.0,0.0,0.0,0,0.0,None,0.0,0.0,None,0
2020-03-27 18:00:00,6632.0,6655.0,6625.0,6644.0,115.313,766139.572,2020-03-27 18:00:00,6642.0,47.17,6719.64,6587.99,6653.81,6785.46,6522.17,6851.28,6456.35,3.95,-12.96,-6.02,-6.93,15.76,21.68,17.29,19.26,200.14799999999997,-7.53,11.8100000000004,1.86,-0.3,6626.35,6633.69,143.46000000000004,-119.82999999999993,-8.3100000000004,-15.649999999999636,-22.83,7.339999999999236,-7.339999999999236,0.0,0.0,17.17,-5.92,-6.940000000000001,263.28999999999996,-64.28,-66.52,0.0,IdleState,None,0.0,0.0,0.0,0.0,0,0.0,None,0.0,0.0,None,0
2020-03-27 19:00:00,6644.0,6680.0,6638.0,6655.5,177.466,1181124.963,2020-03-27 19:00:00,6657.25,50.38,6719.22,6589.06,6654.14,6784.3,6523.99,6849.37,6458.91,3.91,-10.94,-7.01,-3.93,18.02,20.55,16.52,18.37,186.21042857142857,-13.93,-3.1099999999996726,-2.94,3.1,6628.58,6643.11,127.05000000000018,-133.26000000000022,-14.140000000000327,-28.670000000000073,-19.619999999999997,14.529999999999745,-14.529999999999745,0.0,0.0,20.380000000000003,-2.530000000000001,-3.9299999999999997,260.3100000000004,-57.14,-96.1,0.0,IdleState,None,0.0,0.0,0.0,0.0,0,0.0,None,0.0,0.0,None,0
2020-03-27 20:00:00,6655.5,6659.0,6634.5,6654.5,145.932,971104.494,2020-03-27 20:00:00,6650.62,48.99,6713.21,6594.4,6653.81,6772.61,6535.0,6832.02,6475.59,3.57,-9.77,-7.56,-2.21,17.46,20.36,15.89,17.35,181.92000000000002,-4.29,3.1900000000005093,-23.86,1.89,6630.41,6646.11,121.98999999999978,-115.61999999999989,-4.510000000000218,-20.210000000000036,-21.009999999999998,15.699999999999818,-15.699999999999818,0.0,0.0,18.990000000000002,-2.8999999999999986,-2.21,237.60999999999967,-42.85,-3.78,0.0,IdleState,None,0.0,0.0,0.0,0.0,0,0.0,None,0.0,0.0,None,0
2020-03-27 21:00:00,6654.5,6676.0,6653.5,6670.0,127.9,853093.0,2020-03-27 21:00:00,6667.37,52.56,6707.43,6602.76,6655.1,6759.77,6550.42,6812.11,6498.08,3.14,-7.4,-7.53,0.12,19.21,19.74,14.85,16.2,174.60464285714286,-7.31,-12.269999999999527,-39.94,1.81,6634.95,6654.61,92.40000000000055,-116.94999999999982,-12.760000000000218,-32.42000000000007,-17.439999999999998,19.659999999999854,-19.659999999999854,0.0,0.0,22.560000000000002,-0.5299999999999976,0.1299999999999999,209.35000000000036,-42.85,55.9,0.0,IdleState,None,0.0,0.0,0.0,0.0,0,0.0,None,0.0,0.0,None,0
2020-03-27 22:00:00,6670.0,6671.5,6642.5,6665.0,105.305,701857.825,2020-03-27 22:00:00,6661.0,51.09,6700.44,6610.88,6655.66,6745.22,6566.1,6790.0,6521.32,2.69,-5.97,-7.22,1.24,18.44,20.47,14.16,15.53,172.61235714285712,-1.99,-5.3400000000001455,-43.06,0.25,6641.76,6657.17,84.22000000000025,-94.89999999999964,-3.8299999999999272,-19.23999999999978,-18.909999999999997,15.409999999999854,-15.409999999999854,0.0,0.0,21.090000000000003,-2.0299999999999976,1.25,179.1199999999999,-35.71,114.0,0.0,IdleState,None,0.0,0.0,0.0,0.0,0,0.0,None,0.0,0.0,None,0
2020-03-27 23:00:00,6665.0,6665.0,6235.0,6354.0,360.881,2293037.874,2020-03-27 23:00:00,6402.0,23.02,6695.62,6567.38,6631.5,6759.75,6503.25,6823.87,6439.13,3.86,-25.44,-10.86,-14.58,11.23,49.52,17.65,17.33,187.70764285714287,15.09,229.5,62.82,-37.03,6618.98,6555.1,357.75,101.25,153.10000000000036,216.97999999999956,-46.980000000000004,-63.8799999999992,63.8799999999992,0.0,0.0,-6.98,-38.290000000000006,-14.580000000000002,256.5,-85.71,-47.13,0.0,IdleState,lower,0.0,0.0,0.0,0.0,0,0.0,None,0.0,0.0,None,0
2020-03-28 00:00:00,6354.0,6354.0,6196.0,6297.0,305.349,1922782.653,2020-03-28 00:00:00,6286.0,18.19,6694.2,6502.99,6598.59,6789.8,6407.39,6885.4,6311.79,5.79,-49.66,-18.62,-31.04,9.72,46.19,21.05,18.93,195.22485714285713,7.51,312.59000000000015,140.43,-5.38,6581.27,6447.46,503.8000000000002,121.39000000000033,161.46000000000004,295.27000000000044,-51.81,-133.8100000000004,133.8100000000004,0.0,0.0,-11.809999999999999,-36.47,-31.039999999999996,382.40999999999985,-92.85,37.9,0.0,EntryPreparationState,lower,6297.0,6023.5,0.0,-133.6001429252022,1,0.0,None,-1.8707479752263683,-220.30809909480678,None,0
2020-03-31 18:00:00,6445.5,6479.5,6440.0,6451.5,714.758,4611261.237,2020-03-31 18:00:00,6455.62,58.83,6443.16,6393.07,6418.12,6468.21,6368.03,6493.26,6342.98,1.56,31.94,40.44,-8.49,22.75,13.62,31.24,37.47,664.2777857142858,-4.19,-37.5,-15.9,1.5,6428.1,6442.76,12.590000000000146,-87.59000000000015,-12.859999999999673,-27.519999999999527,-11.170000000000002,14.659999999999854,-14.659999999999854,0.0,0.0,28.83,9.13,-8.499999999999996,100.18000000000029,-28.57,1068.47,0.0,IdleState,None,0.0,0.0,0.0,0.0,0,0.0,None,0.0,0.0,None,0
2020-03-31 19:00:00,6451.5,6464.5,6427.5,6454.5,584.087,3769989.5415,2020-03-31 19:00:00,6450.25,57.87,6445.71,6396.64,6421.18,6470.24,6372.11,6494.78,6347.58,1.52,30.9,38.53,-7.63,21.86,14.41,30.47,36.73,667.9448571428572,3.66,-29.06999999999971,-2.52,0.39,6431.44,6445.76,19.98999999999978,-78.14000000000033,-4.489999999999782,-18.8100000000004,-12.130000000000003,14.320000000000618,-14.320000000000618,0.0,0.0,27.869999999999997,7.449999999999999,-7.630000000000003,98.13000000000011,-28.57,1336.83,0.0,IdleState,None,0.0,0.0,0.0,0.0,0,0.0,None,0.0,0.0,None,0
