start_at,open,high,low,close,volume,turnover,date,wclprice,rsi,upper1,lower1,middle,upper2,lower2,upper3,lower3,bbvi,macd,macdsignal,macdhist,p_di,m_di,adx,adxr,volume_ma,volume_ma_diff,middle_diff,band_diff,di_diff,sma,ema,upper_diff,lower_diff,ema_diff,sma_diff,rsi_sell,ema_sma,sma_ema,ema_sma_500,sma_ema_500,rsi_buy,dmi_diff,macd_diff,bol_diff,aroon,adline,mfi,roc,atr,pandl,state,bb_direction,entry_price,exit_price,current_profit,bb_profit,prediction,profit_ma,entry_type,max_pandl,min_pandl,exit_reason,entry_volume
2020-04-01 12:00:00,6286.0,6333.0,6156.5,6223.5,3338.933,20779849.5255,2020-04-01 12:00:00,6234.12,43.15,6504.94,6161.22,6333.08,6676.81,5989.35,6848.67,5817.49,10.85,-28.55,-43.56,15.01,16.89,24.03,19.48,25.8,2545.264142857143,-0.42,98.96000000000004,-14.42,-5.56,6368.13,6293.43,442.6900000000005,-244.76999999999953,59.3100000000004,134.01000000000022,-26.85,-74.69999999999982,74.69999999999982,0.0,0.0,13.149999999999999,-7.140000000000001,15.010000000000002,687.46,28.57,1275.52,45.07,0.62,141.78,0.0,IdleState,None,0.0,0.0,0.0,0.0,0,0.0,None,0.0,0.0,None,0
2020-04-01 16:00:00,6223.5,6223.5,6145.0,6201.0,2502.156,15515869.356,2020-04-01 16:00:00,6192.62,40.62,6489.78,6149.63,6319.7,6659.86,5979.55,6829.93,5809.48,10.76,-37.1,-42.27,5.16,16.19,23.64,19.42,24.8,2553.221785714286,7.95,127.07999999999993,-21.38,-1.96,6341.83,6253.1,467.2399999999998,-213.0699999999997,60.48000000000047,149.21000000000004,-29.380000000000003,-88.72999999999956,88.72999999999956,0.0,0.0,10.619999999999997,-7.449999999999999,5.170000000000002,680.3099999999995,-78.57,2343.31,38.35,-2.25,137.26,0.0,IdleState,None,0.0,0.0,0.0,0.0,0,0.0,None,0.0,0.0,None,0
2020-04-01 20:00:00,6201.0,6687.0,6189.0,6642.0,5363.191,35622314.622,2020-04-01 20:00:00,6540.0,61.16,6515.61,6165.76,6340.68,6690.53,5990.84,6865.45,5815.92,11.03,-15.66,-36.95,21.28,33.06,18.46,20.06,24.22,2738.029142857143,184.8,-199.3199999999997,2.42,21.35,6357.1,6367.86,150.52999999999975,-549.1599999999999,-172.14000000000033,-182.89999999999964,-8.840000000000003,10.759999999999309,-10.759999999999309,0.0,0.0,31.159999999999997,14.600000000000001,21.290000000000003,699.6899999999996,7.14,6737.25,42.7,3.08,163.03,0.0,IdleState,None,0.0,0.0,0.0,0.0,0,0.0,None,0.0,0.0,None,0
2020-04-02 00:00:00,6642.0,6739.5,6543.5,6601.0,2648.688,17483989.488,2020-04-02 00:00:00,6621.25,64.27,6537.25,6197.55,6367.4,6707.11,6027.7,6876.96,5857.85,10.67,7.78,-28.0,35.79,32.52,16.89,20.89,24.33,2764.5153571428573,26.48,-253.85000000000036,10.39,17.9,6378.69,6469.21,85.85999999999967,-593.5500000000002,-152.03999999999996,-242.5600000000004,-5.730000000000004,90.52000000000044,-90.52000000000044,0.0,0.0,34.269999999999996,15.630000000000003,35.78,679.4099999999999,14.28,5642.64,43.41,4.13,165.38,0.0,IdleState,None,0.0,0.0,0.0,0.0,0,0.0,None,0.0,0.0,None,0
2020-04-02 04:00:00,6601.0,6673.0,6560.5,6639.5,2407.001,15981283.1395,2020-04-02 04:00:00,6628.12,64.53,6540.89,6243.58,6392.23,6689.55,6094.92,6838.21,5946.26,9.3,26.62,-17.07,43.7,30.9,16.04,21.65,24.43,2737.564214285714,-26.95,-235.89000000000033,-68.19,-1.31,6398.87,6532.77,61.43000000000029,-533.1999999999998,-95.34999999999945,-229.25,-5.469999999999999,133.90000000000055,-133.90000000000055,0.0,0.0,34.53,14.86,43.69,594.6300000000001,14.28,6616.14,36.47,3.08,161.61,0.0,IdleState,None,0.0,0.0,0.0,0.0,0,0.0,None,0.0,0.0,None,0
2020-04-02 08:00:00,6639.5,6706.5,6601.0,6676.0,2309.93,15421092.68,2020-04-02 08:00:00,6664.87,65.95,6548.76,6287.64,6418.2,6679.32,6157.08,6809.88,6026.51,8.13,44.0,-4.86,48.86,30.94,15.27,22.53,24.56,2725.915,-11.64,-246.67000000000007,-89.94,-0.81,6425.84,6585.61,14.449999999999818,-507.78999999999996,-79.26000000000022,-239.02999999999975,-4.049999999999997,159.76999999999953,-159.76999999999953,0.0,0.0,35.95,15.670000000000002,48.86,522.2399999999998,14.28,7590.47,42.82,3.48,157.6,0.0,IdleState,None,0.0,0.0,0.0,0.0,0,0.0,None,0.0,0.0,None,0
2020-04-02 12:00:00,6676.0,6828.0,6620.5,6796.5,4814.504,32721776.436,2020-04-02 12:00:00,6760.37,69.39,6593.85,6307.72,6450.79,6736.92,6164.65,6879.98,6021.59,8.87,64.74,9.05,55.68,33.49,13.86,23.88,24.81,2897.510214285714,171.59,-309.5799999999999,39.8,4.0,6471.95,6655.51,-23.449999999999818,-595.7200000000003,-104.85999999999967,-288.4200000000001,-0.6099999999999994,183.5600000000004,-183.5600000000004,0.0,0.0,39.39,19.630000000000003,55.69,572.2700000000004,35.71,10943.22,52.44,5.14,161.16,0.0,IdleState,upper,0.0,0.0,0.0,0.0,0,0.0,None,0.0,0.0,None,0
2020-04-02 16:00:00,6796.5,7230.5,6723.0,6796.5,16357.16,111171437.94,2020-04-02 16:00:00,6886.62,73.23,6664.36,6320.23,6492.29,6836.42,6148.16,7008.49,5976.1,10.6,90.32,25.31,65.01,42.45,11.15,26.34,25.57,3890.3282857142863,992.81,-394.3299999999999,173.59,14.22,6535.1,6747.95,-50.19999999999982,-738.46,-138.67000000000007,-351.5199999999995,3.230000000000004,212.84999999999945,-212.84999999999945,0.0,0.0,43.230000000000004,31.300000000000004,65.00999999999999,688.2600000000002,42.85,-675.99,69.69,7.56,185.9,0.0,EntryPreparationState,upper,6796.5,7186.5,0.0,168.84742882365907,1,0.0,None,288.9092253365704,-88.04950342087868,None,0
2020-04-15 08:00:00,6858.5,6875.0,6743.0,6774.0,2992.973,20274399.102,2020-04-15 08:00:00,6791.5,43.46,6955.2,6766.02,6860.61,7049.78,6671.44,7144.37,6576.85,5.51,-26.21,-37.12,10.91,18.69,26.62,16.13,22.24,2593.1599285714287,-276.31,69.10999999999967,3.85,-6.34,6858.52,6841.27,258.27999999999975,-120.0600000000004,49.77000000000044,67.02000000000044,-26.54,-17.25,17.25,0.0,0.0,13.46,-7.93,10.909999999999997,378.34000000000015,71.42,5568.72,46.91,1.37,125.54,0.0,IdleState,None,0.0,0.0,0.0,0.0,0,0.0,None,0.0,0.0,None,0
2020-04-15 12:00:00,6774.0,6774.0,6677.0,6695.0,5261.229,35223928.155,2020-04-15 12:00:00,6710.25,38.63,6945.19,6747.38,6846.29,7044.1,6648.48,7143.0,6549.57,5.77,-35.26,-36.75,1.48,17.64,28.95,16.71,22.09,2832.1232142857143,238.96,136.03999999999996,11.36,-4.89,6841.78,6788.86,333.85000000000036,-61.77000000000044,78.60999999999967,131.52999999999975,-31.369999999999997,-52.92000000000007,52.92000000000007,0.0,0.0,8.630000000000003,-11.309999999999999,1.490000000000002,395.6200000000008,50.0,2260.12,42.99,0.34,123.5,0.0,IdleState,None,0.0,0.0,0.0,0.0,0,0.0,None,0.0,0.0,None,0
