start_at,open,high,low,close,volume,turnover,date,funding_rate,p_close,oi,rsi,upper1,lower1,middle,upper2,lower2,upper3,lower3,macd,macdsignal,macdhist,p_di,m_di,adx,adxr,volume_ma,volume_ma_diff,middle_diff,band_diff,di_diff,sma,ema,upper_diff,lower_diff,ema_diff,sma_diff,rsi_sell,rsi_buy,dmi_diff,macd_diff,bol_diff,state,bb_direction,entry_price,exit_price,current_profit,bb_profit,profit_max,profit_min,profit_mean,prediction,profit_ma,entry_volume
2020-08-13 15:00:00,11536.5,11542.0,11473.0,11504.0,404.296,4651021.184,2020-08-13 15:00:00,0.0001,0.000985,5482.736,48.74,11571.54,11459.34,11515.44,11627.64,11403.25,11683.73,11347.15,-6.35,-3.73,-2.61,19.88,22.38,19.36,21.71,716.9975714285713,0.58,11.44000000000051,0.09,0.62,11488.55,11509.96,123.63999999999942,-100.75,5.959999999999127,-15.450000000000728,-21.259999999999998,18.740000000000002,-2.5,-2.6199999999999997,224.38999999999942,None,None,11736.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,514.29
2020-08-13 16:00:00,11504.0,11529.5,11457.5,11529.5,256.358,2955679.561,2020-08-13 16:00:00,0.0001,0.000563,5516.416,50.95,11572.47,11461.09,11516.78,11628.15,11405.41,11683.84,11349.72,-4.43,-3.87,-0.56,18.74,22.33,18.6,20.89,690.9507142857143,-26.04,-12.719999999999345,-3.71,-2.24,11489.33,11517.77,98.64999999999964,-124.09000000000015,-11.729999999999563,-40.17000000000007,-19.049999999999997,20.950000000000003,-3.59,-0.5599999999999996,222.73999999999978,None,None,11736.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,514.29
2020-08-13 17:00:00,11529.5,11532.5,11502.0,11529.5,155.425,1791972.5375,2020-08-13 17:00:00,0.0001,9.5e-05,5565.022,50.95,11573.52,11462.46,11517.99,11629.05,11406.93,11684.58,11351.41,-2.88,-3.67,0.79,18.51,21.75,17.85,20.12,682.8030714285715,-8.14,-11.510000000000218,-0.11,-0.78,11500.72,11522.46,99.54999999999927,-122.56999999999971,-7.040000000000873,-28.780000000000655,-19.049999999999997,20.950000000000003,-3.2399999999999984,0.79,222.11999999999898,None,None,11736.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,514.29
2020-08-13 18:00:00,11529.5,11540.0,11490.0,11501.5,393.599,4526978.8985,2020-08-13 18:00:00,0.0001,0.000652,5592.2,48.3,11572.11,11460.73,11516.42,11627.81,11405.03,11683.5,11349.34,-3.86,-3.71,-0.15,17.71,21.85,17.32,19.65,697.5732857142856,14.77,14.920000000000073,1.55,-1.12,11511.83,11514.07,126.30999999999949,-96.46999999999935,12.569999999999709,10.329999999999927,-21.700000000000003,18.299999999999997,-4.140000000000001,-0.1499999999999999,222.77999999999884,None,None,11736.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,514.29
2020-08-13 19:00:00,11501.5,11537.5,11500.0,11518.0,172.47,1986509.46,2020-08-13 19:00:00,0.0001,0.000945,5737.438,49.95,11571.6,11461.54,11516.57,11626.63,11406.51,11681.67,11351.47,-3.27,-3.62,0.35,17.11,21.11,16.83,19.07,691.3407857142857,-6.23,-1.430000000000291,-3.89,-0.66,11518.16,11515.64,108.6299999999992,-111.48999999999978,-2.360000000000582,0.15999999999985448,-20.049999999999997,19.950000000000003,-4.0,0.3500000000000001,220.11999999999898,None,None,11736.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,514.29
2020-08-13 20:00:00,11518.0,11639.0,11518.0,11611.5,520.435,6043031.0025,2020-08-13 20:00:00,0.0001,0.000968,5693.654,58.1,11578.52,11472.7,11525.61,11631.43,11419.79,11684.34,11366.89,4.67,-1.96,6.64,24.12,18.9,16.49,18.64,712.3572142857143,21.01,-85.88999999999942,-9.65,8.62,11524.33,11553.98,19.93000000000029,-191.70999999999913,-57.52000000000044,-87.17000000000007,-11.899999999999999,28.1,5.220000000000002,6.63,211.63999999999942,None,None,11736.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,514.29
2020-08-13 21:00:00,11611.5,11726.5,11611.0,11703.0,2609.912,30543800.136,2020-08-13 21:00:00,0.0001,0.001704,5681.998,64.24,11605.71,11479.29,11542.5,11668.92,11416.09,11732.13,11352.88,18.15,2.05,16.1,29.15,17.06,17.18,19.53,876.6990714285714,164.34,-160.5,45.99,13.88,11549.72,11613.59,-34.07999999999993,-286.90999999999985,-89.40999999999985,-153.28000000000065,-5.760000000000005,34.239999999999995,12.09,16.099999999999998,252.82999999999993,EntryPreparationState,upper,11736.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,514.29
2020-08-13 22:00:00,11703.0,11790.0,11702.5,11736.0,1387.182,16279967.952,2020-08-13 22:00:00,0.0001,0.001502,5709.848,66.17,11638.14,11483.73,11560.93,11715.34,11406.52,11792.55,11329.32,31.14,7.87,23.27,32.35,15.8,18.41,21.07,893.415357142857,16.71,-175.0699999999997,93.47,9.48,11574.38,11662.55,-20.659999999999854,-329.47999999999956,-73.45000000000073,-161.6200000000008,-3.8299999999999983,36.17,16.55,23.27,308.8199999999997,PositionState,upper,11736.0,11769.5,0.0,33.5,200.0,-50.5,61.76923076923077,0,170.09000000000015,514.29
2020-08-17 07:00:00,11817.0,11849.0,11810.0,11823.0,190.635,2253877.605,2020-08-17 07:00:00,0.00071684,0.001584,6452.91,45.0,11879.11,11816.41,11847.76,11910.46,11785.06,11941.81,11753.72,-6.43,-0.83,-5.6,16.76,21.26,11.41,12.91,219.54092857142857,-6.27,24.76000000000022,-19.1,0.55,11848.66,11826.06,87.45999999999913,-37.94000000000051,3.0599999999994907,25.659999999999854,-25.0,15.0,-4.5,-5.6,125.39999999999964,None,None,12170.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,2852.957
2020-08-17 08:00:00,11823.0,11892.0,11822.5,11879.5,274.865,3265258.7675,2020-08-17 08:00:00,0.00047435,0.000837,6457.822,54.81,11879.39,11822.18,11850.78,11908.0,11793.57,11936.6,11764.97,-3.01,-1.26,-1.74,20.82,19.35,10.85,12.31,219.3950714285714,-0.14,-28.719999999999345,-21.18,5.05,11844.77,11847.43,28.5,-85.93000000000029,-32.06999999999971,-34.72999999999956,-15.189999999999998,24.810000000000002,1.4699999999999989,-1.7499999999999998,114.43000000000029,None,None,12170.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,2852.957
