,Unnamed: 0,start_at,open,high,low,close,volume,turnover,date,funding_rate,oi,rsi,upper1,lower1,middle,upper2,lower2,upper3,lower3,macd,macdsignal,macdhist,p_di,m_di,adx,adxr,volume_ma,volume_ma_diff,middle_diff,band_diff,di_diff,sma,ema,state,bb_direction,enter_price,exit_price,current_profit,bb_profit,profit_max,profit_min,profit_mean,profit_ma
189,321,1614052800000.0,51938.5,52335.0,48635.0,49709.5,10946.63,544151503.985,2021-02-23 04:00:00,0.00204157,5053.857,32.46,56259.26,52198.9,54229.08,58289.43,50168.73,60319.61,48138.55,-184.77,725.0,-909.78,12.73,41.07,36.35,37.61,5737.424714285714,386.55,-475.73,2175.94,-6.77,54120.38,51343.93,PositionState,lower,49709.5,50879.5,0.0,-1170.0,4172.0,-1170.0,316.23333333333335,788.6999999999971
346,478,1616313600000.0,57107.0,57440.0,55511.5,56286.5,4316.99,242988257.635,2021-03-21 08:00:00,0.00090928,6246.269,39.6,58794.19,57179.6,57986.9,59601.48,56372.31,60408.77,55565.02,44.52,307.93,-263.41,17.99,27.01,20.46,21.38,3458.4845,10.94,-178.98,580.9,-8.18,58252.55,56993.51,PositionState,lower,56286.5,56580.5,0.0,-294.0,2175.5,-1479.5,373.60526315789474,1196.3899999999994
512,644,1618704000000.0,60065.5,60415.5,50500.0,54771.0,41148.879,2253765251.709,2021-04-18 00:00:00,0.00148701,6289.361,22.66,62814.95,59114.19,60964.57,64665.33,57263.81,66515.71,55413.43,-784.22,-125.01,-659.2,8.38,56.02,27.6,27.84,4730.989142857143,2805.35,-651.94,3484.2,-34.26,60512.83,57624.71,PositionState,lower,54771.0,52338.0,0.0,2433.0,6730.0,-2484.5,1607.6530612244899,6779.459999999999
662,794,1620864000000.0,49617.0,50819.5,45719.0,50460.0,22434.502,1132044970.92,2021-05-13 00:00:00,0.00069602,5901.238,28.9,57779.38,53014.28,55396.83,60161.93,50631.73,62544.48,48249.18,-1238.46,-555.09,-683.36,8.74,47.53,27.76,21.97,5166.758142857143,1262.45,-519.66,2260.3,-7.67,54978.55,51471.1,PositionState,lower,50460.0,37596.0,0.0,12864.0,17412.5,-777.0,7616.224637681159,14829.099999999999
754,886,1622188800000.0,36986.0,37266.5,35124.5,35370.0,13232.846,468045763.02,2021-05-28 08:00:00,0.0001,5190.49,38.37,39298.48,36909.05,38103.76,40493.19,35714.34,41687.9,34519.63,-225.06,72.66,-297.73,15.35,29.58,17.92,22.92,7008.629357142857,575.15,-287.76,911.8,-6.17,38122.5,36561.72,PositionState,lower,35370.0,36314.5,0.0,-944.5,1318.5,-1368.5,-146.1153846153846,745.6800000000003
817,949,1623096000000.0,35682.0,35766.5,33240.0,33570.5,19225.98,645425761.59,2021-06-07 20:00:00,9.052e-05,7330.974,30.25,36825.18,35247.53,36036.35,37614.01,34458.7,38402.84,33669.87,-474.45,-324.27,-150.17,12.44,36.14,27.99,24.32,7866.575142857143,398.83,-259.56,880.22,-14.01,35756.77,34737.91,PositionState,lower,33570.5,34879.5,0.0,-1309.0,1893.5,-1309.0,368.55,536.4200000000055
882,1014,1624032000000.0,36395.5,36718.0,35159.0,35334.5,17322.302,612074880.019,2021-06-18 16:00:00,0.0001,10461.699,28.47,39290.93,36819.66,38055.29,40526.56,35584.03,41762.19,34348.39,-457.43,-18.13,-439.3,11.21,31.36,25.16,29.2,12455.235071428571,354.2,-286.4,958.93,-8.75,37679.05,36223.79,PositionState,lower,35334.5,33957.5,0.0,1377.0,4102.5,-763.0,1250.388888888889,3102.840000000004
999,1131,1625716800000.0,33300.0,33478.0,32270.5,32496.0,21950.714,713310402.144,2021-07-08 04:00:00,-0.0001164,13624.422,34.13,34639.34,33510.95,34075.14,35203.54,32946.75,35767.73,32382.55,-197.56,-38.41,-159.14,15.21,30.05,15.39,15.48,12800.862714285715,915.28,-166.23,65.16,-8.76,34105.77,33133.88,PositionState,lower,32496.0,33530.0,0.0,-1034.0,0.0,-1034.0,-385.44444444444446,-42.81000000000495
1067,1199,1626696000000.0,31289.5,31369.5,30412.0,30661.5,26225.724,804120036.426,2021-07-19 12:00:00,0.0001,15588.188,35.83,31943.14,31281.87,31612.51,32273.78,30951.24,32604.41,30620.6,-269.72,-243.85,-25.86,12.94,30.09,18.89,21.98,9513.521857142858,1469.17,-100.1,241.69,-10.72,31484.61,31055.52,PositionState,lower,30661.5,30791.0,0.0,-129.5,1062.0,-154.0,547.9545454545455,762.2700000000004
1368,1500,1631030400000.0,46678.5,47538.5,45956.0,46700.0,21103.852,985549888.4,2021-09-07 16:00:00,0.0001,11204.034,27.4,51917.41,48716.16,50316.79,53518.04,47115.54,55118.66,45514.91,-93.85,452.66,-546.52,12.73,52.1,31.14,22.8,12802.540428571428,861.51,-380.7,1365.32,-8.6,50754.05,47941.04,PositionState,lower,46700.0,46048.5,0.0,651.5,1829.0,-285.0,750.1379310344828,2244.480000000003
