,Unnamed: 0,start_at,open,high,low,close,volume,turnover,date,funding_rate,oi,rsi,upper1,lower1,middle,upper2,lower2,upper3,lower3,macd,macdsignal,macdhist,p_di,m_di,adx,adxr,volume_ma,volume_ma_diff,middle_diff,band_diff,di_diff,sma,ema,state,bb_direction,enter_price,exit_price,current_profit,bb_profit,profit_max,profit_min,profit_mean,profit_ma
41,173,1611921600000.0,37067.5,38632.0,36575.0,37168.5,11873.119,441306023.5515,2021-01-29 12:00:00,0.0001,5401.926,69.91,34836.2,31192.32,33014.26,36658.14,29370.38,38480.08,27548.44,731.81,71.08,660.73,35.33,16.02,20.25,19.45,9504.182214285715,551.97,437.28,3146.26,12.8,33420.88,36045.08,PositionState,upper,37168.5,33576.0,0.0,-3592.5,0.0,-3908.0,-2943.5,-2325.7400000000052
64,196,1612252800000.0,34259.5,35683.0,34147.0,34780.0,5539.028,192647393.84,2021-02-02 08:00:00,0.0001,5103.42199999,58.33,34235.6,33244.9,33740.25,34730.94,32749.56,35226.29,32254.21,234.22,186.97,47.24,25.61,15.53,8.72,9.95,3963.962857142857,218.54,109.44,254.82,7.96,33873.5,34358.05,PositionState,upper,34780.0,37951.0,0.0,3171.0,6065.0,-21.5,2898.09375,4189.489999999998
102,234,1612800000000.0,43749.5,44331.0,42664.0,43136.0,7690.723,331747027.328,2021-02-08 16:00:00,0.00070257,9966.472,70.07,41020.58,37892.77,39456.67,42584.48,36328.87,44148.38,34764.97,1129.28,835.2,294.08,40.95,11.49,30.77,34.7,6618.581071428572,213.36,387.29,2231.7,17.75,39746.72,42288.43,PositionState,upper,43136.0,47175.5,0.0,4039.5,6001.0,0.0,3802.7179487179487,5649.909999999996
154,286,1613548800000.0,51098.5,51748.0,50647.5,51320.5,5057.421,259549374.4305,2021-02-17 08:00:00,0.00229574,6372.315,68.79,49989.97,47929.71,48959.84,51020.1,46899.58,52050.23,45869.44,924.56,755.23,169.33,30.45,11.39,23.45,21.83,3861.129642857143,-179.13,248.48,947.04,3.4,49660.5,50772.86,PositionState,upper,51320.5,54638.0,0.0,3317.5,6819.0,-131.0,3032.7741935483873,4866.610000000001
272,404,1615248000000.0,52340.0,54118.0,51856.5,53851.5,6190.823,333385104.7845,2021-03-09 00:00:00,0.0007559,5299.754,71.6,52002.01,48999.16,50500.58,53503.44,47497.73,55004.86,45996.3,940.28,606.12,334.15,32.3,12.1,19.88,16.01,3893.204142857143,162.47,352.72,1476.88,11.48,51221.5,52767.6,PositionState,upper,53851.5,57926.0,0.0,4074.5,7577.5,-280.5,3317.4736842105262,6204.510000000002
465,597,1618027200000.0,59198.0,61671.5,59198.0,60609.5,4985.71,302181390.245,2021-04-10 04:00:00,0.0001,6313.842,71.0,59307.01,57093.39,58200.2,60413.82,55986.57,61520.64,54879.76,368.54,51.93,316.61,36.38,11.41,18.5,20.95,1992.4633571428571,270.39,253.61,1155.77,19.44,58568.22,59657.13,PositionState,upper,60609.5,61547.0,0.0,937.5,4050.0,-939.5,1023.8513513513514,2669.2000000000044
588,720,1619798400000.0,57088.5,57303.0,56330.0,57033.0,2336.682,133267984.506,2021-04-30 16:00:00,0.0001,5681.306,67.21,55466.08,53503.86,54484.97,56447.2,52522.75,57428.31,51541.63,635.95,445.64,190.3,30.48,13.81,18.39,19.93,2741.8300714285715,-35.92,268.2,1426.15,9.61,54544.27,56310.11,PositionState,upper,57033.0,55496.5,0.0,-1536.5,1767.5,-1536.5,371.7142857142857,195.13999999999942
853,985,1623614400000.0,37649.0,39372.0,37641.0,39026.0,16353.095,638195885.47,2021-06-13 20:00:00,-9.35e-06,9831.949,67.92,37344.25,35306.62,36325.43,38363.07,34287.8,39381.89,33268.98,292.95,71.81,221.13,33.83,16.16,19.65,20.8,11418.743857142856,380.39,284.26,887.0,18.65,36143.16,37869.11,PositionState,upper,39026.0,39086.5,0.0,60.5,1666.5,-31.0,825.21875,1716.0899999999965
1107,1239,1627272000000.0,38316.5,39299.0,37863.0,38192.5,20697.335,790482966.9874998,2021-07-26 04:00:00,-0.00045135,13294.772,84.67,36082.06,32844.74,34463.4,37700.72,31226.08,39319.38,29607.42,1252.83,861.95,390.88,53.65,5.66,49.59,41.23,14700.897500000001,295.12,392.54,2332.94,16.5,35306.0,37381.23,PositionState,upper,38192.5,38645.5,0.0,453.0,2537.5,-1407.5,916.7307692307693,1855.75
1135,1267,1627675200000.0,39861.0,42300.0,39712.5,42209.5,29853.137,1260085986.2015,2021-07-30 20:00:00,0.0001,12641.386,69.81,40260.07,38626.89,39443.48,41076.66,37810.3,41893.24,36993.71,893.95,978.54,-84.58,36.53,13.85,41.51,47.43,12924.477214285713,843.83,291.16,469.61,17.79,39891.94,40854.56,PositionState,upper,42209.5,39836.5,0.0,-2373.0,213.5,-2373.0,-705.0,-241.09999999999854
