,Unnamed: 0.1,Unnamed: 0,start_at,open,high,low,close,volume,turnover,date,funding_rate,p_close,oi,rsi,upper1,lower1,middle,upper2,lower2,upper3,lower3,macd,macdsignal,macdhist,p_di,m_di,adx,adxr,volume_ma,volume_ma_diff,middle_diff,band_diff,di_diff,sma,ema,upper_diff,lower_diff,ema_diff,sma_diff,rsi_sell,rsi_buy,dmi_diff,macd_diff,bol_diff,state,bb_direction,entry_price,exit_price,current_profit,bb_profit,profit_max,profit_min,profit_mean,prediction,profit_ma,entry_volume
0,4,136,1617696000000.0,58671.0,59000.0,58414.0,58616.5,770.972,45191680.238,2021-04-06 08:00:00,0.00035352,0.002359,6385.265,49.98,58959.82,58449.4,58704.61,59215.03,58194.18,59470.24,57938.97,165.09,229.89,-64.8,20.83,21.59,19.9,26.72,432.0631428571429,24.02,88.11000000000058,-407.44,-1.25,58873.66,58695.63,598.5299999999988,-422.3199999999997,79.12999999999738,257.1600000000035,-20.020000000000003,19.98,-0.7600000000000016,-64.79999999999998,1020.8499999999984,0,0,57919.5,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,423.215
1,5,137,1617699600000.0,58616.5,58825.0,58558.0,58786.0,309.031,18166696.366,2021-04-06 09:00:00,0.00035352,0.002093,6233.313,53.47,58895.23,58529.49,58712.36,59078.11,58346.61,59260.98,58163.74,152.22,214.36,-62.13,19.74,20.47,18.61,25.67,420.6847857142857,-11.37,-73.63999999999942,-423.16,-1.53,58804.5,58740.81,292.1100000000006,-439.3899999999994,-45.19000000000233,18.5,-16.53,23.47,-0.7300000000000004,-62.140000000000015,731.5,0,0,57919.5,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,423.215
2,6,138,1617703200000.0,58786.0,58848.0,58540.5,58541.0,341.755,20006679.455,2021-04-06 10:00:00,0.00035352,0.003288,6223.047,48.23,58887.9,58504.18,58696.04,59079.76,58312.31,59271.63,58120.45,120.86,195.66,-74.8,19.0,19.23,17.32,24.11,431.0877857142856,10.4,155.04000000000087,-100.96,-0.58,58764.38,58640.9,538.760000000002,-228.69000000000236,99.90000000000146,223.37999999999735,-21.770000000000003,18.23,-0.2300000000000004,-74.8,767.4500000000044,0,0,57919.5,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,423.215
3,7,139,1617706800000.0,58541.0,58678.0,58479.0,58660.5,277.063,16252654.1115,2021-04-06 11:00:00,0.00035352,0.002334,6407.171,50.77,58889.6,58495.71,58692.65,59086.54,58298.77,59283.49,58101.82,104.44,177.42,-72.97,18.23,19.7,16.36,22.9,398.0488571428571,-33.03,32.150000000001455,21.97,-1.97,58743.22,58650.7,426.0400000000009,-361.7300000000032,-9.80000000000291,82.72000000000116,-19.23,20.770000000000003,-1.4699999999999989,-72.97999999999999,787.7700000000041,0,0,57919.5,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,423.215
4,8,140,1617710400000.0,58660.5,59136.0,58610.0,58615.0,686.981,40267391.315,2021-04-06 12:00:00,0.00035352,0.002953,6482.655,49.77,58887.11,58483.4,58685.26,59088.96,58281.55,59290.82,58079.7,86.76,159.28,-72.52,25.35,17.66,16.47,22.54,427.3742857142857,29.32,70.26000000000204,26.41,8.39,58732.33,58632.85,473.9599999999991,-333.4499999999971,17.849999999998545,117.33000000000176,-20.23,19.770000000000003,7.690000000000001,-72.52,807.4099999999962,0,0,57919.5,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,423.215
5,9,141,1617714000000.0,58615.0,58751.5,58501.0,58555.0,517.156,30282069.58,2021-04-06 13:00:00,0.00035352,0.002723,6406.329,48.41,58882.51,58463.19,58672.85,59092.17,58253.53,59301.83,58043.87,67.13,140.85,-73.72,24.07,18.96,16.14,22.41,435.4557857142857,8.08,117.84999999999854,33.65,4.53,58695.72,58593.92,537.1699999999983,-301.4700000000012,38.919999999998254,140.72000000000116,-21.590000000000003,18.41,5.109999999999999,-73.72,838.6399999999994,0,0,57919.5,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,423.215
6,10,142,1617717600000.0,58555.0,58555.5,57580.0,58041.0,1945.939,112944245.499,2021-04-06 14:00:00,0.00035352,0.002766,6570.287,38.71,58883.2,58342.15,58612.67,59153.73,58071.62,59424.25,57801.1,9.98,114.68,-104.69,19.87,32.12,16.67,22.14,518.5767857142857,83.12,571.6699999999983,246.68,-18.63,58596.38,58317.46,1112.7300000000032,30.62000000000262,276.4599999999991,555.3799999999974,-31.29,8.71,-12.249999999999996,-104.7,1082.1100000000006,EnterPreparationState,lower,57919.5,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,423.215
7,11,143,1617721200000.0,58041.0,58110.0,57734.5,57919.5,592.671,34327207.9845,2021-04-06 15:00:00,0.00035352,0.002298,6689.501,36.83,58869.1,58224.22,58546.66,59191.53,57901.78,59513.97,57579.34,-44.59,82.82,-127.42,18.53,29.95,17.16,21.74,509.8632142857143,-8.71,627.1600000000035,269.2,-3.37,58489.5,58118.48,1272.0299999999988,-17.720000000001164,198.9800000000032,570.0,-33.17,6.829999999999998,-11.419999999999998,-127.41,1289.75,PositionState,lower,57919.5,58271.0,0.0,-351.5,330.0,-367.5,-84.66666666666667,0,96.13000000000466,423.215
8,24,156,1617768000000.0,57929.5,57980.0,57375.0,57699.0,563.209,32496596.091,2021-04-07 04:00:00,0.00190543,0.002168,6520.566,38.92,58430.32,57752.4,58091.36,58769.28,57413.44,59108.24,57074.47,-205.21,-158.96,-46.25,16.45,33.56,23.82,20.49,386.2275714285714,-98.76,392.3600000000006,-32.16,-3.16,57876.83,57773.7,1070.2799999999988,-285.5599999999977,74.69999999999709,177.83000000000175,-31.08,8.920000000000002,-17.110000000000003,-46.25,1355.8399999999965,PositionState,lower,56399.5,58271.0,220.5,0.0,0.0,0.0,0.0,0,0.0,1314.536
9,25,157,1617771600000.0,57699.0,58280.0,57629.0,58271.0,462.093,26926621.203,2021-04-07 05:00:00,0.00190543,0.001209,6537.032,51.99,58416.22,57800.71,58108.47,58723.98,57492.96,59031.73,57185.2,-164.5,-160.07,-4.43,19.83,29.73,23.55,20.38,376.90057142857137,-9.32,-162.52999999999884,-162.13,5.14,57878.83,58022.35,452.9800000000032,-778.0400000000009,-248.65000000000143,-392.1699999999983,-18.009999999999998,21.99,-9.900000000000002,-4.430000000000007,1231.020000000004,IdleState,lower,56399.5,58271.0,-351.5,0.0,0.0,0.0,0.0,0,0.0,1314.536
