,Unnamed: 0,start_at,open,high,low,close,volume,turnover,date,funding_rate,p_close,oi,rsi,upper1,lower1,middle,upper2,lower2,upper3,lower3,macd,macdsignal,macdhist,p_di,m_di,adx,adxr,volume_ma,volume_ma_diff,middle_diff,band_diff,di_diff,sma,ema,upper_diff,lower_diff,ema_diff,sma_diff,rsi_sell,rsi_buy,dmi_diff,macd_diff,bol_diff,state,bb_direction,entry_price,exit_price,current_profit,bb_profit,profit_max,profit_min,profit_mean,prediction,profit_ma
79,211,1617966000000.0,58615.0,58861.0,58465.5,58484.5,597.375,34937178.1875,2021-04-09 11:00:00,0.0001,-0.000226,6393.402,62.67,58164.5,57664.71,57914.6,58414.39,57414.82,58664.29,57164.92,259.47,239.51,19.95,34.42,13.32,24.33,23.64,394.4485714285715,21.24,-569.9000000000015,288.99,15.1,58090.77,58365.59,-70.11000000000058,-1069.6800000000003,-118.91000000000349,-393.7300000000032,-7.329999999999998,32.67,21.1,19.960000000000036,999.5699999999997,PositionState,upper,58484.5,58086.0,0.0,-398.5,35.5,-398.5,-139.25,0,-140.04999999999563
96,228,1618027200000.0,59198.0,61671.5,59198.0,61200.0,3130.599,191592658.8,2021-04-10 04:00:00,0.0001,0.002605,6313.842,84.63,59267.69,57926.82,58597.26,59938.12,57256.39,60608.55,56585.96,409.48,219.69,189.79,59.17,10.54,21.9,23.29,561.7428571428571,183.93,-2602.739999999998,1737.84,37.83,58716.22,60012.88,-1261.8799999999974,-3943.6100000000006,-1187.1200000000026,-2483.779999999999,14.629999999999995,54.629999999999995,48.63,189.79000000000002,2681.730000000003,PositionState,upper,61200.0,59670.0,0.0,-1530.0,0.0,-1530.0,-678.34375,0,-65.62999999999738
144,276,1618200000000.0,60321.0,60623.0,60128.5,60146.0,586.118,35252653.228,2021-04-12 04:00:00,0.00121195,0.001707,6442.654,54.91,60119.69,59709.47,59914.58,60324.8,59504.36,60529.9,59299.26,73.55,40.35,33.19,29.57,11.53,19.78,16.47,363.03235714285717,19.35,-231.41999999999825,135.58,7.49,59958.5,60113.16,178.8000000000029,-641.6399999999994,-32.83999999999651,-187.5,-15.090000000000003,24.909999999999997,18.04,33.199999999999996,820.4400000000023,PositionState,upper,60146.0,60100.0,0.0,-46.0,626.0,-46.0,312.4166666666667,0,282.36999999999534
173,305,1618304400000.0,62721.5,63378.0,62348.0,62990.5,1245.485,78453722.8925,2021-04-13 09:00:00,0.00129501,0.001502,6798.204,80.47,61713.39,60054.55,60883.97,62542.8,59225.14,63372.22,58395.72,491.59,235.47,256.12,46.49,7.41,28.64,22.42,723.6079285714285,75.04,-2106.529999999999,1621.02,16.38,61204.5,62392.42,-447.6999999999971,-3765.3600000000006,-598.0800000000017,-1786.0,10.469999999999999,50.47,39.08,256.12,3317.6600000000035,PositionState,upper,62990.5,63207.5,0.0,217.0,1669.0,-228.5,552.3166666666667,0,1237.1800000000003
232,364,1618516800000.0,63440.5,63625.0,63301.5,63429.0,362.205,22974300.945,2021-04-15 20:00:00,0.00086139,0.00201,6572.063,59.51,63192.88,62653.56,62923.22,63462.54,62383.9,63732.2,62114.24,24.25,-62.27,86.53,26.56,17.29,15.91,18.73,524.1139999999999,2.96,-505.77999999999884,291.08,7.71,62917.83,63263.53,33.54000000000087,-1045.0999999999985,-165.47000000000116,-511.16999999999825,-10.490000000000002,29.509999999999998,9.27,86.52000000000001,1078.6399999999994,PositionState,upper,63429.0,62925.0,0.0,-504.0,43.0,-504.0,-133.07142857142858,0,-162.95999999999913
478,610,1619402400000.0,51882.5,52468.0,51678.0,51928.0,1570.123,81533347.14399998,2021-04-26 02:00:00,0.0001,0.000126,6359.476,65.1,50989.12,48943.78,49966.45,52011.79,47921.12,53034.46,46898.45,185.38,-95.54,280.92,36.32,22.2,23.15,22.77,1313.9482142857144,66.06,-1961.550000000003,1018.5,8.78,49680.0,51382.15,83.79000000000087,-4006.8799999999974,-545.8499999999985,-2248.0,-4.900000000000006,35.099999999999994,14.120000000000001,280.92,4090.6699999999983,PositionState,upper,51928.0,54618.0,0.0,2690.0,3549.0,0.0,2112.6826923076924,0,3398.949999999997
586,718,1619791200000.0,55875.5,56270.0,55690.0,55865.0,1789.088,99947401.12,2021-04-30 14:00:00,0.00028751,-0.000971,5682.239,73.82,55164.11,53580.95,54372.53,55955.69,52789.37,56747.27,51997.79,362.72,127.97,234.75,37.88,12.9,22.55,25.47,659.8974285714286,67.71,-1492.4700000000012,782.05,14.73,54700.55,55515.27,90.69000000000233,-3075.6299999999974,-349.7300000000032,-1164.449999999997,3.819999999999993,43.81999999999999,24.980000000000004,234.75000000000003,3166.3199999999997,PositionState,upper,55865.0,57480.5,0.0,1615.5,2525.0,0.0,1632.75,0,2080.9000000000015
646,778,1620007200000.0,58037.5,58249.5,57925.5,58082.5,648.331,37656685.3075,2021-05-03 02:00:00,0.00047935,0.000698,5302.84,65.55,57552.56,56670.0,57111.28,57993.83,56228.72,58435.11,55787.45,112.4,-40.88,153.28,34.04,17.76,21.6,21.28,494.3021428571428,-7.87,-971.2200000000012,721.44,6.3,57116.55,57806.41,-88.66999999999825,-1853.7799999999988,-276.0899999999965,-965.9499999999971,-4.450000000000003,35.55,16.279999999999998,153.28,1765.1100000000006,PositionState,upper,58082.5,57792.5,0.0,-290.0,718.0,-290.0,215.04166666666666,0,400.2699999999968
707,839,1620226800000.0,56899.5,57633.5,56845.5,57514.0,1732.037,99616376.018,2021-05-05 15:00:00,0.000497,-0.000869,5064.624,68.4,56490.65,54632.93,55561.79,57419.5,53704.07,58348.36,52775.22,314.89,-26.98,341.87,30.44,14.66,26.67,33.32,801.7503571428572,76.88,-1952.2099999999991,1141.59,9.97,55851.94,56939.72,-94.5,-3809.9300000000003,-574.2799999999988,-1662.0599999999977,-1.5999999999999943,38.400000000000006,15.780000000000001,341.87,3715.4300000000003,PositionState,upper,57514.0,56676.0,0.0,-838.0,0.0,-838.0,-392.5625,0,-52.01000000000204
726,858,1620295200000.0,57303.0,58396.0,57198.5,58050.5,1319.237,76582367.4685,2021-05-06 10:00:00,0.00022172,0.000969,4715.376,66.13,57228.06,56621.55,56924.81,57531.32,56318.29,57834.58,56015.04,370.51,365.21,5.3,31.56,12.37,25.09,26.14,529.1757857142858,59.4,-1125.6900000000023,217.98,10.38,57122.38,57584.45,-519.1800000000003,-1732.2099999999991,-466.0500000000029,-928.1200000000026,-3.8700000000000045,36.129999999999995,19.189999999999998,5.300000000000011,1213.0299999999988,PositionState,upper,58050.5,56805.5,0.0,-1245.0,0.0,-1245.0,-562.8571428571429,0,-532.6699999999983
