,Unnamed: 0,start_at,open,high,low,close,volume,turnover,date,funding_rate,p_close,oi,rsi,upper1,lower1,middle,upper2,lower2,upper3,lower3,macd,macdsignal,macdhist,p_di,m_di,adx,adxr,volume_ma,volume_ma_diff,middle_diff,band_diff,di_diff,sma,ema,upper_diff,lower_diff,ema_diff,sma_diff,rsi_sell,rsi_buy,dmi_diff,macd_diff,state,bb_direction,entry_price,exit_price,current_profit,bb_profit,profit_max,profit_min,profit_mean,prediction
85,217,1641747600000.0,42118.0,42200.0,41859.0,42086.5,2575.111,108278239.474,2022-01-09 17:00:00,0.0001,-9.6e-05,16992.941,57.07,41944.75,41574.88,41759.82,42129.69,41389.95,42314.62,41205.02,31.85,-8.64,40.5,21.64,22.78,13.24,16.17,1782.8677857142854,77.24,-326.6800000000003,-18.35,8.3,41737.83,41975.14,43.19000000000233,-696.5500000000029,-111.36000000000058,-348.66999999999825,-12.93,27.07,-1.1400000000000006,40.49,PositionState,upper,42086.5,41856.0,0.0,-230.5,596.5,-230.5,123.71428571428571,0
133,265,1641920400000.0,42671.0,43100.0,42280.0,42539.0,6539.983,278878340.3005,2022-01-11 17:00:00,8.221e-05,-0.000322,18368.65199999,60.95,42255.51,41649.61,41952.56,42558.45,41346.66,42861.4,41043.72,115.87,63.14,52.73,26.56,13.52,14.84,16.31,3372.294071428572,384.44,-586.4400000000023,291.58,8.09,41942.0,42364.91,19.44999999999709,-1192.3399999999965,-174.0899999999965,-597.0,-9.049999999999997,30.950000000000003,13.04,52.730000000000004,PositionState,upper,42539.0,43197.5,0.0,658.5,1583.0,-11.0,746.3510638297872,0
228,360,1642262400000.0,43363.5,43391.5,43205.0,43313.0,1602.215,69370581.892,2022-01-15 16:00:00,0.0001,-0.0005,18407.121,58.61,43194.33,42892.97,43043.65,43345.01,42742.29,43495.69,42591.61,67.82,41.19,26.62,26.49,18.49,18.71,22.37,1642.6024285714288,62.6,-269.34999999999854,118.27,-0.15,43065.05,43252.48,32.01000000000204,-570.7099999999991,-60.5199999999968,-247.9499999999971,-11.39,28.61,8.0,26.629999999999995,PositionState,upper,43313.0,43083.0,0.0,-230.0,162.0,-230.0,3.1875,0
346,478,1642687200000.0,42360.0,43030.0,42359.5,42940.0,8692.827,371023311.1895,2022-01-20 14:00:00,0.0001,-0.000774,20994.677,70.58,42367.6,41823.66,42095.63,42639.57,41551.69,42911.53,41279.73,132.49,48.89,83.6,37.56,14.01,14.4,13.7,2046.3523571428575,522.48,-844.3700000000026,514.62,18.68,42181.33,42576.18,-300.4300000000003,-1388.3099999999977,-363.8199999999997,-758.6699999999983,0.5799999999999983,40.58,23.550000000000004,83.60000000000001,PositionState,upper,42940.0,41322.5,0.0,-1617.5,313.5,-1617.5,-161.0,0
428,560,1642982400000.0,36234.5,36235.0,35740.0,35824.0,3111.965,111783055.971,2022-01-24 00:00:00,6.391e-05,-0.000403,17402.20599999,54.16,35835.42,35127.82,35481.62,36189.23,34774.01,36543.03,34420.21,-0.16,-89.92,89.76,26.85,17.3,24.17,29.71,3342.8560000000007,-4.17,-342.3799999999974,157.97,11.15,35377.5,35808.94,365.2300000000032,-1049.989999999998,-15.059999999997672,-446.5,-15.840000000000003,24.159999999999997,9.55,89.76,PositionState,upper,35824.0,35180.0,0.0,-644.0,0.0,-644.0,-276.3333333333333,0
449,581,1643058000000.0,37205.5,37210.0,36725.5,36799.5,3807.406,140530680.5325,2022-01-24 21:00:00,0.0001,-0.000472,15754.633,63.85,36343.82,34103.89,35223.86,37463.79,32983.93,38583.76,31863.96,277.76,-90.45,368.21,32.23,12.21,25.06,20.33,10162.901571428572,44.83,-1575.6399999999994,763.27,5.9,35227.83,36639.65,664.2900000000009,-3815.5699999999997,-159.84999999999854,-1571.6699999999983,-6.149999999999999,33.85,20.019999999999996,368.21,PositionState,upper,36799.5,37549.5,0.0,750.0,1452.5,-949.5,168.17021276595744,0
545,677,1643403600000.0,37723.5,37964.0,37634.0,37760.0,2335.893,88291344.78149998,2022-01-28 21:00:00,-8.549e-05,-0.000872,17020.559,63.83,37379.12,36620.1,36999.61,37758.63,36240.59,38138.14,35861.07,197.29,95.16,102.12,27.91,12.84,15.13,14.33,3445.9153571428574,-77.56,-760.3899999999994,375.75,8.77,37155.72,37581.89,-1.3700000000026193,-1519.4100000000035,-178.11000000000058,-604.2799999999988,-6.170000000000002,33.83,15.07,102.13,PositionState,upper,37760.0,37595.5,0.0,-164.5,335.0,-245.0,-38.888888888888886,0
569,701,1643490000000.0,38305.0,38769.0,38242.5,38322.0,3409.153,131216360.955,2022-01-29 21:00:00,4.215e-05,-0.000885,18726.326,66.26,37978.31,37537.71,37758.01,38198.61,37317.41,38418.9,37097.12,198.74,172.34,26.39,33.67,11.19,25.81,25.3,2526.7638571428574,127.31,-563.989999999998,301.18,10.04,37844.33,38176.17,-123.38999999999942,-1004.5899999999965,-145.83000000000175,-477.66999999999825,-3.739999999999995,36.260000000000005,22.480000000000004,26.400000000000006,PositionState,upper,38322.0,37806.5,0.0,-515.5,0.0,-515.5,-223.375,0
613,745,1643648400000.0,38278.5,38617.0,38080.0,38426.5,6066.399,232687425.609,2022-01-31 17:00:00,-6.998e-05,-0.00137,19684.898,69.85,37971.89,37056.08,37513.98,38429.8,36598.17,38887.71,36140.26,84.01,-80.36,164.37,33.92,15.84,22.61,22.75,2942.8126428571436,349.77,-912.5199999999968,480.49,9.91,37533.61,38155.84,3.3000000000029104,-1828.3300000000017,-270.6600000000035,-892.8899999999994,-0.15000000000000568,39.849999999999994,18.080000000000002,164.37,PositionState,upper,38426.5,38356.0,0.0,-70.5,669.0,-202.0,50.24074074074074,0
699,831,1643958000000.0,37939.5,38160.0,37810.0,37819.5,3893.99,147794755.9105,2022-02-04 07:00:00,-0.00016891,-0.000753,20640.93999999,63.98,37633.64,36788.35,37210.99,38056.28,36365.71,38478.93,35943.06,152.12,12.69,139.42,36.55,13.72,28.63,32.84,2332.6689285714288,96.29,-608.510000000002,342.05,6.97,37410.5,37741.19,236.77999999999884,-1453.7900000000009,-78.30999999999767,-409.0,-6.020000000000003,33.98,22.83,139.43,PositionState,upper,37819.5,37421.5,0.0,-398.0,175.0,-398.0,6.928571428571429,0
