,Unnamed: 0.1,Unnamed: 0,start_at,open,high,low,close,volume,turnover,date,funding_rate,oi,rsi,upper1,lower1,middle,upper2,lower2,upper3,lower3,macd,macdsignal,macdhist,p_di,m_di,adx,adxr,volume_ma,volume_ma_diff,middle_diff,band_diff,di_diff,sma,ema,upper_diff,lower_diff,ema_diff,sma_diff,rsi_sell,rsi_buy,dmi_diff,macd_diff,state,bb_direction,entry_price,exit_price,current_profit,bb_profit,profit_max,profit_min,profit_mean,prediction,entry_volume
0,78,210,1641722400000.0,41518.5,41727.0,41434.5,41639.5,1923.248,79942860.9145,2022-01-09 10:00:00,0.0001,17079.539,47.98,42112.48,41308.05,41710.26,42514.69,40905.84,42916.9,40503.62,-19.04,-25.76,6.71,15.95,23.23,15.59,22.65,1870.4472142857144,-31.74,70.76000000000204,-35.94,-1.63,41806.94,41637.25,875.1900000000023,-733.6600000000035,-2.25,167.44000000000233,-22.020000000000003,17.979999999999997,-7.280000000000001,6.720000000000002,,,42086.5,0.0,0.0,0.0,0.0,0.0,0.0,0,1778.638
1,79,211,1641726000000.0,41639.5,42000.0,41639.5,41844.0,2155.49,90166308.9525,2022-01-09 11:00:00,0.0001,17159.324,52.16,42129.29,41316.71,41723.0,42535.58,40910.42,42941.87,40504.13,-6.92,-21.99,15.06,20.19,21.59,14.72,21.24,1696.2952857142857,-174.15,-121.0,6.2,4.91,41778.77,41740.62,691.5800000000017,-933.5800000000016,-103.37999999999738,-65.2300000000032,-17.840000000000003,22.16,-1.3999999999999986,15.07,,,42086.5,0.0,0.0,0.0,0.0,0.0,0.0,0,1778.638
2,80,212,1641729600000.0,41844.0,41908.5,41680.0,41750.5,1129.271,47180351.8725,2022-01-09 12:00:00,0.0001,17173.663,50.18,42129.32,41321.92,41725.62,42533.01,40918.23,42936.71,40514.53,-4.81,-18.56,13.74,19.26,20.59,13.91,19.85,1534.7578571428571,-161.53,-24.87999999999738,10.5,4.31,41768.27,41745.56,782.510000000002,-832.2699999999968,-4.940000000002328,17.7699999999968,-19.82,20.18,-1.3299999999999983,13.75,,,42086.5,0.0,0.0,0.0,0.0,0.0,0.0,0,1778.638
3,81,213,1641733200000.0,41750.5,41880.0,41500.0,41500.0,2110.87,87917420.434,2022-01-09 13:00:00,0.0001,17181.858,45.21,42068.96,41339.3,41704.13,42433.79,40974.47,42798.63,40609.64,-23.08,-19.46,-3.62,17.78,22.63,13.77,19.17,1556.9670714285712,22.2,204.12999999999735,-158.02,-4.44,41705.38,41622.78,933.7900000000008,-525.5299999999988,122.77999999999884,205.37999999999735,-24.79,15.21,-4.849999999999998,-3.619999999999997,,,42086.5,0.0,0.0,0.0,0.0,0.0,0.0,0,1778.638
4,82,214,1641736800000.0,41500.0,41736.0,41500.0,41551.5,1283.281,53386651.6495,2022-01-09 14:00:00,0.0001,17129.197,46.38,41983.18,41396.01,41689.59,42276.77,41102.42,42570.35,40808.83,-33.03,-22.18,-10.85,16.92,21.53,13.64,18.41,1476.559357142857,-80.4,138.0899999999965,-384.19,-1.24,41681.72,41587.14,725.2699999999968,-449.08000000000175,35.63999999999942,130.22000000000116,-23.62,16.380000000000003,-4.609999999999999,-10.85,,,42086.5,0.0,0.0,0.0,0.0,0.0,0.0,0,1778.638
5,83,215,1641740400000.0,41551.5,41682.0,41076.0,41632.0,3792.265,157215573.793,2022-01-09 15:00:00,0.0001,17255.613,48.25,41911.22,41457.0,41684.11,42138.33,41229.89,42365.43,41002.78,-34.02,-24.54,-9.47,14.91,27.27,14.76,18.24,1639.6482857142855,163.08,52.11000000000058,-422.93,-8.61,41657.0,41609.57,506.33000000000175,-402.1100000000006,-22.43000000000029,25.0,-21.75,18.25,-12.36,-9.480000000000004,,,42086.5,0.0,0.0,0.0,0.0,0.0,0.0,0,1778.638
6,84,216,1641744000000.0,41632.0,42145.0,41576.0,42118.0,2802.493,117382213.7725,2022-01-09 16:00:00,0.0001,17167.50999999,57.81,41898.03,41552.83,41725.43,42070.63,41380.23,42243.23,41207.63,4.35,-18.76,23.12,22.02,24.35,14.06,17.21,1705.6264285714285,65.97,-392.5699999999997,-356.48,8.01,41691.16,41863.78,-47.37000000000262,-737.7699999999968,-254.2200000000012,-426.8399999999965,-12.189999999999998,27.81,-2.330000000000002,23.11,EnterPreparationState,upper,42086.5,0.0,0.0,0.0,0.0,0.0,0.0,0,1778.638
7,85,217,1641747600000.0,42118.0,42200.0,41859.0,42086.5,2575.111,108278239.474,2022-01-09 17:00:00,0.0001,16992.941,57.07,41944.75,41574.88,41759.82,42129.69,41389.95,42314.62,41205.02,31.85,-8.64,40.5,21.64,22.78,13.24,16.17,1782.8677857142854,77.24,-326.6800000000003,-18.35,8.3,41737.83,41975.14,43.19000000000233,-696.5500000000029,-111.36000000000058,-348.66999999999825,-12.93,27.07,-1.1400000000000006,40.49,PositionState,upper,42086.5,41856.0,0.0,-230.5,596.5,-230.5,123.71428571428572,0,1778.638
8,126,258,1641895200000.0,41956.0,42044.0,41589.0,41615.5,2347.363,98078155.96,2022-01-11 10:00:00,0.0001,18423.089,45.9,42206.78,41510.32,41858.55,42555.02,41162.08,42903.25,40813.85,76.61,79.0,-2.38,19.92,17.15,14.66,18.51,1878.854142857143,22.93,243.0500000000029,-334.9,-5.63,42065.33,41810.69,939.5199999999968,-453.4199999999983,195.19000000000236,449.83000000000175,-24.1,15.9,2.770000000000003,-2.390000000000001,,,42539.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2720.843
9,127,259,1641898800000.0,41615.5,41929.0,41600.0,41821.5,2085.531,87129556.583,2022-01-11 11:00:00,0.0001,18217.222,49.83,42149.92,41560.12,41855.02,42444.82,41265.22,42739.71,40970.33,63.83,75.96,-12.13,18.86,16.24,14.15,18.31,1900.9502857142857,22.09,33.5199999999968,-363.23,-1.69,42027.77,41816.09,623.3199999999997,-556.2799999999988,-5.4100000000034925,206.2699999999968,-20.17,19.83,2.620000000000001,-12.129999999999995,,,42539.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2720.843
