,Unnamed: 0,start_at,open,high,low,close,volume,turnover,date,funding_rate,p_close,oi,rsi,upper1,lower1,middle,upper2,lower2,upper3,lower3,macd,macdsignal,macdhist,p_di,m_di,adx,adxr,volume_ma,volume_ma_diff,middle_diff,band_diff,di_diff,sma,ema,state,bb_direction,enter_price,exit_price,current_profit,bb_profit,profit_max,profit_min,profit_mean,profit_ma
135,267,1641927600000.0,42700.0,43163.0,42577.5,42939.5,2500.396,107092468.8475,2022-01-11 19:00:00,8.221e-05,-0.000492,17900.83099999,65.93,42491.64,41730.27,42110.96,42872.33,41349.59,43253.02,40968.9,212.87,108.68,104.19,26.16,11.53,17.72,16.58,3473.798285714286,72.37,87.22,328.99,0.58,42171.77,42735.97,PositionState,upper,42939.5,43197.5,0.0,258.0,1182.5,-411.5,375.44444444444446,848.7200000000012
346,478,1642687200000.0,42360.0,43030.0,42359.5,42940.0,8692.827,371023311.1895,2022-01-20 14:00:00,0.0001,-0.000774,20994.677,70.58,42367.6,41823.66,42095.63,42639.57,41551.69,42911.53,41279.73,132.49,48.89,83.6,37.56,14.01,14.4,13.7,2046.3523571428575,522.48,88.87,514.62,18.68,42181.33,42576.18,PositionState,upper,42940.0,41322.5,0.0,-1617.5,313.5,-1617.5,-161.0,-500.8199999999997
469,601,1643130000000.0,36793.5,37400.0,36763.0,37229.0,5134.528,190864384.49,2022-01-25 17:00:00,0.0001,-0.001151,16970.923,65.81,36603.82,35970.24,36287.03,36920.61,35653.44,37237.4,35336.65,341.97,297.87,44.1,31.87,13.05,27.27,26.19,3880.702285714286,246.84,99.15,170.69,4.94,36551.27,36921.6,PositionState,upper,37229.0,37549.5,0.0,320.5,1023.0,-683.5,221.11111111111111,861.25
545,677,1643403600000.0,37723.5,37964.0,37634.0,37760.0,2335.893,88291344.78149998,2022-01-28 21:00:00,-8.549e-05,-0.000872,17020.559,63.83,37379.12,36620.1,36999.61,37758.63,36240.59,38138.14,35861.07,197.29,95.16,102.12,27.91,12.84,15.13,14.33,3445.9153571428574,-77.56,80.04,375.75,8.77,37155.72,37581.89,PositionState,upper,37760.0,37595.5,0.0,-164.5,335.0,-245.0,-38.888888888888886,183.16999999999825
569,701,1643490000000.0,38305.0,38769.0,38242.5,38322.0,3409.153,131216360.955,2022-01-29 21:00:00,4.215e-05,-0.000885,18726.326,66.26,37978.31,37537.71,37758.01,38198.61,37317.41,38418.9,37097.12,198.74,172.34,26.39,33.67,11.19,25.81,25.3,2526.7638571428574,127.31,59.37,301.18,10.04,37844.33,38176.17,PositionState,upper,38322.0,37806.5,0.0,-515.5,0.0,-515.5,-223.375,-198.8399999999965
633,765,1643720400000.0,38636.5,38932.0,38418.0,38844.0,4216.224,163178669.908,2022-02-01 13:00:00,-0.00059476,-0.000644,19910.559,66.21,38477.34,38190.19,38333.76,38620.91,38046.62,38764.48,37903.04,207.18,203.98,3.2,36.38,12.84,33.77,31.23,2559.9803571428574,233.95,53.7,204.79,5.12,38455.94,38671.09,PositionState,upper,38844.0,38356.0,0.0,-488.0,251.5,-488.0,-164.5,-153.65999999999622
708,840,1643990400000.0,39479.5,40672.0,39451.5,40235.5,12192.224,488881514.423,2022-02-04 16:00:00,-0.00041531,-0.000401,19857.596,78.77,38739.71,37158.82,37949.27,39530.16,36368.37,40320.61,35577.92,499.73,267.49,232.24,47.59,9.69,38.12,32.44,5447.412214285715,737.2,240.65,1166.59,23.91,38290.66,39436.93,PositionState,upper,40235.5,41283.0,0.0,1047.5,1494.5,0.0,1115.5425531914893,2009.6500000000015
767,899,1644202800000.0,42301.5,42900.0,42288.0,42783.0,4813.766,205406434.3365,2022-02-07 03:00:00,-7.551e-05,-0.000742,19858.552,68.47,42184.11,41477.42,41830.77,42537.46,41124.08,42890.8,40770.73,251.52,163.74,87.78,35.11,4.95,43.81,36.26,2934.4363571428576,110.12,100.23,510.76,6.51,41969.88,42460.25,PositionState,upper,42783.0,43830.0,0.0,1047.0,2078.5,-382.5,812.9677419354839,1642.25
958,1090,1644890400000.0,43419.5,43649.0,43356.0,43508.5,3081.441,134002857.6445,2022-02-15 02:00:00,0.0001,-0.001022,18500.687,71.08,42936.52,42170.28,42553.4,43319.64,41787.16,43702.76,41404.03,212.33,94.26,118.06,35.74,17.06,20.08,22.08,3002.994285714286,-131.37,100.54,566.84,13.47,42606.38,43241.13,PositionState,upper,43508.5,43880.5,0.0,372.0,1016.0,-68.5,475.22222222222223,717.8300000000017
1157,1289,1645606800000.0,38644.5,38983.0,38579.0,38843.0,4048.714,157167807.1695,2022-02-23 09:00:00,-0.000165,-0.000425,20398.114,66.91,38321.09,37706.32,38013.71,38628.48,37398.93,38935.87,37091.54,194.51,100.99,93.51,31.47,11.97,22.38,19.97,2982.3537857142865,8.23,87.29,462.19,9.0,38103.88,38591.48,PositionState,upper,38843.0,38069.0,0.0,-774.0,140.5,-774.0,-154.94444444444446,-242.0500000000029
