open,high,low,close,volume,turnover,date,rsi,upper1,lower1,middle,upper2,lower2,upper3,lower3,macd,macdsignal,macdhist,p_di,m_di,adx,adxr,volume_ma,volume_ma_diff,middle_diff,band_diff,di_diff,sma,ema,upper_diff,lower_diff,ema_diff,sma_diff,rsi_sell,rsi_buy,dmi_diff,macd_diff,bol_diff,pandl,state,bb_direction,entry_price,exit_price,current_profit,bb_profit,prediction,profit_ma,entry_type,entry_volume
46697.0,46780.0,46286.0,46500.0,4294.116,199590725.1445,2022-01-03 16:00:00,36.55,47198.05,46799.65,46998.85,47397.25,46600.46,47596.45,46401.26,-90.85,-47.89,-42.96,18.7,28.61,11.55,11.31,1869.4889999999998,221.08,498.84999999999854,152.88,-7.34,46984.66,46746.65,897.25,100.45999999999913,246.65000000000146,484.6600000000035,-33.45,6.549999999999997,-9.91,-42.959999999999994,796.7900000000009,0.0,EntryPreparationState,lower,46500.0,46512.0,0.0,12.0,0,0.0,None,0
47298.0,47475.0,46850.0,46911.0,3910.278,184553404.9465,2022-01-04 15:00:00,55.7,46970.68,46298.93,46634.81,47306.56,45963.05,47642.44,45627.17,63.31,-49.16,112.47,24.15,12.31,17.3,18.23,1966.6589999999999,173.71,-276.1900000000023,294.8,0.72,46715.16,46939.73,395.5599999999977,-947.9499999999971,28.7300000000032,-195.8399999999965,-14.299999999999997,25.700000000000003,11.839999999999998,112.47,1343.5099999999948,0.0,EntryPreparationState,upper,46911.0,46556.5,0.0,-354.5,0,0.0,None,0
45737.0,46691.5,45581.0,46052.0,5352.287,246877978.7155,2022-01-04 19:00:00,41.97,46862.26,46149.88,46506.07,47218.45,45793.7,47574.64,45437.51,-68.48,-26.14,-42.33,14.17,24.77,18.32,19.03,2822.092285714286,308.77,454.0699999999997,41.0,-1.96,46624.72,46226.99,1166.449999999997,-258.3000000000029,174.98999999999796,572.7200000000012,-28.03,11.969999999999999,-10.6,-42.34,1424.75,0.0,EntryPreparationState,lower,46052.0,46408.5,0.0,356.5,0,0.0,None,0
44665.5,44843.5,43500.0,43982.0,11369.48,501940484.5345,2022-01-05 20:00:00,22.67,46662.88,45320.91,45991.89,47333.86,44649.93,48004.84,43978.94,-341.09,-107.94,-233.15,10.01,40.09,20.44,19.89,4459.089571428572,755.84,2009.8899999999994,1132.73,-7.81,45872.27,44923.77,3351.8600000000006,667.9300000000003,941.7699999999968,1890.2699999999968,-47.33,-7.329999999999998,-30.080000000000005,-233.14999999999998,2683.9300000000003,0.0,EntryPreparationState,lower,43982.0,43406.5,0.0,-575.5,0,0.0,None,0
42800.0,43019.0,42800.0,43003.5,1060.635,45531713.293,2022-01-07 01:00:00,41.31,43427.39,43033.13,43230.26,43624.53,42836.0,43821.66,42638.86,-317.11,-414.53,97.41,10.22,27.56,46.11,49.06,1783.8260714285716,-86.78,226.76000000000204,-32.48,-0.07,43132.66,43008.75,621.0299999999988,-167.5,5.25,129.1600000000035,-28.689999999999998,11.310000000000002,-17.339999999999996,97.41999999999996,788.5299999999988,0.0,EntryPreparationState,lower,43003.5,41953.0,0.0,-1050.5,0,0.0,None,0
41349.0,41398.5,40808.0,40845.0,6225.291,256143278.531,2022-01-08 17:00:00,28.44,42024.6,41466.39,41745.5,42303.7,41187.29,42582.8,40908.19,-198.82,-133.36,-65.45,11.9,33.29,26.98,28.97,1961.8585714285714,374.83,900.5,421.61,-7.53,41700.16,41291.93,1458.699999999997,342.2900000000009,446.9300000000003,855.1600000000035,-41.56,-1.5599999999999987,-21.39,-65.45999999999998,1116.4099999999962,0.0,EntryPreparationState,lower,40845.0,41782.0,0.0,937.0,0,0.0,None,0
40968.0,41068.0,40750.0,40791.0,5279.071,215949177.579,2022-01-10 13:00:00,30.76,42120.56,41279.9,41700.23,42540.89,40859.57,42961.22,40439.24,-161.72,-31.4,-130.32,14.96,35.8,13.45,13.04,2192.7404285714288,194.26,909.2300000000032,400.43,-5.71,41629.72,41171.09,1749.8899999999994,68.56999999999971,380.0899999999965,838.7200000000012,-39.239999999999995,0.7600000000000016,-20.839999999999996,-130.32,1681.3199999999997,0.0,EntryPreparationState,lower,40791.0,41899.0,0.0,1108.0,0,0.0,None,0
42830.0,42996.5,42669.0,42726.5,2080.857,89146299.8565,2022-01-13 18:00:00,35.37,43796.6,43113.95,43455.28,44137.93,42772.62,44479.26,42431.3,-47.21,102.32,-149.53,19.32,28.31,33.79,39.38,2992.8070714285714,72.0,728.7799999999988,309.81,-2.21,43466.27,43023.04,1411.4300000000003,46.12000000000262,296.5400000000009,739.7699999999968,-34.63,5.369999999999997,-8.989999999999998,-149.53,1365.3099999999977,0.0,EntryPreparationState,lower,42726.5,42951.5,0.0,225.0,0,0.0,None,0
42696.5,42951.0,42661.5,42909.5,2154.395,92278604.688,2022-01-15 13:00:00,48.56,43078.06,42842.32,42960.19,43195.93,42724.45,43313.8,42606.58,8.16,32.46,-24.3,21.96,24.2,19.29,23.52,1317.526642857143,69.76,50.69000000000233,16.56,-2.94,42990.61,42903.68,286.4300000000003,-185.0500000000029,-5.819999999999709,81.11000000000058,-21.439999999999998,18.560000000000002,-2.2399999999999984,-24.3,471.4800000000032,0.0,EntryPreparationState,lower,42909.5,43154.0,0.0,244.5,0,0.0,None,0
42819.0,43081.0,42750.0,43005.5,1592.682,68400992.496,2022-01-16 20:00:00,47.51,43206.75,42953.59,43080.17,43333.33,42827.01,43459.92,42700.43,-17.34,1.9,-19.25,16.23,27.32,13.85,14.3,1718.6043571428575,45.88,74.66999999999825,2.15,-2.01,43102.83,43000.97,327.83000000000175,-178.48999999999796,-4.529999999998836,97.33000000000175,-22.490000000000002,17.509999999999998,-11.09,-19.24,506.3199999999997,0.0,EntryPreparationState,lower,43005.5,43175.5,0.0,170.0,0,0.0,None,0
42652.5,42790.0,42614.5,42624.5,1756.348,74974569.523,2022-01-17 04:00:00,37.89,43138.35,42776.06,42957.21,43319.49,42594.92,43500.64,42413.78,-87.78,-42.11,-45.66,13.46,28.2,18.67,15.78,1224.1389285714288,-122.88,332.7099999999991,93.09,-1.84,42904.11,42741.17,694.989999999998,-29.580000000001746,116.66999999999825,279.6100000000006,-32.11,7.890000000000001,-14.739999999999998,-45.67,724.5699999999997,0.0,EntryPreparationState,lower,42624.5,42357.0,0.0,-267.5,0,0.0,None,0
40702.0,41111.0,40333.5,40930.5,5603.659,228396289.4195,2022-01-21 00:00:00,33.78,42727.06,41273.13,42000.09,43454.02,40546.17,44180.98,39819.21,-176.71,55.08,-231.79,17.8,38.8,25.85,18.66,5281.578428571428,289.97,1069.5899999999965,255.5,-3.85,42092.83,41191.17,2523.519999999997,-384.33000000000175,260.66999999999825,1162.3300000000017,-36.22,3.780000000000001,-20.999999999999996,-231.79000000000002,2907.8499999999985,0.0,EntryPreparationState,lower,40930.5,35438.5,0.0,-5492.0,0,0.0,None,0
33270.5,34165.0,33022.0,33703.5,13027.003,438226377.4445,2022-01-24 11:00:00,34.46,35555.74,34265.63,34910.68,36200.79,33620.58,36845.85,32975.52,-374.18,-186.96,-187.21,13.82,32.72,18.62,21.59,5438.338571428571,760.7,1207.1800000000003,535.06,-2.39,34687.16,34003.95,2497.290000000001,-82.91999999999825,300.4499999999971,983.6600000000035,-35.54,4.460000000000001,-18.9,-187.22,2580.209999999999,0.0,EntryPreparationState,lower,33703.5,35322.5,0.0,1619.0,0,0.0,None,0
36320.0,36582.0,36250.0,36488.0,2881.053,104833063.2955,2022-01-26 22:00:00,39.03,37874.5,36840.67,37357.58,38391.42,36323.75,38908.34,35806.83,32.46,257.16,-224.7,20.34,23.35,27.17,27.98,5482.147285714286,-33.96,869.5800000000017,125.94,-2.98,37527.61,36810.24,1903.4199999999983,-164.25,322.23999999999796,1039.6100000000006,-30.97,9.030000000000001,-3.0100000000000016,-224.70000000000002,2067.6699999999983,0.0,EntryPreparationState,lower,36488.0,36662.0,0.0,174.0,0,0.0,None,0
