open,high,low,close,volume,turnover,date,rsi,upper1,lower1,middle,upper2,lower2,upper3,lower3,macd,macdsignal,macdhist,p_di,m_di,adx,adxr,volume_ma,volume_ma_diff,middle_diff,band_diff,di_diff,sma,ema,upper_diff,lower_diff,ema_diff,sma_diff,rsi_sell,rsi_buy,dmi_diff,macd_diff,bol_diff,pandl,state,bb_direction,entry_price,exit_price,current_profit,bb_profit,prediction,profit_ma,entry_type,entry_volume
46975.5,47072.5,46810.0,46999.5,1747.871,82017932.0405,2022-01-03 09:00:00,47.39,47276.11,46855.07,47065.59,47486.63,46644.55,47697.15,46434.02,-63.76,-55.98,-7.77,21.06,20.87,8.68,10.87,1039.3779285714286,18.3,66.08999999999651,-6.32,-2.3,46976.88,46991.88,487.1299999999974,-354.9499999999971,-7.620000000002619,-22.62000000000262,-22.61,17.39,0.18999999999999773,-7.780000000000001,842.0799999999945,0.0,None,None,0.0,0.0,0.0,0.0,0,0.0,None,0
46999.5,47239.0,46999.0,47103.0,1960.423,92405660.4635,2022-01-03 10:00:00,50.33,47279.67,46858.63,47069.15,47490.2,46648.11,47700.72,46437.59,-52.71,-55.33,2.61,23.9,19.64,8.76,10.61,1129.8345,90.45,-33.849999999998545,-4.69,2.64,46975.5,47036.33,387.1999999999971,-454.8899999999994,-66.66999999999825,-127.5,-19.67,20.33,4.259999999999998,2.6199999999999974,842.0899999999965,0.0,None,None,0.0,0.0,0.0,0.0,0,0.0,None,0
47103.0,47422.0,47102.5,47367.0,1784.778,84400599.0255,2022-01-03 11:00:00,56.95,47311.11,46883.92,47097.52,47524.7,46670.33,47738.3,46456.74,-22.4,-48.74,26.34,26.5,18.11,9.48,11.12,1209.310857142857,79.47,-269.4800000000032,15.84,6.97,47016.88,47168.59,157.6999999999971,-696.6699999999983,-198.4100000000035,-350.1200000000026,-13.049999999999997,26.950000000000003,8.39,26.340000000000003,854.3699999999953,0.0,None,None,0.0,0.0,0.0,0.0,0,0.0,None,0
47367.0,47576.5,47169.0,47183.0,2538.142,120245451.5435,2022-01-03 12:00:00,51.77,47259.33,46951.99,47105.66,47413.0,46798.32,47566.66,46644.65,-13.07,-41.61,28.53,27.6,16.36,10.63,11.86,1306.649357142857,97.33,-77.33999999999651,-205.18,5.45,47057.05,47174.35,230.0,-384.6800000000003,-8.650000000001455,-125.94999999999709,-18.229999999999997,21.770000000000003,11.240000000000002,28.54,614.6800000000003,0.0,None,None,0.0,0.0,0.0,0.0,0,0.0,None,0
47183.0,47327.0,47125.0,47148.5,1236.972,58432024.308,2022-01-03 13:00:00,50.84,47247.8,46971.68,47109.74,47385.86,46833.61,47523.93,46695.55,-8.36,-34.96,26.59,26.25,16.63,11.47,12.1,1325.2689285714284,18.61,-38.76000000000204,-174.12,-0.51,47090.16,47164.01,237.36000000000058,-314.8899999999994,15.510000000002037,-58.33999999999651,-19.159999999999997,20.840000000000003,9.620000000000001,26.6,552.25,0.0,None,None,0.0,0.0,0.0,0.0,0,0.0,None,0
47148.5,47265.0,46806.0,46888.5,3634.01,170834081.266,2022-01-03 14:00:00,44.35,47231.81,46945.52,47088.67,47374.96,46802.38,47518.1,46659.23,-25.32,-33.03,7.7,23.44,22.29,10.83,11.44,1503.8604285714284,178.59,200.16999999999825,-6.8,-9.82,47070.61,47053.8,486.4599999999991,-86.12000000000262,165.3000000000029,182.11000000000058,-25.65,14.350000000000001,1.1500000000000021,7.710000000000001,572.5800000000017,0.0,None,None,0.0,0.0,0.0,0.0,0,0.0,None,0
46888.5,47009.0,46535.0,46697.0,3089.081,144622620.828,2022-01-03 15:00:00,40.27,47211.52,46891.21,47051.37,47371.68,46731.05,47531.84,46570.89,-53.6,-37.14,-16.45,20.94,26.01,10.83,11.02,1648.3991428571426,144.53,354.3700000000026,57.14,-9.03,47045.77,46911.08,674.6800000000003,34.05000000000291,214.08000000000175,348.7699999999968,-29.729999999999997,10.270000000000003,-5.07,-16.46,640.6299999999974,0.0,IdleState,lower,0.0,0.0,0.0,0.0,0,0.0,None,0
46697.0,46780.0,46286.0,46500.0,4294.116,199590725.1445,2022-01-03 16:00:00,36.55,47198.05,46799.65,46998.85,47397.25,46600.46,47596.45,46401.26,-90.85,-47.89,-42.96,18.7,28.61,11.55,11.31,1869.4889999999998,221.08,498.84999999999854,152.88,-7.34,46984.66,46746.65,897.25,100.45999999999913,246.65000000000146,484.6600000000035,-33.45,6.549999999999997,-9.91,-42.959999999999994,796.7900000000009,0.0,EntryPreparationState,lower,46500.0,46512.0,0.0,12.0,0,0.0,None,0
46706.0,46738.0,46473.0,46649.5,1447.303,67404102.4955,2022-01-04 12:00:00,53.01,46704.19,46277.4,46490.8,46917.59,46064.0,47130.99,45850.61,-54.51,-131.9,77.39,18.58,18.78,14.36,15.99,1487.0859285714287,-42.64,-158.6999999999971,59.11,-3.66,46441.88,46599.68,268.0899999999965,-585.5,-49.81999999999971,-207.62000000000262,-16.990000000000002,23.009999999999998,-0.20000000000000284,77.39000000000001,853.5899999999965,0.0,None,None,0.0,0.0,0.0,0.0,0,0.0,None,0
46649.5,47200.0,46423.0,46932.5,3724.599,174428832.7265,2022-01-04 13:00:00,59.26,46776.39,46289.34,46532.86,47019.91,46045.82,47263.43,45802.29,-14.07,-108.33,94.26,25.01,15.83,14.94,16.38,1654.7286428571429,167.64,-399.6399999999994,153.76,8.22,46530.61,46732.81,87.41000000000349,-886.6800000000003,-199.69000000000233,-401.8899999999994,-10.740000000000002,29.259999999999998,9.180000000000001,94.25999999999999,974.0900000000038,0.0,None,None,0.0,0.0,0.0,0.0,0,0.0,None,0
