,Unnamed: 0.1,Unnamed: 0,start_at,open,high,low,close,volume,turnover,date,funding_rate,p_close,oi,rsi,upper1,lower1,middle,upper2,lower2,upper3,lower3,macd,macdsignal,macdhist,p_di,m_di,adx,adxr,volume_ma,volume_ma_diff,middle_diff,band_diff,di_diff,sma,ema,state,bb_direction,enter_price,exit_price,current_profit,bb_profit,profit_max,profit_min,profit_mean,profit_ma
0,4,136,1672745400000.0,16722.0,16733.5,16707.0,16715.5,872.393,14586567.4065,2023-01-03 11:30:00,0.0001,-0.000428,75932.209,51.3,16734.63,16693.73,16714.18,16755.08,16673.27,16775.53,16652.82,6.29,5.56,0.72,27.05,19.55,21.68,18.66,1225.7612857142856,29.06,0.13,-8.36,-5.11,16721.44,16719.31,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,5,137,1672747200000.0,16715.5,16720.5,16703.5,16716.0,932.167,15578510.8575,2023-01-03 12:00:00,0.0001,-0.000333,76056.516,51.46,16733.28,16695.42,16714.35,16752.22,16676.48,16771.15,16657.55,5.65,5.58,0.07,25.6,19.61,21.08,18.26,1252.796642857143,27.03,0.16,-8.17,-3.91,16720.33,16717.65,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,6,138,1672749000000.0,16716.0,16722.5,16701.0,16706.0,719.788,12028552.421,2023-01-03 12:30:00,0.0001,-0.000239,75980.47199999,48.12,16730.55,16696.56,16713.55,16747.55,16679.56,16764.55,16662.56,4.29,5.32,-1.03,23.86,19.06,20.37,18.35,1174.393285714286,-78.4,-0.79,-10.61,-2.64,16719.88,16711.82,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,7,139,1672750800000.0,16706.0,16730.0,16706.0,16715.0,657.702,10996970.0865,2023-01-03 13:00:00,0.0001,-0.000261,75886.732,51.19,16729.65,16697.74,16713.69,16745.6,16681.79,16761.55,16665.83,3.9,5.04,-1.14,24.42,17.62,20.07,18.88,1005.0204285714286,-169.37,0.13,-8.85,0.25,16720.22,16713.41,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,8,140,1672752600000.0,16715.0,16735.0,16715.0,16724.0,765.664,12804326.049,2023-01-03 13:30:00,0.0001,-0.000366,75924.34299999,54.11,16729.8,16699.55,16714.67,16744.92,16684.42,16760.05,16669.3,4.26,4.88,-0.62,24.45,16.51,20.02,19.27,857.6979285714286,-147.32,0.97,-5.25,1.69,16720.66,16718.7,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,9,141,1672754400000.0,16724.0,16744.0,16722.5,16742.5,1259.598,21080076.059,2023-01-03 14:00:00,0.0001,-5.1e-05,76085.481,59.48,16732.33,16702.31,16717.32,16747.35,16687.3,16762.36,16672.29,5.97,5.1,0.87,25.65,15.38,20.38,19.68,880.1966428571429,22.49,2.65,-1.13,2.35,16721.44,16730.6,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,10,142,1672756200000.0,16742.5,16770.0,16631.0,16658.0,9008.938,150463445.479,2023-01-03 14:30:00,0.0001,-0.000268,76260.829,37.75,16730.73,16692.62,16711.67,16749.78,16673.56,16768.84,16654.51,0.5,4.18,-3.67,17.37,31.66,21.0,20.23,1445.9139285714284,565.71,-5.65,18.59,-23.36,16713.5,16694.3,EnterPreparationState,lower,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,11,143,1672758000000.0,16658.0,16680.0,16616.0,16644.5,5886.371,98012287.978,2023-01-03 15:00:00,0.0001,-2e-06,74819.163,35.52,16729.38,16681.17,16705.27,16753.49,16657.06,16777.59,16632.96,-4.85,2.37,-7.23,14.97,30.52,21.94,20.59,1811.893,365.97,-6.39,22.64,-9.53,16704.83,16669.4,PositionState,lower,16644.5,16669.0,0.0,-24.5,23.0,-35.0,-1.807692307692308,7.6599999999998545
8,85,217,1672891200000.0,16815.0,16825.5,16813.5,16825.5,349.772,5882803.952,2023-01-05 04:00:00,6.612e-05,-0.000389,70642.859,49.08,16858.71,16800.31,16829.51,16887.92,16771.11,16917.12,16741.9,-2.64,0.04,-2.69,23.54,26.48,13.84,19.7,705.4867142857141,-45.6,-0.42,-21.31,1.73,16826.83,16821.7,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,86,218,1672893000000.0,16825.5,16835.0,16823.5,16832.0,308.119,5185714.7915,2023-01-05 04:30:00,6.612e-05,-0.0003,70604.761,50.72,16843.56,16815.93,16829.75,16857.38,16802.11,16871.2,16788.3,-2.02,-0.37,-1.65,25.25,25.71,12.92,18.67,680.7150714285715,-24.77,0.24,-70.75,3.75,16823.66,16826.85,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,87,219,1672894800000.0,16832.0,16841.5,16831.0,16835.5,434.94,7322921.383,2023-01-05 05:00:00,6.612e-05,-0.000332,70670.223,51.63,16843.1,16817.49,16830.29,16855.9,16804.69,16868.7,16791.89,-1.23,-0.54,-0.69,26.26,25.0,12.17,17.6,660.8377857142858,-19.87,0.54,-34.59,3.43,16825.22,16831.17,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
