,Unnamed: 0.1,Unnamed: 0,start_at,open,high,low,close,volume,turnover,date,funding_rate,p_close,oi,rsi,upper1,lower1,middle,upper2,lower2,upper3,lower3,macd,macdsignal,macdhist,p_di,m_di,adx,adxr,volume_ma,volume_ma_diff,middle_diff,band_diff,di_diff,sma,ema,state,bb_direction,enter_price,exit_price,current_profit,bb_profit,profit_max,profit_min,profit_mean,profit_ma
0,29,161,1672790400000.0,16670.0,16671.0,16662.0,16671.0,583.6,9726411.7365,2023-01-04 00:00:00,0.0001,-0.000176,74399.282,50.13,16684.02,16650.07,16667.05,16701.0,16633.1,16717.97,16616.12,-5.32,-9.87,4.55,19.65,22.2,19.88,23.26,827.227357142857,-58.81,0.41,-41.77,-1.23,16666.11,16670.69,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,30,162,1672792200000.0,16671.0,16671.0,16652.0,16656.5,472.682,7873990.923999999,2023-01-04 00:30:00,0.0001,-0.000302,74372.24,45.49,16683.0,16649.08,16666.04,16699.96,16632.13,16716.92,16615.17,-5.59,-9.02,3.42,18.57,23.86,19.35,23.19,759.2367857142857,-67.99,-1.0,-16.93,-3.25,16666.33,16663.59,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,31,163,1672794000000.0,16656.5,16728.5,16656.5,16708.0,2804.104,46842289.8015,2023-01-04 01:00:00,0.0001,-0.000208,74344.736,59.73,16690.59,16649.49,16670.04,16711.15,16628.93,16731.7,16608.38,-1.62,-7.54,5.91,29.73,19.52,19.45,23.29,892.9065714285715,133.66,4.0,13.35,14.42,16671.5,16685.79,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,32,164,1672795800000.0,16708.0,16719.0,16692.0,16698.5,1271.759,21243000.9895,2023-01-04 01:30:00,0.0001,-6.3e-05,74381.032,56.78,16694.73,16650.77,16672.75,16716.71,16628.79,16738.69,16606.81,0.73,-5.88,6.62,27.69,18.18,19.54,23.61,921.6288571428572,28.72,2.7,16.88,10.46,16674.77,16692.14,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,33,165,1672797600000.0,16698.5,16721.0,16698.5,16714.5,709.009,11847888.04,2023-01-04 02:00:00,0.0001,-0.000199,74496.714,60.33,16701.88,16651.56,16676.72,16727.05,16626.4,16752.21,16601.24,3.85,-3.93,7.79,26.6,17.13,19.69,23.62,929.3163571428572,7.68,3.97,18.28,-2.07,16680.61,16703.32,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,34,166,1672799400000.0,16714.5,16748.0,16714.0,16732.0,2286.902,38271841.3595,2023-01-04 02:30:00,0.0001,-0.000261,74545.422,63.83,16709.91,16654.07,16681.99,16737.83,16626.15,16765.75,16598.23,7.65,-1.61,9.27,31.15,15.65,20.65,23.74,1016.6147142857144,87.29,5.27,21.37,4.93,16688.66,16717.66,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,35,167,1672801200000.0,16732.0,16843.5,16732.0,16796.5,10345.16,173836501.1595,2023-01-04 03:00:00,0.0001,-0.000501,74250.19899999,73.21,16731.16,16654.63,16692.89,16769.42,16616.36,16807.69,16578.1,15.68,1.84,13.84,43.85,12.0,23.24,24.71,1653.8505,637.23,10.89,52.15,20.9,16702.44,16757.08,EnterPreparationState,upper,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,36,168,1672803000000.0,16796.5,16869.5,16796.0,16853.5,3825.826,64402157.813,2023-01-04 03:30:00,0.0001,-0.000667,72699.624,78.51,16761.45,16654.93,16708.19,16814.71,16601.67,16867.97,16548.41,26.34,6.74,19.6,42.65,10.3,25.95,25.67,1881.1952857142855,227.34,15.29,91.56,13.19,16722.27,16805.29,PositionState,upper,16853.5,16811.5,0.0,-42.0,21.5,-42.0,-7.2105263157894735,18.889999999999414
8,57,189,1672840800000.0,16823.5,16824.5,16805.0,16816.0,1145.734,19262330.635,2023-01-04 14:00:00,0.0001,-1.5e-05,70866.962,52.39,16835.09,16804.0,16819.55,16850.64,16788.46,16866.18,16772.92,17.8,27.36,-9.56,23.77,18.15,41.96,41.98,1257.5430714285717,-29.49,-0.36,6.45,-5.56,16829.33,16819.71,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,58,190,1672842600000.0,16816.0,16850.0,16797.0,16827.0,3726.483,62720113.692,2023-01-04 14:30:00,0.0001,-0.000295,71020.405,55.43,16836.0,16804.52,16820.26,16851.74,16788.77,16867.48,16773.03,16.42,25.18,-8.75,27.13,15.65,40.88,42.41,1467.5212857142856,209.97,0.7,2.83,4.47,16827.94,16823.35,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
