,start_at,open,high,low,close,volume,turnover,date,funding_rate,p_close,oi,rsi,upper1,lower1,middle,upper2,lower2,upper3,lower3,macd,macdsignal,macdhist,p_di,m_di,adx,adxr,volume_ma,volume_ma_diff,middle_diff,band_diff,di_diff,sma,ema,upper_diff,lower_diff,ema_diff,sma_diff,rsi_sell,rsi_buy,dmi_diff,macd_diff,bol_diff,state,bb_direction,entry_price,exit_price,current_profit,bb_profit,profit_max,profit_min,profit_mean,prediction,profit_ma
65,1688846400.0,30096.3,30147.9,30046.3,30141.6,1753.518,52777291.7585,2023-07-08 20:00:00,8.567e-05,-0.000512,59732.983,43.72,30255.47,30148.54,30202.0,30308.94,30095.07,30362.4,30041.6,-24.26,-17.33,-6.93,17.36,27.21,10.56,11.12,1456.5061428571428,9.38,60.400000000001455,-1.89,-1.85,30184.07,30155.13,167.34000000000015,-46.529999999998836,13.530000000002474,42.470000000001164,-26.28,13.719999999999999,-9.850000000000001,-6.930000000000003,213.86999999999898,PositionState,lower,30141.6,30211.5,0.0,-69.90000000000146,0.0,-69.90000000000146,-32.80000000000049,0,-26.139999999999418
90,1688936400.0,30180.2,30205.8,30122.8,30142.2,1543.271,46561543.5892,2023-07-09 21:00:00,0.0001,-0.000189,61174.078,37.95,30290.28,30203.31,30246.8,30333.77,30159.83,30377.25,30116.34,-9.09,6.4,-15.5,17.15,19.98,16.44,13.79,1888.0620714285712,57.54,104.59999999999854,36.21,-2.15,30252.35,30192.67,191.5699999999997,17.63000000000102,50.469999999997526,110.14999999999782,-32.05,7.950000000000003,-2.830000000000002,-15.49,173.9399999999987,PositionState,lower,30142.2,30171.7,0.0,-29.5,108.20000000000073,-44.89999999999782,25.257142857144053,0,60.93999999999869
161,1689192000.0,30273.8,30333.0,30220.0,30331.7,2978.016,90181172.3546,2023-07-12 20:00:00,4.64e-06,-0.000229,67464.796,38.59,30670.55,30403.18,30536.87,30804.23,30269.5,30937.92,30135.82,-38.04,10.34,-48.39,15.24,26.37,16.83,15.26,7862.834571428571,-72.07,205.16999999999825,70.3,-1.93,30512.77,30382.42,472.52999999999884,-62.20000000000073,50.719999999997526,181.0699999999997,-31.409999999999997,8.590000000000003,-11.13,-48.379999999999995,534.7299999999996,PositionState,lower,30331.7,30561.4,0.0,-229.70000000000073,50.70000000000073,-229.70000000000073,-23.614285714285092,0,-59.17000000000189
207,1689357600.0,30675.8,30750.6,30009.3,30075.8,36647.717,1110926976.996,2023-07-14 18:00:00,0.0001,-0.000522,62107.533,24.83,31348.9,30730.78,31039.84,31657.96,30421.73,31967.02,30112.67,-56.86,67.56,-124.43,14.34,39.94,33.19,38.98,7470.288714285715,2476.05,964.0400000000009,624.55,-19.14,31025.81,30633.48,1582.1599999999999,345.9300000000003,557.6800000000003,950.010000000002,-45.17,-5.170000000000002,-25.599999999999998,-124.42,1236.2299999999996,PositionState,lower,30075.8,30280.7,0.0,-204.90000000000146,0.0,-263.7000000000007,-186.49487179487232,0,381.23999999999796
279,1689616800.0,30015.0,30048.2,29610.0,29781.0,18394.578,548248013.4897,2023-07-17 18:00:00,7.613e-05,-0.000414,67376.57399999,22.68,30278.72,30047.98,30163.35,30394.09,29932.62,30509.46,29817.25,-70.53,-35.81,-34.72,9.1,44.3,35.75,30.28,5067.0185,1274.32,382.34999999999854,193.86,-8.97,30123.34,29978.79,613.0900000000001,151.61999999999898,197.79000000000087,342.34000000000015,-47.32,-7.32,-35.199999999999996,-34.72,461.47000000000116,PositionState,lower,29781.0,30224.7,0.0,-443.7000000000007,0.0,-443.7000000000007,-166.42500000000018,0,-67.14999999999782
439,1690192800.0,29158.2,29371.9,29093.9,29303.2,12693.291,371570578.3624,2023-07-24 10:00:00,5.915e-05,-0.000484,59865.923,31.78,30005.72,29500.51,29753.12,30258.33,29247.91,30510.93,28995.3,-118.33,-45.89,-72.44,10.36,46.3,25.07,21.8,5476.258785714286,734.02,449.91999999999825,220.94,-2.31,29648.57,29438.44,955.130000000001,-55.29000000000087,135.23999999999796,345.369999999999,-38.22,1.7800000000000011,-35.94,-72.44,1010.4200000000019,PositionState,lower,29303.2,29260.0,0.0,43.20000000000073,276.1000000000022,0.0,169.85357142857174,0,263.2599999999984
520,1690484400.0,29128.5,29166.1,29088.2,29145.5,3174.364,92455751.8891,2023-07-27 19:00:00,3.725e-05,-0.000447,66911.493,35.9,29435.62,29211.09,29323.36,29547.88,29098.83,29660.14,28986.57,-35.97,6.33,-42.31,14.99,28.16,32.03,36.64,3329.0340714285717,127.04,177.86000000000058,60.97,-1.34,29305.72,29187.15,402.380000000001,-46.669999999998254,41.650000000001455,160.22000000000116,-34.1,5.899999999999999,-13.17,-42.3,449.0499999999993,PositionState,lower,29145.5,29288.0,0.0,-142.5,20.400000000001455,-142.5,-52.888888888888886,0,-41.659999999999854
596,1690758000.0,29142.4,29279.1,29142.3,29273.1,2301.317,67261854.0521,2023-07-30 23:00:00,6.935e-05,-0.000224,65952.935,49.07,29336.49,29219.81,29278.15,29394.83,29161.47,29453.18,29103.13,-19.13,-7.24,-11.88,16.53,30.17,24.13,18.5,3288.5306428571434,120.91,5.05000000000291,6.65,8.85,29275.97,29231.46,121.7300000000032,-111.62999999999738,-41.63999999999942,2.8700000000026193,-20.93,19.07,-13.64,-11.889999999999999,233.36000000000058,PositionState,lower,29273.1,29444.6,0.0,-171.5,0.0,-171.5,-85.75,0,-85.25
624,1690858800.0,28919.0,28941.6,28800.0,28825.7,7375.973,212939041.9988,2023-08-01 03:00:00,0.0001,-0.000294,68232.14999999,24.95,29337.17,29042.88,29190.02,29484.32,28895.73,29631.47,28748.58,-81.35,-43.15,-38.2,12.0,35.89,21.4,16.98,4792.948928571429,183.72,364.3199999999997,144.77,-3.57,29135.3,28990.06,658.619999999999,70.02999999999884,164.36000000000058,309.59999999999854,-45.05,-5.050000000000001,-23.89,-38.199999999999996,588.5900000000001,PositionState,lower,28825.7,29264.0,0.0,-438.2999999999993,10.0,-438.2999999999993,-93.36874999999941,0,-66.09000000000015
712,1691175600.0,29054.1,29101.3,29000.2,29021.4,3979.37,115594504.4379,2023-08-04 19:00:00,0.0001,-0.000295,67717.215,34.97,29235.05,29119.22,29177.13,29292.97,29061.3,29350.89,29003.38,-21.99,-6.81,-15.17,15.73,33.43,14.9,15.2,3082.2580000000007,187.35,155.72999999999956,62.57,-2.49,29178.32,29100.42,271.5699999999997,39.89999999999782,79.0199999999968,156.91999999999825,-35.03,4.969999999999999,-17.7,-15.18,231.6700000000019,PositionState,lower,29021.4,29063.9,0.0,-42.5,65.80000000000291,-83.39999999999782,-27.24166666666512,0,52.54999999999927
