,Unnamed: 0.1,Unnamed: 0,start_at,open,high,low,close,volume,turnover,date,funding_rate,p_close,oi,rsi,upper1,lower1,middle,upper2,lower2,upper3,lower3,macd,macdsignal,macdhist,p_di,m_di,adx,adxr,volume_ma,volume_ma_diff,middle_diff,band_diff,di_diff,sma,ema,upper_diff,lower_diff,ema_diff,sma_diff,rsi_sell,rsi_buy,dmi_diff,macd_diff,bol_diff,state,bb_direction,entry_price,exit_price,current_profit,bb_profit,profit_max,profit_min,profit_mean,prediction,profit_ma,entry_volume
0,33,163,1694084400000.0,25738.4,25746.3,25673.5,25697.1,2723.064,69982808.3991,2023-09-07 11:00:00,0.0001,-0.00043525,58520.063,45.84,25795.3,25673.64,25734.47,25856.14,25612.81,25916.97,25551.97,2.51,5.77,-3.26,19.04,14.3,32.47,28.55,1253.077,49.88,37.37000000000262,-43.67,-4.03,25756.23,25717.05,159.04000000000087,-84.28999999999724,19.950000000000728,59.13000000000102,-24.16,15.840000000000003,4.739999999999998,-3.26,243.3299999999981,0,0,25889.4,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1720.016
1,34,164,1694088000000.0,25697.1,25706.5,25620.3,25646.8,3250.813,83434048.7565,2023-09-07 12:00:00,0.0001,-0.00051239,58698.577,41.16,25780.99,25671.25,25726.12,25835.86,25616.38,25890.73,25561.52,-4.82,3.65,-8.47,17.56,17.97,30.23,28.27,1350.6912857142856,97.61,79.31999999999971,-45.18,-6.48,25736.75,25681.92,189.0600000000013,-30.419999999998254,35.11999999999898,89.95000000000073,-28.840000000000003,11.159999999999997,-0.4100000000000001,-8.47,219.4799999999996,0,0,25889.4,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1720.016
2,35,165,1694091600000.0,25646.8,25764.0,25613.1,25631.4,4113.568,105632236.432,2023-09-07 13:00:00,0.0001,-0.00053156,58891.774,39.83,25769.89,25664.31,25717.1,25822.68,25611.52,25875.47,25558.73,-11.73,0.57,-12.31,20.18,15.68,28.97,28.34,1564.7239285714288,214.03,85.69999999999709,-28.59,3.43,25717.02,25656.66,191.27999999999884,-19.88000000000102,25.2599999999984,85.61999999999898,-30.17,9.829999999999998,4.5,-12.3,211.15999999999983,0,0,25889.4,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1720.016
3,36,166,1694095200000.0,25631.4,25755.9,25601.7,25755.7,4080.675,104802681.0636,2023-09-07 14:00:00,0.0001,-0.00051445,58612.218,53.09,25767.66,25673.89,25720.78,25814.55,25627.0,25861.44,25580.11,-7.1,-0.96,-6.14,17.7,14.66,27.57,28.21,1809.5742857142857,244.85,-34.92000000000189,-36.79,1.16,25714.68,25706.18,58.84999999999855,-128.70000000000073,-49.52000000000044,-41.02000000000044,-16.909999999999997,23.090000000000003,3.039999999999999,-6.14,187.54999999999927,0,0,25889.4,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1720.016
4,37,167,1694098800000.0,25755.7,25821.5,25724.0,25768.7,5432.051,140014622.6024,2023-09-07 15:00:00,0.0001,-0.00046,59107.138,54.23,25771.15,25679.52,25725.34,25816.97,25633.71,25862.78,25587.9,-2.36,-1.24,-1.11,21.53,13.53,27.23,28.6,2142.828,333.25,-43.36000000000058,-12.41,2.48,25716.22,25737.44,48.27000000000044,-134.9900000000016,-31.26000000000204,-52.47999999999956,-15.770000000000003,24.23,8.000000000000002,-1.12,183.26000000000204,0,0,25889.4,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1720.016
5,38,168,1694102400000.0,25768.7,25971.8,25762.3,25815.0,9460.021,244660431.5155,2023-09-07 16:00:00,2.06e-05,-0.00061557,59297.281,58.12,25780.38,25687.37,25733.88,25826.89,25640.87,25873.4,25594.36,5.07,0.02,5.05,29.14,11.48,28.39,29.92,2754.418071428572,611.59,-81.11999999999898,5.18,13.49,25723.32,25776.22,11.889999999999418,-174.13000000000102,-38.77999999999884,-91.68000000000028,-11.880000000000004,28.12,17.66,5.050000000000001,186.02000000000044,0,0,25889.4,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1720.016
6,39,169,1694106000000.0,25815.0,25953.5,25780.0,25917.2,4746.951,122793919.7931,2023-09-07 17:00:00,2.06e-05,-0.0005797,58071.322,65.16,25810.99,25691.68,25751.34,25870.64,25632.03,25930.29,25572.38,18.99,3.81,15.18,25.67,10.11,29.47,31.17,2962.6812142857148,208.26,-165.86000000000058,62.5,5.51,25743.93,25846.71,-46.56000000000131,-285.1700000000019,-70.4900000000016,-173.27000000000044,-4.840000000000003,35.16,15.560000000000002,15.179999999999998,238.61000000000055,EntryPreparationState,upper,25889.4,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1720.016
7,40,170,1694109600000.0,25917.2,25969.0,25839.0,25889.4,3218.313,83361148.4071,2023-09-07 18:00:00,2.06e-05,-0.00050651,58393.636,62.1,25831.05,25697.92,25764.48,25897.61,25631.36,25964.17,25564.8,27.47,8.54,18.92,24.46,9.22,30.59,32.31,3062.233071428572,99.55,-124.92000000000188,71.38,-3.79,25762.18,25868.05,8.209999999999127,-258.0400000000009,-21.350000000002183,-127.22000000000116,-7.899999999999999,32.1,15.24,18.93,266.25,PositionState,upper,25889.4,26033.4,0.0,144.0,455.6999999999971,-18.90000000000145,281.6999999999982,0,254.10000000000215,1720.016
8,169,299,1694574000000.0,25897.8,25912.0,25822.0,25865.9,1947.163,50367855.8499,2023-09-13 03:00:00,2.247e-05,-0.00025276,61904.329,49.73,26039.17,25775.81,25907.49,26170.85,25644.14,26302.53,25512.46,59.85,97.36,-37.5,28.8,19.14,38.75,39.66,6697.543214285714,-619.63,41.59000000000015,-32.69,-3.62,25955.04,25889.65,304.9499999999971,-221.76000000000204,23.75,89.13999999999942,-20.270000000000003,19.73,9.66,-37.51,526.7099999999991,0,0,26140.6,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,3963.672
9,170,300,1694577600000.0,25865.9,25934.9,25848.9,25910.3,2033.12,52656642.8476,2023-09-13 04:00:00,2.247e-05,-0.00060071,62015.853,51.66,26028.65,25786.87,25907.76,26149.55,25665.97,26270.44,25545.08,53.33,88.56,-35.22,28.72,18.48,37.53,39.47,5866.922214285715,-830.62,-2.540000000000873,-54.05,-0.44,25939.95,25899.97,239.25,-244.3299999999981,-10.329999999998108,29.65000000000145,-18.340000000000003,21.66,10.239999999999998,-35.230000000000004,483.5799999999981,0,0,26140.6,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,3963.672
10,171,301,1694581200000.0,25910.3,25913.3,25833.5,25881.0,2056.286,53208438.0979,2023-09-13 05:00:00,2.247e-05,-0.00069574,62053.6,50.29,26024.97,25785.45,25905.21,26144.73,25665.69,26264.49,25545.94,45.28,79.9,-34.62,27.77,18.51,36.28,39.63,5660.093214285714,-206.82,24.209999999999127,-25.83,-1.06,25920.02,25890.48,263.7299999999996,-215.3100000000013,9.479999999999563,39.02000000000044,-19.71,20.29,9.259999999999998,-34.620000000000005,479.0400000000009,0,0,26140.6,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,3963.672
