,start_at,open,high,low,close,volume,turnover,date,funding_rate,p_close,oi,rsi,upper1,lower1,middle,upper2,lower2,upper3,lower3,macd,macdsignal,macdhist,p_di,m_di,adx,adxr,volume_ma,volume_ma_diff,middle_diff,band_diff,di_diff,sma,ema,upper_diff,lower_diff,ema_diff,sma_diff,rsi_sell,rsi_buy,dmi_diff,macd_diff,bol_diff,bb_direction,state,entry_price,exit_price,current_profit,bb_profit,profit_max,profit_min,profit_mean,profit_ma,entry_volume
0,1696572000.0,27486.9,27505.5,27443.4,27477.5,1491.514,40978491.0084,2023-10-06 06:00:00,5.881e-05,-0.000524,64011.578,44.88,27685.96,27367.01,27526.49,27845.43,27207.54,28004.9,27048.07,-33.9,-33.73,-0.16,18.37,23.93,16.11,19.45,2698.6797142857145,-899.99,48.9900000000016,-21.56,-1.6,27481.11,27491.77,367.9300000000003,-269.9599999999991,14.270000000000437,3.610000000000582,-25.12,14.880000000000004,-5.559999999999999,-0.1700000000000017,637.8899999999994,,,27510.9,,,,,,,,9838.307
1,1696575600.0,27477.5,27640.0,27468.0,27625.4,5053.707,139368194.2454,2023-10-06 07:00:00,5.881e-05,-0.000295,64146.749,55.74,27691.83,27379.98,27535.91,27847.76,27224.05,28003.68,27068.13,-21.73,-31.33,9.59,24.72,21.39,15.47,18.8,2523.4038571428573,-175.27,-89.4900000000016,-26.95,8.11,27503.38,27545.22,222.35999999999692,-401.3500000000022,-80.18000000000029,-122.02000000000044,-14.259999999999998,25.74,3.3299999999999983,9.599999999999998,623.7099999999991,,,27510.9,,,,,,,,9838.307
2,1696579200.0,27625.4,27659.6,27588.3,27599.9,4210.088,116285220.3171,2023-10-06 08:00:00,5.197e-05,-0.000691,63800.032,53.77,27693.77,27390.23,27542.0,27845.54,27238.46,27997.31,27086.69,-13.99,-27.87,13.87,24.84,20.43,15.06,18.29,2470.550857142857,-52.85,-57.900000000001455,-14.29,7.43,27525.9,27567.09,245.63999999999945,-361.4400000000023,-32.81000000000131,-74.0,-16.229999999999997,23.770000000000003,4.41,13.88,607.0800000000017,,,27510.9,,,,,,,,9838.307
3,1696582800.0,27599.9,27692.9,27573.0,27675.3,3709.618,102552780.5345,2023-10-06 09:00:00,5.197e-05,-0.000487,64041.694,58.44,27673.76,27435.63,27554.69,27792.83,27316.56,27911.9,27197.49,-1.75,-22.64,20.89,25.06,18.88,14.99,18.05,2523.9455714285714,53.39,-120.61000000000058,-133.02,1.89,27551.16,27610.37,117.53000000000247,-358.739999999998,-64.93000000000029,-124.13999999999942,-11.560000000000002,28.44,6.18,20.89,476.2700000000005,,,27864.2,,,,,,,,6166.941
4,1696586400.0,27675.3,27788.0,27653.0,27657.0,6604.811,183085134.5612,2023-10-06 10:00:00,5.197e-05,-0.000482,64022.749,56.94,27641.07,27487.8,27564.44,27717.71,27411.17,27794.34,27334.54,6.39,-16.83,23.23,28.88,17.29,15.71,18.15,2794.785642857142,270.84,-92.56000000000132,-222.43,5.62,27568.23,27629.02,60.70999999999913,-245.83000000000172,-27.979999999999563,-88.77000000000044,-13.060000000000002,26.94,11.59,23.22,306.5400000000009,,,27864.2,,,,,,,,6166.941
5,1696590000.0,27657.0,27761.9,27602.3,27748.0,4480.77,123998120.5726,2023-10-06 11:00:00,5.197e-05,-0.000466,64194.843,62.15,27674.64,27489.2,27581.92,27767.36,27396.48,27860.08,27303.76,19.96,-9.47,29.44,26.08,18.69,15.77,18.18,2986.992857142857,192.2,-166.08000000000175,-10.78,-0.38,27592.72,27676.61,19.360000000000586,-351.52000000000044,-71.38999999999942,-155.27999999999884,-7.850000000000001,32.15,7.389999999999997,29.43,370.880000000001,,,27864.2,,,,,,,,6166.941
6,1696593600.0,27748.0,27755.0,27165.4,27231.4,25134.244,689444505.8771,2023-10-06 12:00:00,5.197e-05,-0.000447,64482.006,35.71,27659.21,27437.86,27548.54,27769.89,27327.18,27880.56,27216.51,-10.84,-9.75,-1.08,18.84,34.08,16.7,18.65,4570.103785714286,1583.11,317.1399999999994,121.47,-25.42,27557.65,27498.52,538.489999999998,95.77999999999884,267.119999999999,326.25,-34.29,5.710000000000001,-15.239999999999998,-1.09,442.7099999999991,lower,EntryPreparationState,27864.2,,,,,,,,6166.941
7,1696597200.0,27231.4,27696.2,27132.0,27510.9,24205.726,663591771.8505,2023-10-06 13:00:00,5.197e-05,-0.00055,62714.889,48.48,27655.3,27434.6,27544.95,27765.66,27324.25,27876.01,27213.9,-12.55,-10.31,-2.24,14.65,27.81,17.72,19.13,6227.0902857142855,1656.98,34.04999999999927,1.22,-5.15,27556.92,27503.47,254.7599999999984,-186.65000000000143,-7.430000000000291,46.0199999999968,-21.520000000000003,18.48,-13.159999999999998,-2.24,441.4099999999999,lower,PositionState,27864.2,27655.5,,-144.59999999999854,-144.59999999999854,-144.59999999999854,-144.59999999999854,-60.80999999999767,6166.941
8,1696816800.0,27945.7,27971.5,27906.2,27919.8,1357.404,37915835.6178,2023-10-09 02:00:00,-2.543e-05,-0.000665,65012.079,53.19,27932.64,27848.98,27890.81,27974.47,27807.15,28016.3,27765.32,1.91,-2.32,4.23,19.79,20.32,11.47,13.1,2900.199642857143,-23.68,-28.989999999997963,14.93,2.55,27890.03,27904.94,54.67000000000189,-112.64999999999782,-14.860000000000582,-29.77000000000044,-16.810000000000002,23.19,-0.5300000000000011,4.23,167.3199999999997,,,27530.7,,,,,,,,8968.111
9,1696820400.0,27919.8,27944.8,27898.0,27907.4,905.797,25287366.5436,2023-10-09 03:00:00,-2.543e-05,-0.000516,65178.346,51.83,27934.67,27850.1,27892.39,27976.96,27807.82,28019.24,27765.54,3.0,-1.25,4.26,19.07,20.22,10.86,13.01,2063.868928571429,-836.33,-15.010000000002035,7.29,-1.61,27895.53,27905.92,69.55999999999767,-99.58000000000176,-1.4800000000032014,-11.87000000000262,-18.17,21.83,-1.1499999999999986,4.25,169.13999999999942,,,27530.7,,,,,,,,8968.111
