index,start_at,open,high,low,close,volume,turnover,date,rsi,upper1,lower1,middle,upper2,lower2,upper3,lower3,macd,macdsignal,macdhist,p_di,m_di,adx,adxr,volume_ma,volume_ma_diff,middle_diff,band_diff,di_diff,sma,ema,upper_diff,lower_diff,ema_diff,sma_diff,rsi_sell,rsi_buy,dmi_diff,macd_diff,bol_diff,pandl,state,bb_direction,entry_price,exit_price,current_profit,bb_profit,prediction,profit_ma,entry_type,entry_volume
60,2024-01-03 12:00:00,43736.2,43749.9,40210.0,42797.1,117274.089,4924818214.3729,2024-01-03 12:00:00,24.97,45433.54,44217.77,44825.66,46041.43,43609.88,46649.32,43001.99,-171.63,83.07,-254.7,9.37,57.9,30.02,32.33,13956.594142857144,8000.09,2028.560000000005,1295.08,-32.16,44797.38,43902.2,3244.3300000000017,812.7799999999988,1105.0999999999985,2000.2799999999988,-45.03,-5.030000000000001,-48.53,-254.7,2431.550000000003,0.0,EntryPreparationState,lower,42797.1,43205.0,0.0,407.90000000000146,0,0.0,None,0
169,2024-01-08 01:00:00,43641.9,43819.8,43610.8,43716.0,2339.577,102313934.0445,2024-01-08 01:00:00,42.27,44179.44,43797.46,43988.45,44370.44,43606.46,44561.43,43415.47,-28.89,30.58,-59.48,12.01,25.05,15.38,11.63,4107.581642857146,43.33,272.4499999999971,64.08,-1.08,43994.83,43803.2,654.4400000000023,-109.54000000000087,87.19999999999709,278.83000000000175,-27.729999999999997,12.270000000000003,-13.040000000000001,-59.47,763.9800000000032,0.0,EntryPreparationState,lower,43716.0,43920.3,0.0,204.3000000000029,0,0.0,None,0
229,2024-01-10 13:00:00,44678.0,45448.8,44301.0,45135.9,19471.604,875541083.7517,2024-01-10 13:00:00,40.22,46280.63,45254.76,45767.69,46793.56,44741.83,47306.49,44228.89,-281.02,-161.56,-119.45,4.79,30.57,50.62,43.64,7122.192357142861,1014.55,631.7900000000009,-23.01,2.22,45524.44,45191.24,1657.6599999999962,-394.0699999999997,55.33999999999651,388.5400000000009,-29.78,10.219999999999999,-25.78,-119.45999999999998,2051.729999999996,0.0,EntryPreparationState,lower,45135.9,46426.0,0.0,1290.0999999999985,0,0.0,None,0
279,2024-01-12 15:00:00,45483.1,45501.9,44358.4,44501.5,26650.493,1195698746.8933,2024-01-12 15:00:00,27.62,46316.44,45519.36,45917.9,46714.98,45120.82,47113.53,44722.28,-285.18,-161.4,-123.77,11.75,33.08,15.54,14.12,7285.517071428573,1563.41,1416.4000000000015,553.39,-11.81,45728.81,45237.16,2213.480000000003,619.3199999999997,735.6600000000035,1227.3099999999977,-42.379999999999995,-2.379999999999999,-21.33,-123.78,1594.1600000000035,0.0,EntryPreparationState,lower,44501.5,43016.5,0.0,-1485.0,0,0.0,None,0
333,2024-01-14 21:00:00,42511.3,42603.8,41920.0,42561.8,10905.984,461263978.0705,2024-01-14 21:00:00,38.47,42985.8,42665.39,42825.6,43146.01,42505.19,43306.21,42344.99,-105.1,-90.38,-14.71,9.75,32.24,24.87,27.48,3399.653142857146,605.1,263.79999999999563,45.66,-2.05,42798.67,42641.31,584.2099999999991,-56.61000000000058,79.50999999999476,236.86999999999534,-31.53,8.469999999999999,-22.490000000000002,-14.719999999999999,640.8199999999997,0.0,EntryPreparationState,lower,42561.8,42603.7,0.0,41.89999999999418,0,0.0,None,0
425,2024-01-18 17:00:00,41967.6,42213.5,41459.4,41823.0,18668.676,780980302.9228,2024-01-18 17:00:00,30.95,42779.16,42257.04,42518.1,43040.22,41995.97,43301.29,41734.91,-134.95,-61.1,-73.84,10.74,37.51,25.06,24.73,5424.092571428575,1258.29,695.0999999999985,358.77,-6.05,42433.93,42146.48,1217.2200000000012,172.97000000000116,323.4800000000032,610.9300000000003,-39.05,0.9499999999999993,-26.769999999999996,-73.85,1044.25,0.0,EntryPreparationState,lower,41823.0,41815.1,0.0,-7.900000000001455,0,0.0,None,0
506,2024-01-22 02:00:00,41375.5,41432.1,41263.9,41324.0,2562.267,105931700.1804,2024-01-22 02:00:00,35.5,41740.12,41493.58,41616.85,41863.39,41370.31,41986.66,41247.04,-46.13,-5.0,-41.12,10.55,21.86,13.28,11.51,2337.117785714289,80.44,292.84999999999854,129.55,-1.7,41601.27,41453.3,539.3899999999994,46.30999999999767,129.3000000000029,277.2699999999968,-34.5,5.5,-11.309999999999999,-41.13,493.08000000000175,0.0,EntryPreparationState,lower,41324.0,39471.9,0.0,-1852.0999999999985,0,0.0,None,0
720,2024-01-31 00:00:00,42919.0,43087.0,42812.7,42908.3,6452.111,277088972.9801,2024-01-31 00:00:00,40.37,43434.57,43099.13,43266.85,43602.29,42931.41,43770.01,42763.69,45.99,134.98,-88.98,18.48,23.82,35.35,36.32,6366.41578571429,265.79,358.54999999999563,199.13,-3.34,43323.33,43094.01,693.989999999998,23.110000000000582,185.70999999999913,415.02999999999884,-29.630000000000003,10.369999999999997,-5.34,-88.98999999999998,670.8799999999974,0.0,EntryPreparationState,lower,42908.3,43330.0,0.0,421.6999999999971,0,0.0,None,0
782,2024-02-02 14:00:00,42679.0,42888.9,42588.0,42784.4,5809.787,248287369.7188,2024-02-02 14:00:00,46.5,43053.05,42806.13,42929.59,43176.5,42682.68,43299.96,42559.22,56.69,101.53,-44.84,19.61,22.54,27.28,28.74,3174.404714285717,-10.1,145.18999999999505,37.5,-4.01,43001.57,42871.59,392.09999999999854,-101.72000000000116,87.18999999999505,217.16999999999825,-23.5,16.5,-2.9299999999999997,-44.84,493.8199999999997,0.0,EntryPreparationState,lower,42784.4,43222.7,0.0,438.29999999999563,0,0.0,None,0
821,2024-02-04 05:00:00,42906.7,42945.5,42829.8,42870.1,1272.055,54551125.0397,2024-02-04 05:00:00,38.28,43076.75,42943.9,43010.33,43143.18,42877.47,43209.61,42811.04,-29.16,-9.63,-19.53,12.34,26.24,16.75,15.2,1112.412500000003,-238.34,140.2300000000032,41.77,-3.28,42981.77,42928.74,273.08000000000175,7.370000000002619,58.63999999999942,111.66999999999825,-31.72,8.280000000000001,-13.899999999999999,-19.53,265.7099999999991,0.0,EntryPreparationState,lower,42870.1,43039.3,0.0,169.20000000000437,0,0.0,None,0
