index,start_at,open,high,low,close,volume,turnover,date,rsi,upper1,lower1,middle,upper2,lower2,upper3,lower3,macd,macdsignal,macdhist,p_di,m_di,adx,adxr,volume_ma,volume_ma_diff,middle_diff,band_diff,di_diff,sma,ema,upper_diff,lower_diff,ema_diff,sma_diff,rsi_sell,rsi_buy,dmi_diff,macd_diff,bol_diff,pandl,state,bb_direction,entry_price,exit_price,current_profit,bb_profit,prediction,profit_ma,entry_type,entry_volume
19,2024-01-01 19:00:00,43153.8,43604.0,43140.7,43570.1,6668.097,289415040.1985,2024-01-01 19:00:00,75.23,43054.17,42505.38,42779.78,43328.57,42230.98,43602.96,41956.59,171.95,95.16,76.79,37.43,10.18,19.67,17.06,2508.177500000003,351.34,-790.3199999999997,396.82,17.67,42890.3,43190.98,-241.52999999999884,-1339.1199999999953,-379.11999999999534,-679.7999999999956,5.230000000000004,45.230000000000004,27.25,76.78999999999999,1097.5899999999965,0.0,EntryPreparationState,upper,43570.1,44823.8,0.0,1253.7000000000044,0,0.0,None,0
88,2024-01-04 16:00:00,44089.9,44175.5,43806.1,43941.8,9417.534,413865589.0349,2024-01-04 16:00:00,59.64,43757.63,43033.98,43395.81,44119.45,42672.16,44481.28,42310.34,30.31,-141.58,171.89,25.69,20.31,31.75,37.01,6305.717000000003,355.11,-545.9900000000052,343.38,6.35,43415.31,43800.89,177.64999999999418,-1269.6399999999994,-140.9100000000035,-526.4900000000052,-10.36,29.64,5.380000000000003,171.89000000000001,1447.2899999999936,0.0,EntryPreparationState,upper,43941.8,43389.5,0.0,-552.3000000000029,0,0.0,None,0
158,2024-01-07 14:00:00,44426.7,44509.6,44286.0,44418.9,4205.604,186709718.8261,2024-01-07 14:00:00,67.29,44207.99,43899.83,44053.91,44362.07,43745.76,44516.15,43591.68,108.44,69.55,38.88,26.01,12.87,11.3,11.31,2268.9442142857174,-18.0,-364.98999999999796,254.26,7.75,44122.16,44289.62,-56.830000000001746,-673.1399999999994,-129.27999999999884,-296.73999999999796,-2.7099999999999937,37.290000000000006,13.140000000000002,38.89,616.3099999999977,0.0,EntryPreparationState,upper,44418.9,43922.8,0.0,-496.09999999999854,0,0.0,None,0
180,2024-01-08 12:00:00,44653.9,45211.1,44296.1,45118.0,29919.653,1341776121.9539,2024-01-08 12:00:00,70.54,44451.45,43669.83,44060.64,44842.26,43279.02,45233.07,42888.21,122.37,-3.33,125.7,34.85,14.62,20.78,16.54,7749.960071428575,1746.05,-1057.3600000000006,581.85,13.64,44070.96,44575.82,-275.73999999999796,-1838.9800000000032,-542.1800000000003,-1047.0400000000009,0.5400000000000063,40.540000000000006,20.230000000000004,125.7,1563.2400000000052,0.0,EntryPreparationState,upper,45118.0,46186.3,0.0,1068.300000000003,0,0.0,None,0
206,2024-01-09 14:00:00,46851.0,47017.9,46500.0,46577.7,10961.555,512266948.5714,2024-01-09 14:00:00,56.2,46620.61,46192.33,46406.47,46834.75,45978.19,47048.89,45764.04,347.8,467.04,-119.24,13.75,20.68,32.06,36.72,6516.07335714286,-88.6,-171.22999999999593,-176.66,-1.65,46609.21,46592.21,257.0500000000029,-599.5099999999948,14.510000000002037,31.510000000002037,-13.799999999999997,26.200000000000003,-6.93,-119.24000000000001,856.5599999999977,0.0,EntryPreparationState,upper,46577.7,45455.6,0.0,-1122.0999999999985,0,0.0,None,0
253,2024-01-11 13:00:00,47459.2,47459.3,46741.7,47332.9,17046.147,803389522.1886,2024-01-11 13:00:00,63.08,46951.69,46112.95,46532.32,47371.06,45693.58,47790.43,45274.21,272.01,161.38,110.63,24.36,19.1,21.28,28.69,6673.883714285717,-1180.24,-800.5800000000017,245.53,-1.13,46593.83,47140.07,38.15999999999622,-1639.3199999999997,-192.83000000000175,-739.0699999999997,-6.920000000000002,33.08,5.259999999999998,110.63,1677.479999999996,0.0,EntryPreparationState,upper,47332.9,46040.2,0.0,-1292.7000000000044,0,0.0,None,0
376,2024-01-16 16:00:00,43255.9,43456.2,43003.2,43252.0,11134.851,481192294.9143,2024-01-16 16:00:00,59.61,43096.43,42680.37,42888.4,43304.46,42472.34,43512.49,42264.31,101.71,66.48,35.22,24.43,23.21,13.83,14.83,6707.353357142861,684.89,-363.59999999999854,172.59,6.89,42989.63,43100.28,52.45999999999913,-779.6600000000035,-151.72000000000116,-262.3700000000026,-10.39,29.61,1.2199999999999989,35.22999999999999,832.1200000000026,0.0,EntryPreparationState,upper,43252.0,42964.7,0.0,-287.3000000000029,0,0.0,None,0
477,2024-01-20 21:00:00,41744.8,41874.9,41728.0,41731.1,1543.406,64536233.8812,2024-01-20 21:00:00,57.32,41663.34,41550.5,41606.92,41719.77,41494.08,41776.19,41437.65,32.69,18.38,14.3,21.01,14.97,11.47,14.08,1586.6690000000033,-40.25,-124.18000000000029,43.19,5.19,41621.32,41689.17,-11.330000000001746,-237.0199999999968,-41.93000000000029,-109.77999999999884,-12.68,27.32,6.040000000000001,14.309999999999999,225.68999999999505,0.0,EntryPreparationState,upper,41731.1,41634.7,0.0,-96.40000000000146,0,0.0,None,0
494,2024-01-21 14:00:00,41846.6,41867.8,41745.8,41774.4,1484.448,62064276.4771,2024-01-21 14:00:00,56.32,41762.0,41639.62,41700.81,41823.18,41578.43,41884.37,41517.25,42.89,33.16,9.72,19.54,12.75,10.54,10.18,1109.351000000003,45.09,-73.59000000000378,21.72,0.72,41722.4,41774.39,48.779999999998836,-195.97000000000116,-0.010000000002037268,-52.0,-13.68,26.32,6.789999999999999,9.730000000000004,244.75,0.0,EntryPreparationState,upper,41774.4,41647.1,0.0,-127.30000000000291,0,0.0,None,0
611,2024-01-26 11:00:00,40669.8,41348.3,40662.2,41263.3,19537.447,801643585.9457,2024-01-26 11:00:00,76.59,40511.87,39840.87,40176.37,40847.37,39505.37,41182.87,39169.87,170.14,63.93,106.21,41.02,10.91,16.86,14.31,4942.625857142861,1175.8,-1086.9300000000003,772.08,15.36,40260.31,40686.63,-415.9300000000003,-1757.9300000000003,-576.6700000000055,-1002.9900000000052,6.590000000000003,46.59,30.110000000000003,106.20999999999998,1342.0,0.0,EntryPreparationState,upper,41263.3,41448.8,0.0,185.5,0,0.0,None,0
644,2024-01-27 20:00:00,41883.5,42060.9,41883.5,42039.9,2632.801,110554007.0534,2024-01-27 20:00:00,68.93,41836.72,41622.03,41729.37,41944.06,41514.69,42051.4,41407.35,155.62,175.29,-19.67,27.29,12.25,30.13,37.41,2143.947142857146,89.6,-310.52999999999884,112.91,8.04,41802.88,41904.0,-95.84000000000378,-525.2099999999991,-135.90000000000146,-237.02000000000407,-1.0699999999999932,38.93000000000001,15.04,-19.669999999999987,429.36999999999534,0.0,EntryPreparationState,upper,42039.9,42242.1,0.0,202.1999999999971,0,0.0,None,0
688,2024-01-29 16:00:00,42637.6,43300.0,42501.5,43182.1,24675.665,1059995343.3493,2024-01-29 16:00:00,71.79,42550.39,41975.85,42263.12,42837.67,41688.58,43124.94,41401.31,109.41,33.42,75.99,35.45,15.27,17.77,20.52,5452.492214285717,1586.98,-918.9799999999959,538.8,23.9,42304.28,42636.68,-344.4300000000003,-1493.5199999999968,-545.4199999999983,-877.8199999999997,1.7900000000000063,41.790000000000006,20.180000000000003,75.99,1149.0899999999965,0.0,EntryPreparationState,upper,43182.1,43302.1,0.0,120.0,0,0.0,None,0
