index,start_at,open,high,low,close,volume,turnover,date,rsi,upper1,lower1,middle,upper2,lower2,upper3,lower3,macd,macdsignal,macdhist,p_di,m_di,adx,adxr,volume_ma,volume_ma_diff,middle_diff,band_diff,di_diff,sma,ema,upper_diff,lower_diff,ema_diff,sma_diff,rsi_sell,rsi_buy,dmi_diff,macd_diff,bol_diff,pandl,state,bb_direction,entry_price,exit_price,current_profit,bb_profit,prediction,profit_ma,entry_type,entry_volume
12,2024-01-01 12:00:00,42735.1,42820.0,42657.1,42690.6,2067.997,88409418.4198,2024-01-01 12:00:00,56.38,42708.53,42418.98,42563.75,42853.3,42274.21,42998.07,42129.44,60.3,40.66,19.64,23.16,17.02,13.01,15.34,2221.1313571428605,-153.9,-126.84999999999854,38.31,-0.91,42571.18,42684.87,162.70000000000437,-416.3899999999994,-5.7299999999959255,-119.41999999999825,-13.619999999999997,26.380000000000003,6.140000000000001,19.64,579.0900000000038,0.0,None,None,0.0,0.0,0.0,0.0,0,0.0,None,0
13,2024-01-01 13:00:00,42690.6,42787.5,42651.1,42760.3,1117.358,47739190.7195,2024-01-01 13:00:00,58.77,42732.4,42432.55,42582.47,42882.32,42282.62,43032.24,42132.7,68.51,46.23,22.27,22.06,16.41,13.13,14.97,2019.9217142857174,-201.2,-177.83000000000175,37.74,-1.48,42606.07,42715.04,122.0199999999968,-477.6800000000003,-45.26000000000204,-154.2300000000032,-11.229999999999997,28.770000000000003,5.649999999999999,22.28000000000001,599.6999999999971,0.0,None,None,0.0,0.0,0.0,0.0,0,0.0,None,0
14,2024-01-01 14:00:00,42760.3,42760.3,42605.4,42651.0,1814.759,77427380.815,2024-01-01 14:00:00,53.78,42736.65,42441.34,42589.0,42884.31,42293.69,43031.97,42146.03,65.44,50.07,15.36,20.84,17.13,12.89,14.59,1932.5325714285748,-87.38,-62.0,19.93,-3.03,42647.2,42689.42,233.30999999999767,-357.3099999999977,38.419999999998254,-3.8000000000029104,-16.22,23.78,3.710000000000001,15.369999999999997,590.6199999999953,0.0,None,None,0.0,0.0,0.0,0.0,0,0.0,None,0
15,2024-01-01 15:00:00,42651.0,42890.0,42617.6,42825.1,2622.198,112181028.926,2024-01-01 15:00:00,59.66,42768.8,42454.17,42611.48,42926.12,42296.85,43083.43,42139.53,76.17,55.29,20.88,23.37,15.52,13.41,14.62,1883.5302142857174,-49.0,-213.61999999999534,40.64,2.92,42690.91,42743.69,101.02000000000407,-528.25,-81.40999999999622,-134.18999999999505,-10.340000000000003,29.659999999999997,7.850000000000001,20.880000000000003,629.2700000000041,0.0,None,None,0.0,0.0,0.0,0.0,0,0.0,None,0
16,2024-01-01 16:00:00,42825.1,42909.1,42707.1,42774.3,1950.463,83510478.5986,2024-01-01 16:00:00,57.37,42790.55,42463.43,42626.99,42954.11,42299.87,43117.66,42136.31,79.66,60.16,19.49,22.39,14.43,14.0,14.65,1904.888500000003,21.35,-147.31000000000495,66.77,2.64,42717.86,42755.93,179.80999999999767,-474.4300000000003,-18.37000000000262,-56.44000000000233,-12.630000000000003,27.369999999999997,7.960000000000001,19.5,654.239999999998,0.0,None,None,0.0,0.0,0.0,0.0,0,0.0,None,0
17,2024-01-01 17:00:00,42774.3,42868.0,42750.0,42852.4,1114.03,47686461.3384,2024-01-01 17:00:00,59.92,42822.61,42474.3,42648.46,42996.76,42300.15,43170.92,42125.99,87.72,65.68,22.04,21.45,13.82,14.54,14.73,1734.5137142857172,-170.37,-203.94000000000233,70.36,-1.31,42746.34,42794.52,144.36000000000058,-552.25,-57.88000000000466,-106.06000000000495,-10.079999999999998,29.92,7.629999999999999,22.039999999999992,696.6100000000006,0.0,None,None,0.0,0.0,0.0,0.0,0,0.0,None,0
18,2024-01-01 18:00:00,42852.4,43279.0,42852.3,43153.8,7712.586,332495893.6479,2024-01-01 18:00:00,67.9,42896.88,42496.29,42696.58,43097.17,42296.0,43297.46,42095.71,117.08,75.96,41.12,32.02,11.87,16.78,15.76,2156.8300714285747,422.31,-457.22000000000116,147.2,11.58,42797.11,42938.23,-56.63000000000466,-857.8000000000029,-215.5699999999997,-356.6900000000023,-2.0999999999999943,37.900000000000006,20.150000000000006,41.120000000000005,801.1699999999983,0.0,IdleState,upper,0.0,0.0,0.0,0.0,0,0.0,None,0
19,2024-01-01 19:00:00,43153.8,43604.0,43140.7,43570.1,6668.097,289415040.1985,2024-01-01 19:00:00,75.23,43054.17,42505.38,42779.78,43328.57,42230.98,43602.96,41956.59,171.95,95.16,76.79,37.43,10.18,19.67,17.06,2508.177500000003,351.34,-790.3199999999997,396.82,17.67,42890.3,43190.98,-241.52999999999884,-1339.1199999999953,-379.11999999999534,-679.7999999999956,5.230000000000004,45.230000000000004,27.25,76.78999999999999,1097.5899999999965,0.0,EntryPreparationState,upper,43570.1,44823.8,0.0,1253.7000000000044,0,0.0,None,0
81,2024-01-04 09:00:00,42878.9,43121.0,42878.8,43038.9,2733.749,117569660.5573,2024-01-04 09:00:00,44.65,43448.35,42906.46,43177.41,43719.29,42635.52,43990.23,42364.58,-280.78,-362.38,81.6,14.98,30.87,40.13,40.77,3686.8792857142894,-731.32,138.51000000000204,-59.06,2.09,43038.63,42991.35,680.3899999999994,-403.38000000000466,-47.55000000000291,-0.27000000000407454,-25.35,14.649999999999999,-15.89,81.60000000000002,1083.770000000004,0.0,PositionState,lower,42797.1,43205.0,241.8000000000029,0.0,0,0.0,None,0
82,2024-01-04 10:00:00,43038.9,43130.6,42677.4,43104.0,5803.599,249175653.0781,2024-01-04 10:00:00,45.94,43395.82,42945.01,43170.42,43621.23,42719.6,43846.64,42494.19,-254.02,-340.71,86.68,13.91,31.84,40.06,41.03,3754.68335714286,67.8,66.41999999999825,-209.47,-0.64,43080.07,43036.41,517.2300000000032,-384.40000000000146,-67.58999999999651,-23.93000000000029,-24.060000000000002,15.939999999999998,-17.93,86.68999999999997,901.6300000000047,0.0,PositionState,lower,42797.1,43205.0,306.90000000000146,0.0,0,0.0,None,0
