start_at,open,high,low,close,volume,turnover,date,wclprice,rsi,upper1,lower1,middle,upper2,lower2,upper3,lower3,bbvi,macd,macdsignal,macdhist,p_di,m_di,adx,adxr,volume_ma,volume_ma_diff,middle_diff,band_diff,di_diff,sma,ema,upper_diff,lower_diff,ema_diff,sma_diff,rsi_sell,ema_sma,sma_ema,ema_sma_500,sma_ema_500,rsi_buy,dmi_diff,macd_diff,bol_diff,aroon,adline,mfi,roc,atr,pandl,state,bb_direction,entry_price,exit_price,current_profit,bb_profit,prediction,profit_ma,entry_type,max_pandl,min_pandl,exit_reason
2024-01-01 00:00:00,42324.8,42610.9,42300.2,42517.4,3038.207,129022621.2567,2024-01-01 00:00:00,42486.47,50.93,42629.61,42345.89,42487.75,42771.47,42204.03,42913.33,42062.17,1.33,35.19,68.53,-33.33,20.45,22.83,16.8,17.41,2338.057500000003,47.03,1.2799999999988358,-82.29,5.5,42550.41,42446.2,285.0,-282.4400000000023,-40.270000000004075,63.94000000000233,-19.07,-104.2100000000064,104.2100000000064,0.0,0.0,20.93,-2.379999999999999,-33.34,567.4400000000023,-85.71,1934292.08,29.13,-0.55,244.76,0.0,IdleState,None,0.0,0.0,0.0,0.0,0,0.0,None,0.0,0.0,None
2024-01-01 01:00:00,42517.4,42842.9,42475.1,42661.3,3308.231,141296220.3691,2024-01-01 01:00:00,42660.15,57.34,42634.18,42374.15,42504.17,42764.19,42244.14,42894.21,42114.12,1.22,45.12,63.84,-18.72,24.87,20.47,16.29,17.03,2443.8920714285746,105.83,-155.9800000000032,-69.11,11.52,42554.13,42531.78,104.04000000000087,-416.01000000000204,-128.37000000000262,-106.02000000000407,-12.659999999999997,-22.349999999998545,22.349999999998545,0.0,0.0,27.340000000000003,4.400000000000002,-18.720000000000006,520.0500000000029,21.42,1934333.46,37.56,0.12,253.55,0.0,IdleState,None,0.0,0.0,0.0,0.0,0,0.0,None,0.0,0.0,None
2024-01-01 02:00:00,42661.3,42691.9,42550.8,42631.8,1651.447,70384296.4473,2024-01-01 02:00:00,42626.57,55.82,42631.14,42400.51,42515.82,42746.45,42285.2,42861.76,42169.88,1.08,49.7,61.01,-11.31,23.85,19.63,15.82,16.69,2310.0045714285748,-133.88,-110.75,-66.08,4.24,42553.35,42569.69,119.87999999999738,-341.3700000000026,-56.87999999999738,-73.22000000000116,-14.18,16.340000000003783,-16.340000000003783,0.0,0.0,25.82,4.220000000000002,-11.309999999999995,461.25,21.42,1934578.07,39.74,0.28,245.51,0.0,IdleState,None,0.0,0.0,0.0,0.0,0,0.0,None,0.0,0.0,None
2024-01-01 03:00:00,42631.8,42641.4,42271.5,42384.1,3499.277,148488084.347,2024-01-01 03:00:00,42420.27,47.5,42626.46,42386.98,42506.72,42746.2,42267.24,42865.94,42147.5,1.12,36.27,56.06,-19.79,21.37,25.43,15.31,16.33,2417.2739285714315,107.26,86.45000000000437,-0.03,-9.3,42523.07,42509.92,325.9300000000003,-153.02999999999884,89.65000000000146,102.80000000000291,-22.5,-13.150000000001455,13.150000000001455,0.0,0.0,17.5,-4.059999999999999,-19.79,478.9599999999991,21.42,1933209.2,37.98,-0.19,254.4,0.0,IdleState,None,0.0,0.0,0.0,0.0,0,0.0,None,0.0,0.0,None
2024-01-01 04:00:00,42384.1,42448.0,42250.5,42446.3,1800.157,76253111.4863,2024-01-01 04:00:00,42397.77,46.69,42621.19,42371.5,42496.34,42746.03,42246.66,42870.87,42121.82,1.17,23.53,49.56,-26.02,20.17,24.59,14.92,15.85,2459.503142857146,42.22,98.56999999999971,20.15,-2.84,42492.32,42465.06,348.26000000000204,-151.1099999999933,67.29000000000087,94.55000000000291,-23.310000000000002,-27.260000000002037,27.260000000002037,0.0,0.0,16.689999999999998,-4.419999999999998,-26.03,499.36999999999534,21.42,1934978.37,33.82,-0.34,250.33,0.0,IdleState,None,0.0,0.0,0.0,0.0,0,0.0,None,0.0,0.0,None
2024-01-01 05:00:00,42446.3,42450.0,42211.2,42280.9,1749.233,74039208.443,2024-01-01 05:00:00,42305.75,43.4,42606.62,42349.76,42478.19,42735.06,42221.33,42863.49,42092.9,1.2,5.95,40.84,-34.88,18.79,24.04,14.73,15.77,2400.241000000003,-59.26,172.44000000000233,14.19,-2.03,42457.69,42401.33,429.3099999999977,-84.41999999999825,95.58000000000175,151.94000000000233,-26.6,-56.36000000000058,56.36000000000058,0.0,0.0,13.399999999999999,-5.25,-34.89,513.7299999999959,21.42,1934250.25,34.66,-0.46,249.51,0.0,IdleState,None,0.0,0.0,0.0,0.0,0,0.0,None,0.0,0.0,None
2024-01-01 06:00:00,42280.9,42467.8,42248.5,42431.7,1117.49,47356241.4482,2024-01-01 06:00:00,42394.92,47.27,42594.74,42345.79,42470.26,42719.21,42221.31,42843.69,42096.83,1.17,-0.77,32.51,-33.29,18.11,22.52,14.45,15.64,2303.4543571428603,-96.78,75.34000000000378,-26.79,-0.54,42434.86,42398.77,324.2900000000009,-173.61000000000058,3.849999999998545,39.94000000000233,-22.729999999999997,-36.09000000000378,36.09000000000378,0.0,0.0,17.270000000000003,-4.41,-33.28,497.90000000000146,21.42,1934999.83,31.9,-0.54,247.35,0.0,IdleState,None,0.0,0.0,0.0,0.0,0,0.0,None,0.0,0.0,None
2024-01-01 07:00:00,42431.7,42533.0,42431.6,42531.7,1373.99,58396205.205,2024-01-01 07:00:00,42507.0,51.74,42596.69,42350.83,42473.76,42719.61,42227.91,42842.54,42104.98,1.15,2.89,26.59,-23.69,19.52,21.83,13.82,15.5,2305.068000000003,1.61,-33.23999999999796,-22.05,1.42,42454.1,42442.06,212.61000000000058,-279.0899999999965,-64.94000000000233,-52.900000000001455,-18.259999999999998,-12.040000000000873,12.040000000000873,0.0,0.0,21.740000000000002,-2.3099999999999987,-23.7,491.6999999999971,21.42,1936338.59,31.94,-0.29,236.93,0.0,IdleState,None,0.0,0.0,0.0,0.0,0,0.0,None,0.0,0.0,None
2024-01-01 08:00:00,42531.7,42599.6,42492.7,42596.1,1274.532,54228928.2511,2024-01-01 08:00:00,42571.12,54.14,42606.51,42359.55,42483.03,42730.0,42236.07,42853.48,42112.58,1.16,10.86,23.44,-12.58,20.96,21.09,12.86,15.19,2292.5867857142885,-12.48,-88.09000000000378,2.63,3.59,42485.55,42493.68,158.87999999999738,-335.0500000000029,-77.44000000000233,-85.56999999999971,-15.86,8.12999999999738,-8.12999999999738,0.0,0.0,24.14,-0.129999999999999,-12.580000000000002,493.9300000000003,21.42,1937529.66,31.55,-0.28,227.64,0.0,IdleState,None,0.0,0.0,0.0,0.0,0,0.0,None,0.0,0.0,None
2024-01-01 09:00:00,42596.1,42739.8,42574.1,42696.9,2249.746,95997895.499,2024-01-01 09:00:00,42676.92,57.86,42629.56,42373.44,42501.5,42757.61,42245.38,42885.67,42117.32,1.2,25.41,23.84,1.57,24.33,19.98,12.64,14.9,2359.8187857142884,67.23,-175.41999999999825,28.69,5.91,42506.71,42566.97,80.69000000000233,-431.5400000000009,-109.94999999999709,-170.20999999999913,-12.14,60.26000000000204,-60.26000000000204,0.0,0.0,27.86,4.349999999999998,1.5700000000000003,512.2300000000032,21.42,1938614.48,37.49,0.0,223.21,0.0,IdleState,None,0.0,0.0,0.0,0.0,0,0.0,None,0.0,0.0,None
2024-01-01 10:00:00,42696.9,42796.1,42656.9,42731.4,2127.375,90888986.4814,2024-01-01 10:00:00,42728.95,59.59,42658.5,42387.81,42523.16,42793.85,42252.47,42929.2,42117.12,1.27,40.67,27.2,13.46,25.07,19.06,12.71,14.76,2389.146642857146,29.32,-205.7899999999936,56.75,5.03,42514.36,42631.76,64.90000000000146,-476.4799999999959,-97.18999999999505,-214.5899999999965,-10.409999999999997,117.40000000000146,-117.40000000000146,0.0,0.0,29.590000000000003,6.010000000000002,13.470000000000002,541.3799999999974,21.42,1938764.26,43.42,0.26,217.21,0.0,IdleState,None,0.0,0.0,0.0,0.0,0,0.0,None,0.0,0.0,None
2024-01-01 11:00:00,42731.4,42809.6,42645.6,42735.1,1903.864,81346593.1397,2024-01-01 11:00:00,42731.35,59.67,42684.45,42401.52,42542.99,42825.91,42260.06,42967.37,42118.6,1.33,52.36,32.23,20.12,24.15,18.01,12.84,15.05,2375.0380714285748,-14.1,-188.36000000000058,60.71,0.86,42526.0,42671.6,94.56000000000495,-471.2900000000009,-59.75,-205.34999999999854,-10.329999999999998,145.59999999999854,-145.59999999999854,0.0,0.0,29.67,6.139999999999997,20.130000000000003,565.8500000000058,21.42,1938938.39,49.43,0.3,213.41,0.0,IdleState,None,0.0,0.0,0.0,0.0,0,0.0,None,0.0,0.0,None
2024-01-01 12:00:00,42735.1,42820.0,42657.1,42690.6,2067.997,88409418.4198,2024-01-01 12:00:00,42714.57,58.77,42704.46,42414.19,42559.33,42849.59,42269.06,42994.72,42123.93,1.36,59.58,37.7,21.87,23.16,17.02,13.01,15.34,2221.1313571428605,-153.9,-155.23999999999796,46.73,-0.91,42558.7,42688.78,135.0199999999968,-445.51000000000204,-25.790000000000873,-155.87000000000262,-11.229999999999997,130.08000000000175,-130.08000000000175,0.0,0.0,28.770000000000003,6.140000000000001,21.879999999999995,580.5299999999988,21.42,1937720.95,52.81,0.89,209.8,0.0,IdleState,None,0.0,0.0,0.0,0.0,0,0.0,None,0.0,0.0,None
2024-01-01 13:00:00,42690.6,42787.5,42651.1,42760.3,1117.358,47739190.7195,2024-01-01 13:00:00,42739.8,59.76,42726.36,42426.67,42576.51,42876.21,42276.82,43026.05,42126.98,1.4,66.57,43.48,23.09,22.06,16.41,13.13,14.97,2019.9217142857174,-201.2,-163.29000000000087,42.53,-1.48,42596.7,42709.19,136.40999999999622,-462.9800000000032,-30.610000000000582,-143.10000000000582,-10.240000000000002,112.49000000000524,-112.49000000000524,0.0,0.0,29.759999999999998,5.649999999999999,23.089999999999996,599.3899999999994,14.28,1938392.68,61.98,1.06,204.56,0.0,IdleState,None,0.0,0.0,0.0,0.0,0,0.0,None,0.0,0.0,None
2024-01-01 14:00:00,42760.3,42760.3,42605.4,42651.0,1814.759,77427380.815,2024-01-01 14:00:00,42666.92,55.62,42733.91,42436.34,42585.12,42882.7,42287.55,43031.49,42138.76,1.39,65.48,47.88,17.59,20.84,17.13,12.89,14.59,1932.5325714285748,-87.38,-81.79999999999563,22.37,-3.03,42636.83,42692.28,215.77999999999884,-379.36999999999534,25.360000000000582,-30.089999999996508,-14.380000000000003,55.44999999999709,-55.44999999999709,0.0,0.0,25.619999999999997,3.710000000000001,17.6,595.1499999999942,-28.57,1937646.39,53.56,0.42,201.01,0.0,IdleState,None,0.0,0.0,0.0,0.0,0,0.0,None,0.0,0.0,None
2024-01-01 15:00:00,42651.0,42890.0,42617.6,42825.1,2622.198,112181028.926,2024-01-01 15:00:00,42789.45,60.56,42759.87,42449.29,42604.58,42915.16,42294.0,43070.45,42138.71,1.45,73.65,53.03,20.61,23.37,15.52,13.41,14.62,1883.5302142857174,-49.0,-184.86999999999534,32.5,2.92,42680.67,42731.15,125.7100000000064,-495.4499999999971,-58.299999999995634,-108.77999999999884,-9.439999999999998,50.4800000000032,-50.4800000000032,0.0,0.0,30.560000000000002,7.850000000000001,20.620000000000005,621.1600000000035,71.42,1939019.1,52.36,0.3,206.11,0.0,IdleState,None,0.0,0.0,0.0,0.0,0,0.0,None,0.0,0.0,None
2024-01-01 16:00:00,42825.1,42909.1,42707.1,42774.3,1950.463,83510478.5986,2024-01-01 16:00:00,42791.2,60.63,42785.13,42459.58,42622.36,42947.91,42296.8,43110.69,42134.02,1.52,79.35,58.29,21.05,22.39,14.43,14.0,14.65,1904.888500000003,21.35,-168.8399999999965,62.41,2.64,42712.25,42755.17,156.7100000000064,-494.3999999999942,-36.029999999998836,-78.94999999999709,-9.369999999999997,42.919999999998254,-42.919999999998254,0.0,0.0,30.630000000000003,7.960000000000001,21.059999999999995,651.1100000000006,78.57,1938366.37,59.11,0.38,205.82,0.0,IdleState,None,0.0,0.0,0.0,0.0,0,0.0,None,0.0,0.0,None
2024-01-01 17:00:00,42774.3,42868.0,42750.0,42852.4,1114.03,47686461.3384,2024-01-01 17:00:00,42830.7,62.2,42814.48,42469.92,42642.2,42986.76,42297.64,43159.03,42125.36,1.61,86.06,63.85,22.21,21.45,13.82,14.54,14.73,1734.5137142857172,-170.37,-188.5,70.76,-1.31,42741.09,42785.38,156.06000000000495,-533.0599999999977,-45.31999999999971,-89.61000000000058,-7.799999999999997,44.29000000000087,-44.29000000000087,0.0,0.0,32.2,7.629999999999999,22.21,689.1200000000026,78.57,1939185.84,69.47,0.96,199.54,0.0,IdleState,None,0.0,0.0,0.0,0.0,0,0.0,None,0.0,0.0,None
2024-01-01 18:00:00,42852.4,43279.0,42852.3,43153.8,7712.586,332495893.6479,2024-01-01 18:00:00,43109.72,71.01,42884.05,42489.4,42686.72,43081.37,42292.08,43278.69,42094.75,1.84,112.6,73.6,39.0,32.02,11.87,16.78,15.76,2156.8300714285747,422.31,-423.0,139.01,11.58,42789.18,42915.11,-28.349999999998545,-817.6399999999994,-194.61000000000058,-320.5400000000009,1.0100000000000051,125.93000000000029,-125.93000000000029,0.0,0.0,41.010000000000005,20.150000000000006,39.0,789.2900000000009,92.85,1942372.45,81.43,1.67,215.77,0.0,IdleState,upper,0.0,0.0,0.0,0.0,0,0.0,None,0.0,0.0,None
2024-01-01 19:00:00,43153.8,43604.0,43140.7,43570.1,6668.097,289415040.1985,2024-01-01 19:00:00,43471.22,78.12,43018.21,42504.66,42761.44,43274.98,42247.89,43531.75,41991.12,2.4,160.94,91.07,69.87,37.43,10.18,19.67,17.06,2508.177500000003,351.34,-709.7799999999988,332.41,17.67,42871.65,43137.55,-196.23999999999796,-1223.3300000000017,-333.66999999999825,-599.5699999999997,8.120000000000005,265.90000000000146,-265.90000000000146,0.0,0.0,48.120000000000005,27.25,69.87,1027.0900000000038,100.0,1948064.73,88.99,2.75,233.45,0.0,EntryPreparationState,upper,43570.1,44441.502,0.0,-63.3,0,0.0,SHORT,6.911131027929695,-127.6513326799798,losscut
2024-01-01 20:00:00,43570.1,43909.5,43566.6,43753.4,9272.61,405617567.9288,2024-01-01 20:00:00,43745.72,81.77,43196.87,42513.49,42855.18,43538.56,42171.8,43880.25,41830.11,3.18,218.88,116.63,102.25,42.67,9.15,22.88,18.35,3090.686071428575,582.5,-890.5400000000009,533.27,11.68,42984.36,43380.82,-207.1600000000035,-1573.9199999999983,-364.90000000000146,-761.3600000000006,11.769999999999996,396.4599999999991,-396.4599999999991,0.0,0.0,51.769999999999996,33.52,102.25,1366.7599999999948,100.0,1948894.91,91.11,3.18,241.27,-15.947699999999987,PositionState,upper,43570.1,44441.502,0.0,0.0,0,0.0,None,-3.0590090451935796,-26.669237160346075,None
2024-01-01 21:00:00,43753.4,43855.1,43528.5,43677.7,3978.033,173775943.2765,2024-01-01 21:00:00,43684.75,78.63,43331.71,42536.66,42934.18,43729.23,42139.13,44126.76,41741.61,3.7,256.92,144.69,112.23,38.65,9.39,25.6,19.23,3276.689142857146,186.0,-750.5699999999997,486.92,0.97,43092.16,43502.39,44.4800000000032,-1545.6200000000026,-182.36000000000058,-592.5899999999965,8.629999999999995,410.2299999999959,-410.2299999999959,0.0,0.0,48.629999999999995,29.259999999999998,112.23000000000002,1590.1000000000058,92.85,1948551.43,82.85,2.77,247.36,-10.724399999999878,PositionState,upper,43570.1,44441.502,0.0,0.0,0,0.0,None,-0.435650365732545,-22.923549177073074,None
2024-01-01 22:00:00,43677.7,43726.4,43421.8,43579.6,3014.063,131252975.8913,2024-01-01 22:00:00,43576.85,73.26,43425.38,42565.4,42995.39,43855.37,42135.41,44285.36,41705.42,4.0,275.19,170.79,104.39,35.3,11.6,27.38,20.01,3400.94135714286,124.25,-581.4599999999991,320.52,-9.58,43185.17,43532.17,278.5200000000041,-1441.439999999995,-44.68000000000029,-391.6800000000003,3.260000000000005,347.0,-347.0,0.0,0.0,43.260000000000005,23.699999999999996,104.4,1719.9599999999991,85.71,1948660.28,77.11,2.36,251.45,-3.9554999999998475,PositionState,upper,43570.1,44441.502,0.0,0.0,0,0.0,None,6.911131027929695,-14.061967496057878,None
2024-01-01 23:00:00,43579.6,44284.9,43579.5,44235.5,12697.696,558822825.0947,2024-01-01 23:00:00,44083.85,80.12,43595.1,42603.0,43099.05,44091.15,42106.95,44587.2,41610.9,4.6,326.81,201.99,124.81,43.09,9.54,29.97,21.34,4147.223500000003,746.28,-984.7999999999956,390.38,6.5,43342.6,43752.84,7.30000000000291,-1976.9000000000015,-331.01000000000204,-741.25,10.120000000000005,410.23999999999796,-410.23999999999796,0.0,0.0,50.120000000000005,33.550000000000004,124.82,1984.2000000000044,100.0,1959579.51,81.32,3.29,283.87,-49.21260000000011,PositionState,upper,43570.1,44441.502,0.0,0.0,0,0.0,None,-3.9472328500508413,-52.517238427269874,None
2024-01-02 00:00:00,44235.5,45376.1,44208.7,45187.9,24268.271,1085964133.8931,2024-01-02 00:00:00,44990.14,86.7,43933.65,42624.66,43279.16,44588.15,41970.16,45242.65,41315.66,6.04,435.82,248.76,187.06,55.19,7.25,33.32,23.08,5728.716071428576,1581.49,-1710.979999999996,869.56,22.18,43587.12,44247.76,-401.98999999999796,-3019.979999999996,-742.3799999999974,-1403.0199999999968,16.700000000000003,660.6399999999994,-660.6399999999994,660.6399999999994,0.0,56.7,47.94,187.06,2617.989999999998,71.42,1976023.06,86.62,5.29,346.98,-63.3,PositionState,upper,43570.1,44441.502,0.0,0.0,0,0.0,None,-47.270521068346895,-127.6513326799798,losscut
2024-01-02 01:00:00,45187.9,45493.6,44744.5,44929.4,11581.241,522276568.2614,2024-01-02 01:00:00,45024.22,86.87,44204.01,42686.69,43445.35,44962.67,41928.03,45721.33,41169.37,6.98,518.98,302.8,216.18,49.57,6.22,36.49,24.75,6419.957285714289,691.24,-1578.8700000000026,913.65,7.5,43835.24,44558.34,-61.55000000000291,-3096.1900000000023,-465.88000000000466,-1188.9800000000032,16.870000000000005,723.0999999999985,-723.0999999999985,723.0999999999985,0.0,56.870000000000005,43.35,216.18,3034.6399999999994,78.57,1970159.0,88.11,5.36,375.71,0.0,IdleState,None,0.0,0.0,0.0,0.0,0,0.0,None,0.0,0.0,None
2024-01-02 02:00:00,44929.4,45440.0,44929.4,45430.1,6549.609,295999015.8956,2024-01-02 02:00:00,45307.39,88.26,44486.69,42758.69,43622.69,45350.68,41894.69,46214.68,41030.7,7.92,600.81,362.41,238.4,44.88,5.63,39.43,26.28,6740.072428571431,320.11,-1684.699999999997,795.86,-9.71,44110.42,44857.96,43.29000000000087,-3412.699999999997,-449.4300000000003,-1196.9700000000012,18.260000000000005,747.5400000000009,-747.5400000000009,747.5400000000009,0.0,58.260000000000005,39.25,238.39999999999992,3455.989999999998,78.57,1976454.63,90.82,6.07,385.34,0.0,IdleState,upper,0.0,0.0,0.0,0.0,0,0.0,None,0.0,0.0,None
2024-01-02 03:00:00,45430.1,45578.9,45131.1,45434.1,9517.238,431743504.2989,2024-01-02 03:00:00,45394.55,88.66,44741.62,42841.25,43791.44,45691.8,41891.07,46641.99,40940.88,8.67,665.03,422.93,242.1,43.74,5.17,42.25,27.57,7340.06385714286,599.99,-1603.1100000000006,732.75,-5.36,44364.29,45072.59,297.25,-3503.480000000003,-321.9600000000064,-1030.260000000002,18.659999999999997,708.2999999999956,-708.2999999999956,708.2999999999956,0.0,58.66,38.57,242.09999999999997,3800.730000000003,92.85,1979816.91,91.59,6.21,389.8,0.0,EntryPreparationState,upper,45434.1,43736.2,0.0,108.81182790018939,0,0.0,SHORT,128.71978249816783,-37.13361836153926,normal
2024-01-02 04:00:00,45434.1,45485.2,45201.6,45219.9,4935.6,223743944.2153,2024-01-02 04:00:00,45281.64,84.66,44935.9,42930.82,43933.36,45938.43,41928.29,46940.97,40925.75,9.12,698.76,478.1,220.66,41.42,4.89,44.86,29.14,7562.981071428575,222.91,-1348.2799999999988,550.52,-3.18,44565.45,45156.21,656.7900000000009,-3353.3499999999985,-125.43000000000029,-716.1900000000023,14.659999999999997,590.760000000002,-590.760000000002,590.760000000002,0.0,54.66,36.53,220.65999999999997,4010.1399999999994,92.85,1975518.27,88.74,6.12,382.22,10.189708235399644,PositionState,upper,45434.1,43736.2,0.0,0.0,0,0.0,None,12.051905286997862,-6.6741176781313705,None
2024-01-02 05:00:00,45219.9,45368.5,45160.0,45220.0,2833.337,128260983.2316,2024-01-02 05:00:00,45242.12,83.24,45095.54,43020.46,44058.0,46133.08,41982.92,47170.63,40945.38,9.41,714.07,525.29,188.77,39.75,5.5,47.06,30.53,7578.062428571432,15.08,-1184.1200000000026,386.65,-4.6,44731.72,45190.57,890.9599999999991,-3259.2000000000044,-51.55000000000291,-510.40000000000146,13.239999999999995,458.84999999999854,-458.84999999999854,0.0,0.0,53.239999999999995,34.25,188.7800000000001,4150.1600000000035,85.71,1974315.63,86.06,5.73,369.81,10.183508235399836,PositionState,upper,45434.1,43736.2,0.0,0.0,0,0.0,None,14.79874081361795,1.0315483304390907,None
