Serial,Date,Message,serial,date,message
,,,16385.0,2024-01-01 18:00:00,go to EntryPreparationState
,,,16386.0,2024-01-01 18:00:00,エントリー準備状態に遷移します。
,,,16387.0,2024-01-01 19:00:00,go to PositionState
,,,16388.0,2024-01-01 19:00:00,エントリーイベントが発生。ポジション状態に遷移します。
,,,16389.0,2024-01-01 20:00:00,"Current profit: 183.3000000000029,current price: 43753.4,entry price: 43570.1"
,,,16390.0,2024-01-01 21:00:00,"Current profit: 107.59999999999854,current price: 43677.7,entry price: 43570.1"
,,,16391.0,2024-01-01 22:00:00,"Current profit: 9.5,current price: 43579.6,entry price: 43570.1"
,,,16392.0,2024-01-01 23:00:00,"Current profit: 665.4000000000015,current price: 44235.5,entry price: 43570.1"
,,,16393.0,2024-01-02 00:00:00,"Current profit: 1617.800000000003,current price: 45187.9,entry price: 43570.1"
,,,16394.0,2024-01-02 01:00:00,"Current profit: 1359.300000000003,current price: 44929.4,entry price: 43570.1"
,,,16395.0,2024-01-02 02:00:00,"Current profit: 1860.0,current price: 45430.1,entry price: 43570.1"
,,,16396.0,2024-01-02 03:00:00,"Current profit: 1864.0,current price: 45434.1,entry price: 43570.1"
,,,16397.0,2024-01-02 04:00:00,"Current profit: 1649.800000000003,current price: 45219.9,entry price: 43570.1"
,,,16398.0,2024-01-02 05:00:00,"Current profit: 1649.9000000000015,current price: 45220.0,entry price: 43570.1"
,,,16399.0,2024-01-02 06:00:00,"Current profit: 1633.0,current price: 45203.1,entry price: 43570.1"
,,,16400.0,2024-01-02 07:00:00,"Current profit: 1929.9000000000015,current price: 45500.0,entry price: 43570.1"
,,,16401.0,2024-01-02 08:00:00,"Current profit: 2247.800000000003,current price: 45817.9,entry price: 43570.1"
,,,16402.0,2024-01-02 09:00:00,"Current profit: 2161.5,current price: 45731.6,entry price: 43570.1"
,,,16403.0,2024-01-02 10:00:00,"Current profit: 2088.5999999999985,current price: 45658.7,entry price: 43570.1"
,,,16404.0,2024-01-02 11:00:00,"Current profit: 1925.800000000003,current price: 45495.9,entry price: 43570.1"
,,,16405.0,2024-01-02 12:00:00,"Current profit: 1795.2000000000044,current price: 45365.3,entry price: 43570.1"
,,,16406.0,2024-01-02 13:00:00,"Current profit: 2129.5,current price: 45699.6,entry price: 43570.1"
,,,16407.0,2024-01-02 14:00:00,"Current profit: 1731.2000000000044,current price: 45301.3,entry price: 43570.1"
,,,16408.0,2024-01-02 15:00:00,"Current profit: 1660.2000000000044,current price: 45230.3,entry price: 43570.1"
,,,16409.0,2024-01-02 16:00:00,"Current profit: 1838.7000000000044,current price: 45408.8,entry price: 43570.1"
,,,16410.0,2024-01-02 17:00:00,"Current profit: 1444.300000000003,current price: 45014.4,entry price: 43570.1"
,,,16411.0,2024-01-02 18:00:00,"Current profit: 1632.5,current price: 45202.6,entry price: 43570.1"
,,,16412.0,2024-01-02 19:00:00,"Current profit: 1518.5,current price: 45088.6,entry price: 43570.1"
,,,16413.0,2024-01-02 20:00:00,"Current profit: 1253.7000000000044,current price: 44823.8,entry price: 43570.1"
,,,16414.0,2024-01-02 20:00:00,go to IdleState
,,,16415.0,2024-01-02 20:00:00,アイドル状態に遷移します。
,,,16416.0,2024-01-03 11:00:00,go to EntryPreparationState
,,,16417.0,2024-01-03 11:00:00,エントリー準備状態に遷移します。
,,,16418.0,2024-01-03 12:00:00,go to PositionState
,,,16419.0,2024-01-03 12:00:00,エントリーイベントが発生。ポジション状態に遷移します。
,,,16420.0,2024-01-03 13:00:00,"Current profit: -237.59999999999854,current price: 42559.5,entry price: 42797.1"
,,,16421.0,2024-01-03 14:00:00,"Current profit: -591.1999999999971,current price: 42205.9,entry price: 42797.1"
,,,16422.0,2024-01-03 15:00:00,"Current profit: 214.20000000000437,current price: 43011.3,entry price: 42797.1"
,,,16423.0,2024-01-03 16:00:00,"Current profit: 234.8000000000029,current price: 43031.9,entry price: 42797.1"
