Serial,Date,Message,serial,date,message
,,,161534.0,2020-04-01 00:00:00,
,,,161535.0,2020-04-01 04:00:00,
,,,161536.0,2020-04-01 08:00:00,
,,,161537.0,2020-04-01 12:00:00,
,,,161538.0,2020-04-01 16:00:00,
,,,161539.0,2020-04-01 20:00:00,
,,,161540.0,2020-04-02 00:00:00,
,,,161541.0,2020-04-02 04:00:00,
,,,161542.0,2020-04-02 08:00:00,
,,,161543.0,2020-04-02 12:00:00,go to EntryPreparationState: upper
,,,161544.0,2020-04-02 12:00:00,ボリンジャーバンドに触れた。エントリー準備状態に遷移します。
,,,161545.0,2020-04-02 16:00:00,go to PositionState: upper
,,,161546.0,2020-04-02 16:00:00,エントリーイベントが発生。ポジション状態に遷移します。
,,,161547.0,2020-04-01 00:00:00,go to IdleState: None
,,,161548.0,2020-04-01 00:00:00,ポジションを売却。アイドル状態に遷移します。
,,,161549.0,2020-04-09 12:00:00,
,,,161550.0,2020-04-09 16:00:00,
,,,161551.0,2020-04-09 20:00:00,
,,,161552.0,2020-04-10 00:00:00,
,,,161553.0,2020-04-10 04:00:00,go to EntryPreparationState: lower
,,,161554.0,2020-04-10 04:00:00,ボリンジャーバンドに触れた。エントリー準備状態に遷移します。
,,,161555.0,2020-04-10 08:00:00,go to PositionState: lower
,,,161556.0,2020-04-10 08:00:00,エントリーイベントが発生。ポジション状態に遷移します。
,,,161557.0,2020-04-01 00:00:00,go to IdleState: None
,,,161558.0,2020-04-01 00:00:00,ポジションを売却。アイドル状態に遷移します。
,,,161559.0,2020-04-12 16:00:00,
,,,161560.0,2020-04-12 20:00:00,
,,,161561.0,2020-04-13 00:00:00,
,,,161562.0,2020-04-13 04:00:00,
,,,161563.0,2020-04-13 08:00:00,
,,,161564.0,2020-04-13 12:00:00,
,,,161565.0,2020-04-13 16:00:00,
,,,161566.0,2020-04-13 20:00:00,
,,,161567.0,2020-04-14 00:00:00,
,,,161568.0,2020-04-14 04:00:00,
,,,161569.0,2020-04-14 08:00:00,
,,,161570.0,2020-04-14 12:00:00,
,,,161571.0,2020-04-14 16:00:00,
,,,161572.0,2020-04-14 20:00:00,
,,,161573.0,2020-04-15 00:00:00,
,,,161574.0,2020-04-15 04:00:00,
,,,161575.0,2020-04-15 08:00:00,
,,,161576.0,2020-04-15 12:00:00,
,,,161577.0,2020-04-15 16:00:00,
,,,161578.0,2020-04-15 20:00:00,
,,,161579.0,2020-04-16 00:00:00,
,,,161580.0,2020-04-16 04:00:00,
,,,161581.0,2020-04-16 08:00:00,
,,,161582.0,2020-04-16 12:00:00,
,,,161583.0,2020-04-16 16:00:00,
,,,161584.0,2020-04-16 20:00:00,
,,,161585.0,2020-04-17 00:00:00,
,,,161586.0,2020-04-17 04:00:00,
,,,161587.0,2020-04-17 08:00:00,
,,,161588.0,2020-04-17 12:00:00,
,,,161589.0,2020-04-17 16:00:00,
,,,161590.0,2020-04-17 20:00:00,
,,,161591.0,2020-04-18 00:00:00,
,,,161592.0,2020-04-18 04:00:00,
,,,161593.0,2020-04-18 08:00:00,
,,,161594.0,2020-04-18 12:00:00,
,,,161595.0,2020-04-18 16:00:00,
,,,161596.0,2020-04-18 20:00:00,
,,,161597.0,2020-04-19 00:00:00,
,,,161598.0,2020-04-19 04:00:00,
,,,161599.0,2020-04-19 08:00:00,
,,,161600.0,2020-04-19 12:00:00,
,,,161601.0,2020-04-19 16:00:00,
,,,161602.0,2020-04-19 20:00:00,
,,,161603.0,2020-04-20 00:00:00,
,,,161604.0,2020-04-20 04:00:00,
,,,161605.0,2020-04-20 08:00:00,
,,,161606.0,2020-04-20 12:00:00,
,,,161607.0,2020-04-20 16:00:00,go to EntryPreparationState: lower
,,,161608.0,2020-04-20 16:00:00,ボリンジャーバンドに触れた。エントリー準備状態に遷移します。
