Serial,Date,Message,serial,date,message
,,,1453136.0,2024-04-17 04:00:00,Prediction: 1
,,,1453138.0,2024-04-17 04:00:00,go to EntryPreparationState
,,,1453139.0,2024-04-17 04:00:00,ボリンジャーバンドに触れた。エントリー準備状態に遷移します。
,,,1453147.0,2024-04-17 05:00:00,"Canceled order: ff33f6bd-fbd0-450b-b859-d3f97b2bc034,order_staus: Untriggered"
,,,1453148.0,2024-04-17 05:00:00,go to IdleState
,,,1453149.0,2024-04-17 05:00:00,アイドル状態に遷移します。
,,,1453150.0,2024-04-17 06:00:00,Prediction: 1
,,,1453152.0,2024-04-17 06:00:00,go to EntryPreparationState
,,,1453153.0,2024-04-17 06:00:00,ボリンジャーバンドに触れた。エントリー準備状態に遷移します。
,,,1453154.0,2024-04-17 07:00:00,"Active Postion: 8871c229-1562-4897-9f5c-aae06e043b62,order_staus: Filled"
,,,1453155.0,2024-04-17 07:00:00,go to PositionState
,,,1453156.0,2024-04-17 07:00:00,エントリーイベントが発生。ポジション状態に遷移します。
,,,1453164.0,2024-04-17 08:00:00,"losscut price: 3065.53, PnL: -23.83652538"
,,,1453165.0,2024-04-17 08:00:00,go to IdleState
,,,1453166.0,2024-04-17 08:00:00,ポジションを売却。アイドル状態に遷移します。
