start_at,open,high,low,close,volume,turnover,date,rsi,upper1,lower1,middle,upper2,lower2,upper3,lower3,macd,macdsignal,macdhist,p_di,m_di,adx,adxr,volume_ma,volume_ma_diff,middle_diff,band_diff,di_diff,sma,ema,upper_diff,lower_diff,ema_diff,sma_diff,rsi_sell,rsi_buy,dmi_diff,macd_diff,bol_diff,pandl,state,bb_direction,entry_price,exit_price,current_profit,bb_profit,prediction,profit_ma,entry_type,entry_volume
2023-01-03 11:30:00,1215.65,1216.95,1214.2,1214.65,6582.33,8000219.2785,2023-01-03 11:30:00,46.45,1216.94,1214.38,1215.66,1218.22,1213.1,1219.5,1211.82,0.12,0.25,-0.12,23.29,18.93,11.2,15.37,7146.973571428571,102.9,1.009999999999991,-0.51,3.53,1215.73,1215.38,3.5699999999999363,-1.550000000000182,0.7300000000000182,1.0799999999999272,-23.549999999999997,16.450000000000003,4.359999999999999,-0.13,5.120000000000118,0.0,None,None,0.0,0.0,0.0,0.0,0,0.0,None,0
2023-01-03 12:00:00,1214.65,1215.95,1214.45,1215.45,5012.95,6090911.9015,2023-01-03 12:00:00,49.7,1216.86,1214.42,1215.64,1218.08,1213.2,1219.3,1211.98,0.1,0.22,-0.12,22.11,17.97,11.14,14.87,6920.49357142857,-226.48,0.19000000000005457,-0.41,1.82,1215.67,1215.4,2.6299999999998818,-2.25,-0.049999999999954525,0.22000000000002728,-20.299999999999997,19.700000000000003,4.140000000000001,-0.12,4.879999999999882,0.0,None,None,0.0,0.0,0.0,0.0,0,0.0,None,0
2023-01-03 12:30:00,1215.45,1215.9,1214.45,1215.1,5325.35,6471034.989,2023-01-03 12:30:00,48.32,1216.75,1214.42,1215.59,1217.92,1213.25,1219.09,1212.09,0.04,0.18,-0.13,21.0,17.07,11.08,14.72,6801.177857142858,-119.31,0.4900000000000091,-0.34,-1.39,1215.67,1215.28,2.8200000000001637,-1.849999999999909,0.18000000000006366,0.5700000000001637,-21.68,18.32,3.9299999999999997,-0.13999999999999999,4.670000000000073,0.0,None,None,0.0,0.0,0.0,0.0,0,0.0,None,0
2023-01-03 13:00:00,1215.1,1216.75,1215.05,1215.5,8496.28,10331453.744,2023-01-03 13:00:00,50.03,1216.73,1214.43,1215.58,1217.87,1213.28,1219.02,1212.14,0.04,0.15,-0.11,22.72,16.05,11.52,14.57,6622.771428571429,-178.4,0.07999999999992724,-0.24,1.62,1215.67,1215.37,2.369999999999891,-2.2200000000000273,-0.13000000000010914,0.17000000000007276,-19.97,20.03,6.669999999999998,-0.10999999999999999,4.589999999999918,0.0,None,None,0.0,0.0,0.0,0.0,0,0.0,None,0
2023-01-03 13:30:00,1215.5,1217.45,1215.5,1216.3,3867.05,4703113.4795,2023-01-03 13:30:00,53.35,1216.8,1214.5,1215.65,1217.95,1213.35,1219.1,1212.19,0.09,0.14,-0.04,23.63,14.95,12.3,14.43,6230.097857142858,-392.67,-0.6499999999998636,-0.03,3.73,1215.71,1215.74,1.650000000000091,-2.9500000000000455,-0.5599999999999454,-0.5899999999999181,-16.65,23.35,8.68,-0.05000000000000002,4.600000000000136,0.0,None,None,0.0,0.0,0.0,0.0,0,0.0,None,0
2023-01-03 14:00:00,1216.3,1218.0,1216.25,1217.5,7515.46,9148954.4175,2023-01-03 14:00:00,57.87,1217.0,1214.64,1215.82,1218.19,1213.46,1219.37,1212.28,0.23,0.16,0.07,24.11,14.02,13.31,14.44,6504.742142857142,274.64,-1.6800000000000637,0.21,2.32,1215.79,1216.44,0.6900000000000546,-4.039999999999964,-1.0599999999999454,-1.7100000000000364,-12.130000000000003,27.869999999999997,10.09,0.07,4.730000000000018,0.0,None,None,0.0,0.0,0.0,0.0,0,0.0,None,0
2023-01-03 14:30:00,1217.5,1219.05,1206.05,1210.15,67458.85,81776141.8365,2023-01-03 14:30:00,35.29,1216.94,1213.63,1215.28,1218.59,1211.97,1220.25,1210.31,-0.24,0.08,-0.32,16.1,35.42,15.04,14.89,11035.837142857143,4531.09,5.129999999999882,2.12,-28.93,1215.11,1213.92,8.439999999999827,1.8199999999999363,3.769999999999982,4.959999999999809,-34.71,5.289999999999999,-19.32,-0.32,6.619999999999891,0.0,IdleState,lower,0.0,0.0,0.0,0.0,0,0.0,None,0
2023-01-03 15:00:00,1210.15,1211.5,1206.75,1209.15,33521.51,40542207.796,2023-01-03 15:00:00,33.39,1216.89,1212.5,1214.7,1219.08,1210.31,1221.28,1208.12,-0.69,-0.07,-0.62,14.24,31.32,16.64,15.45,12768.990714285714,1733.15,5.5499999999999545,2.54,-5.76,1214.38,1212.01,9.929999999999836,1.1599999999998545,2.8599999999999,5.230000000000018,-36.61,3.3900000000000006,-17.08,-0.6199999999999999,8.769999999999982,0.0,EntryPreparationState,lower,1209.15,1211.5,0.0,2.349999999999909,0,0.0,None,0
2023-01-05 04:00:00,1252.15,1253.2,1251.7,1252.7,6386.7,7999218.942,2023-01-05 04:00:00,50.39,1255.45,1251.0,1253.22,1257.67,1248.77,1259.9,1246.55,0.6,1.24,-0.63,25.44,21.66,25.95,35.44,7026.886428571429,-164.46,0.5199999999999818,-3.26,-0.55,1253.37,1252.68,4.970000000000027,-3.9300000000000637,-0.01999999999998181,0.6699999999998454,-19.61,20.39,3.780000000000001,-0.64,8.900000000000091,0.0,None,None,0.0,0.0,0.0,0.0,0,0.0,None,0
2023-01-05 04:30:00,1252.7,1253.55,1251.65,1252.65,7577.9,9492787.8665,2023-01-05 04:30:00,50.25,1254.59,1251.75,1253.17,1256.01,1250.33,1257.43,1248.9,0.5,1.09,-0.58,25.18,20.86,24.76,33.75,7139.340714285715,112.45,0.5199999999999818,-4.66,0.19,1252.96,1252.67,3.3599999999999,-2.3200000000001637,0.01999999999998181,0.30999999999994543,-19.75,20.25,4.32,-0.5900000000000001,5.680000000000064,0.0,None,None,0.0,0.0,0.0,0.0,0,0.0,None,0
