,serial,date,cash_in,cash_out,amount,startup_flag
0,677506,2024-01-01 19:00:00,0.0,1000,0.0,1
1,677507,2024-01-02 20:00:00,1083.2053000000003,0,1083.2053000000003,0
2,677508,2024-01-03 12:00:00,0.0,1000,83.2053000000003,0
3,677509,2024-01-04 14:00:00,1060.162,0,1143.3673000000003,0
4,677510,2024-01-04 16:00:00,0.0,1000,143.36730000000034,0
5,677511,2024-01-05 16:00:00,1045.4832,0,1188.8505000000002,0
6,677512,2024-01-07 14:00:00,0.0,1000,188.85050000000024,0
7,677513,2024-01-07 22:00:00,1034.4876000000006,0,1223.3381000000008,0
8,677514,2024-01-08 01:00:00,0.0,1000,223.33810000000085,0
9,677515,2024-01-08 11:00:00,1061.4151,0,1284.7532000000008,0
10,677516,2024-01-08 13:00:00,0.0,1000,284.7532000000008,0
11,677517,2024-01-08 18:00:00,896.3654900000004,0,1181.1186900000012,0
12,677518,2024-01-08 20:00:00,0.0,1000,181.11869000000115,0
13,677519,2024-01-09 21:00:00,1082.7352000000003,0,1263.8538900000015,0
14,677520,2024-01-10 13:00:00,0.0,1000,263.85389000000146,0
15,677521,2024-01-10 17:00:00,1081.8465999999996,0,1345.700490000001,0
16,677522,2024-01-10 23:00:00,0.0,1000,345.7004900000011,0
17,677523,2024-01-11 14:00:00,897.1588799999997,0,1242.8593700000008,0
18,677524,2024-01-12 15:00:00,0.0,1000,242.8593700000008,0
19,677525,2024-01-12 22:00:00,897.3133166666669,0,1140.1726866666677,0
20,677526,2024-01-14 05:00:00,0.0,1000,140.1726866666677,0
21,677527,2024-01-14 06:00:00,979.4170000000001,0,1119.5896866666678,0
22,677528,2024-01-14 20:00:00,0.0,1000,119.58968666666783,0
23,677529,2024-01-15 18:00:00,1032.4556,0,1152.0452866666678,0
24,677530,2024-01-16 13:00:00,0.0,1000,152.04528666666783,0
25,677531,2024-01-17 05:00:00,998.5689999999997,0,1150.6142866666676,0
26,677532,2024-01-18 17:00:00,0.0,1000,150.61428666666757,0
27,677533,2024-01-19 18:00:00,997.2688,0,1147.8830866666676,0
28,677534,2024-01-20 21:00:00,0.0,1000,147.88308666666762,0
29,677535,2024-01-21 16:00:00,1006.1319999999998,0,1154.0150866666675,0
30,677536,2024-01-22 02:00:00,0.0,1000,154.01508666666746,0
31,677537,2024-01-23 22:00:00,1131.9032999999997,0,1285.9183866666672,0
32,677538,2024-01-26 11:00:00,0.0,1000,285.9183866666672,0
33,677539,2024-01-28 04:00:00,896.2926366666663,0,1182.2110233333335,0
34,677540,2024-01-29 16:00:00,0.0,1000,182.21102333333351,0
35,677541,2024-01-30 22:00:00,1004.9799999999998,0,1187.1910233333333,0
36,677542,2024-01-31 00:00:00,0.0,1000,187.1910233333333,0
37,677543,2024-01-31 15:00:00,1026.2189999999998,0,1213.4100233333331,0
38,677544,2024-01-31 18:00:00,0.0,1000,213.41002333333313,0
39,677545,2024-01-31 20:00:00,929.2938999999999,0,1142.703923333333,0
40,677546,2024-02-01 02:00:00,0.0,1000,142.70392333333302,0
41,677547,2024-02-01 16:00:00,1030.7942,0,1173.498123333333,0
42,677548,2024-02-01 20:00:00,0.0,1000,173.49812333333307,0
43,677549,2024-02-02 13:00:00,1018.1830000000002,0,1191.6811233333333,0
44,677550,2024-02-02 16:00:00,0.0,1000,191.6811233333333,0
45,677551,2024-02-03 23:00:00,1010.8656999999996,0,1202.546823333333,0
46,677552,2024-02-04 05:00:00,0.0,1000,202.5468233333329,0
47,677553,2024-02-05 07:00:00,1009.097,0,1211.6438233333329,0
48,677554,2024-02-06 16:00:00,0.0,1000,211.64382333333288,0
49,677555,2024-02-07 03:00:00,1020.6190000000004,0,1232.2628233333332,0
50,677556,2024-02-07 17:00:00,0.0,1000,232.26282333333324,0
51,677557,2024-02-10 08:00:00,1244.8516000000002,0,1477.1144233333334,0
52,677558,2024-02-10 20:00:00,0.0,1000,477.11442333333343,0
53,677559,2024-02-11 20:00:00,1007.3973999999996,0,1484.511823333333,0
54,677560,2024-02-12 00:00:00,0.0,1000,484.51182333333304,0
55,677561,2024-02-12 02:00:00,968.0436000000002,0,1452.5554233333332,0
56,677562,2024-02-12 15:00:00,0.0,1000,452.55542333333324,0
57,677563,2024-02-13 13:00:00,972.2679999999998,0,1424.823423333333,0
58,677564,2024-02-13 15:00:00,0.0,1000,424.82342333333304,0
59,677565,2024-02-14 08:00:00,1124.8601999999998,0,1549.683623333333,0
60,677566,2024-02-14 10:00:00,0.0,1000,549.6836233333329,0
61,677567,2024-02-15 20:00:00,975.5937999999999,0,1525.2774233333328,0
62,677568,2024-02-15 22:00:00,0.0,1000,525.2774233333328,0
63,677569,2024-02-16 02:00:00,1027.5560000000003,0,1552.833423333333,0
64,677570,2024-02-17 10:00:00,0.0,1000,552.833423333333,0
65,677571,2024-02-18 09:00:00,1010.6779999999997,0,1563.5114233333327,0
