,serial,date,cash_in,cash_out,amount,startup_flag
0,8300,2024-01-01 19:00:00,0.0,1000.0,0.0,1
1,8301,2024-01-02 20:00:00,1083.2053000000003,0.0,1083.2053000000003,0
2,8302,2024-01-03 12:00:00,0.0,1000.0,83.2053000000003,0
3,8303,2024-01-04 11:00:00,1025.2530000000004,0.0,1108.4583000000007,0
4,8304,2024-01-04 16:00:00,0.0,1000.0,108.45830000000069,0
5,8305,2024-01-05 01:00:00,959.1436000000001,0.0,1067.6019000000008,0
6,8306,2024-01-07 14:00:00,0.0,1000.0,67.6019000000008,0
7,8307,2024-01-07 16:00:00,962.9651999999999,0.0,1030.5671000000007,0
8,8308,2024-01-08 01:00:00,0.0,1000.0,30.567100000000664,0
9,8309,2024-01-08 06:00:00,1010.7967000000001,0.0,1041.3638000000008,0
10,8310,2024-01-08 12:00:00,0.0,1000.0,41.363800000000765,0
11,8311,2024-01-09 12:00:00,1067.2078000000004,0.0,1108.5716000000011,0
12,8312,2024-01-09 14:00:00,0.0,1000.0,108.57160000000113,0
13,8313,2024-01-09 21:00:00,924.8855999999998,0.0,1033.457200000001,0
14,8314,2024-01-10 13:00:00,0.0,1000.0,33.45720000000097,0
15,8315,2024-01-10 17:00:00,1081.8465999999996,0.0,1115.3038000000006,0
16,8316,2024-01-11 13:00:00,0.0,1000.0,115.30380000000059,0
17,8317,2024-01-11 16:00:00,915.2598999999998,0.0,1030.5637000000004,0
18,8318,2024-01-12 15:00:00,0.0,1000.0,30.56370000000038,0
19,8319,2024-01-14 06:00:00,897.2050000000002,0.0,927.7687000000005,0
20,8320,2024-01-14 21:00:00,0.0,927.7687000000005,0.0,0
21,8321,2024-01-15 04:00:00,927.4305632900001,0.0,927.4305632900001,0
22,8322,2024-01-16 16:00:00,0.0,927.4305632900001,0.0,0
23,8323,2024-01-17 01:00:00,905.982842431143,0.0,905.982842431143,0
24,8324,2024-01-18 17:00:00,0.0,905.982842431143,0.0,0
25,8325,2024-01-19 18:00:00,902.4795990511202,0.0,902.4795990511202,0
26,8326,2024-01-20 21:00:00,0.0,902.4795990511202,0.0,0
27,8327,2024-01-21 05:00:00,893.2354163742515,0.0,893.2354163742515,0
28,8328,2024-01-21 14:00:00,0.0,893.2354163742515,0.0,0
29,8329,2024-01-21 15:00:00,882.1405395002166,0.0,882.1405395002166,0
30,8330,2024-01-22 02:00:00,0.0,882.1405395002166,0.0,0
31,8331,2024-01-23 22:00:00,760.6950757198664,0.0,760.6950757198664,0
32,8332,2024-01-26 11:00:00,0.0,760.6950757198664,0.0,0
33,8333,2024-01-27 08:00:00,768.3872819699907,0.0,768.3872819699907,0
34,8334,2024-01-27 20:00:00,0.0,768.3872819699907,0.0,0
35,8335,2024-01-28 15:00:00,776.9726039394898,0.0,776.9726039394898,0
36,8336,2024-01-29 16:00:00,0.0,776.9726039394898,0.0,0
37,8337,2024-01-30 22:00:00,780.8885943464895,0.0,780.8885943464895,0
38,8338,2024-01-31 00:00:00,0.0,780.8885943464895,0.0,0
39,8339,2024-01-31 15:00:00,801.505161985146,0.0,801.505161985146,0
40,8340,2024-01-31 18:00:00,0.0,801.505161985146,0.0,0
41,8341,2024-01-31 20:00:00,745.1306949505946,0.0,745.1306949505946,0
42,8342,2024-02-02 14:00:00,0.0,745.1306949505946,0.0,0
43,8343,2024-02-02 15:00:00,765.4633636572577,0.0,765.4633636572577,0
44,8344,2024-02-04 05:00:00,0.0,765.4633636572577,0.0,0
45,8345,2024-02-04 11:00:00,772.0741345571889,0.0,772.0741345571889,0
46,8346,2024-02-04 20:00:00,0.0,772.0741345571889,0.0,0
47,8347,2024-02-05 04:00:00,761.6800899131498,0.0,761.6800899131498,0
48,8348,2024-02-07 18:00:00,0.0,761.6800899131498,0.0,0
49,8349,2024-02-10 08:00:00,938.1973456164365,0.0,938.1973456164365,0
50,8350,2024-02-10 20:00:00,0.0,938.1973456164365,0.0,0
51,8351,2024-02-11 20:00:00,945.1194943759021,0.0,945.1194943759021,0
52,8352,2024-02-12 00:00:00,0.0,945.1194943759021,0.0,0
53,8353,2024-02-12 02:00:00,915.193000044462,0.0,915.193000044462,0
54,8354,2024-02-12 15:00:00,0.0,915.193000044462,0.0,0
55,8355,2024-02-13 13:00:00,889.776863144315,0.0,889.776863144315,0
56,8356,2024-02-13 15:00:00,0.0,889.776863144315,0.0,0
57,8357,2024-02-13 20:00:00,923.3220994959387,0.0,923.3220994959387,0
58,8358,2024-02-14 09:00:00,0.0,923.3220994959387,0.0,0
59,8359,2024-02-15 15:00:00,941.1245365676021,0.0,941.1245365676021,0
60,8360,2024-02-15 22:00:00,0.0,941.1245365676021,0.0,0
61,8361,2024-02-16 00:00:00,953.1878255969294,0.0,953.1878255969294,0
62,8362,2024-02-17 10:00:00,0.0,953.1878255969294,0.0,0
63,8363,2024-02-17 20:00:00,937.8213057724596,0.0,937.8213057724596,0
64,8364,2024-02-18 23:00:00,0.0,937.8213057724596,0.0,0
65,8365,2024-02-19 14:00:00,932.3072954634102,0.0,932.3072954634102,0
66,8366,2024-02-19 17:00:00,0.0,932.3072954634102,0.0,0
67,8367,2024-02-20 05:00:00,916.3570813883806,0.0,916.3570813883806,0
68,8368,2024-02-20 12:00:00,0.0,916.3570813883806,0.0,0
69,8369,2024-02-20 15:00:00,885.9533030197988,0.0,885.9533030197988,0
70,8370,2024-02-21 10:00:00,0.0,885.9533030197988,0.0,0
71,8371,2024-02-21 21:00:00,889.4100571198335,0.0,889.4100571198335,0
72,8372,2024-02-23 23:00:00,0.0,889.4100571198335,0.0,0
73,8373,2024-02-24 05:00:00,902.6559039313383,0.0,902.6559039313383,0
74,8374,2024-02-24 18:00:00,0.0,902.6559039313383,0.0,0
75,8375,2024-02-25 15:00:00,903.1539394483649,0.0,903.1539394483649,0
76,8376,2024-02-25 17:00:00,0.0,903.1539394483649,0.0,0
77,8377,2024-02-25 18:00:00,901.2547314481853,0.0,901.2547314481853,0
78,8378,2024-02-26 10:00:00,0.0,901.2547314481853,0.0,0
79,8379,2024-02-26 14:00:00,926.619690834406,0.0,926.619690834406,0
80,8380,2024-02-26 16:00:00,0.0,926.619690834406,0.0,0
81,8381,2024-02-29 17:00:00,1320.2906458546522,0.0,1320.2906458546522,0
82,8382,2024-03-03 08:00:00,0.0,1000.0,320.2906458546522,0
83,8383,2024-03-03 11:00:00,1008.9255,0.0,1329.2161458546523,0
84,8384,2024-03-03 13:00:00,0.0,1000.0,329.21614585465227,0
85,8385,2024-03-05 07:00:00,1177.9432,0.0,1507.1593458546522,0
86,8386,2024-03-05 15:00:00,0.0,1000.0,507.1593458546522,0
87,8387,2024-03-05 16:00:00,941.0440000000006,0.0,1448.2033458546528,0
88,8388,2024-03-05 19:00:00,0.0,1000.0,448.20334585465275,0
89,8389,2024-03-06 04:00:00,1153.4657,0.0,1601.6690458546527,0
90,8390,2024-03-08 12:00:00,0.0,1000.0,601.6690458546527,0
91,8391,2024-03-09 01:00:00,1016.0996000000007,0.0,1617.7686458546534,0
92,8392,2024-03-10 02:00:00,0.0,1000.0,617.7686458546534,0
93,8393,2024-03-10 21:00:00,1009.3192000000001,0.0,1627.0878458546536,0
94,8394,2024-03-10 23:00:00,0.0,1000.0,627.0878458546536,0
95,8395,2024-03-11 06:00:00,1014.3385999999998,0.0,1641.4264458546534,0
96,8396,2024-03-11 08:00:00,0.0,1000.0,641.4264458546534,0
