,serial,init_equity,equity,leverage,contract,qty,entry_price,losscut_price,exit_price,limit_price,pl,pred,tradetype,stage,losscut,entrytime,exittime,direction,startup_flag
0,29607,1000.0,1000.0,3.0,ETHUSDT,1.31,2288.88,2265.9912,0.0,1525.521221374046,0.0,1,LONG_CANCEL,0,0,2024-01-01 09:00:00,2024-01-01 09:30:00,upper,1
1,29608,1000.0,1000.0,3.0,ETHUSDT,1.31,2297.11,2274.1389,0.0,1533.751221374046,0.0,1,LONG_CANCEL,0,0,2024-01-01 10:00:00,2024-01-01 10:30:00,upper,0
2,29609,1000.0,1001.3930000000003,3.0,ETHUSDT,1.3,2301.81,2278.7919,2305.42,1532.579230769231,1.3930000000002107,1,LONG_EXIT,0,0,2024-01-01 11:00:00,2024-01-01 12:00:00,upper,0
3,29610,1000.0,993.671,3.0,ETHUSDT,1.3,2306.17,2329.2317000000003,2308.5,3075.400769230769,-6.328999999999997,0,SHORT_EXIT,0,0,2024-01-01 13:30:00,2024-01-01 15:00:00,upper,0
4,29611,995.0640000000003,1011.7866888000005,3.0,ETHUSDT,1.28,2324.5,2301.255,2340.13,1547.1062499999998,16.72268880000021,1,LONG_EXIT,0,0,2024-01-01 18:30:00,2024-01-01 21:00:00,upper,0
5,29612,1000.0,1000.0,3.0,ETHUSDT,1.28,2347.02,2323.5498,0.0,1565.77,0.0,1,LONG_CANCEL,0,0,2024-01-01 23:30:00,2024-01-02 00:00:00,upper,0
6,29613,1000.0,1000.0,3.0,ETHUSDT,1.27,2371.51,2347.7949000000003,0.0,1584.1084251968505,0.0,1,LONG_CANCEL,0,0,2024-01-02 00:30:00,2024-01-02 01:00:00,upper,0
7,29614,1000.0,1000.0,3.0,ETHUSDT,1.24,2411.14,2387.0286,0.0,1604.688387096774,0.0,1,LONG_CANCEL,0,0,2024-01-02 08:30:00,2024-01-02 09:00:00,upper,0
8,29615,1000.0,1000.0,3.0,ETHUSDT,1.26,2375.84,2399.5984000000003,0.0,3169.490793650794,0.0,0,SHORT_CANCEL,0,0,2024-01-02 15:00:00,2024-01-02 15:30:00,upper,0
9,29616,1000.0,998.1859000000002,3.0,ETHUSDT,1.27,2366.86,2390.5286,2365.69,3154.26157480315,-1.8140999999998715,0,SHORT_EXIT,0,0,2024-01-02 16:00:00,2024-01-02 18:00:00,upper,0
10,29617,1000.0,994.4446,3.0,ETHUSDT,1.26,2372.45,2348.7255,2370.66,1578.799206349206,-5.555400000000009,1,LONG_EXIT,0,0,2024-01-03 02:00:00,2024-01-03 03:30:00,upper,0
11,29618,1000.0,987.4011999999996,3.0,ETHUSDT,1.26,2371.63,2395.3463,2379.01,3165.280793650794,-12.598800000000484,0,SHORT_EXIT,0,0,2024-01-03 08:00:00,2024-01-03 09:00:00,upper,0
12,29619,991.8183888000003,988.2453881169602,3.0,ETHUSDT,1.25,2376.23,2352.4677,2375.99,1582.7752889599997,-3.573000683040183,1,LONG_EXIT,0,0,2024-01-03 09:30:00,2024-01-03 10:00:00,upper,0
13,29620,988.2453881169602,988.2453881169602,3.0,ETHUSDT,1.31,2270.43,2293.1342999999997,0.0,3024.8157924556945,0.0,0,SHORT_CANCEL,0,0,2024-01-03 12:30:00,2024-01-03 13:00:00,upper,0
