Serial,Date,Message,serial,date,message
,,,1605595.0,2024-01-01 00:00:00,
,,,1605596.0,2024-01-01 01:00:00,
,,,1605597.0,2024-01-01 02:00:00,
,,,1605598.0,2024-01-01 03:00:00,
,,,1605599.0,2024-01-01 04:00:00,
,,,1605600.0,2024-01-01 05:00:00,
,,,1605601.0,2024-01-01 06:00:00,
,,,1605602.0,2024-01-01 07:00:00,
,,,1605603.0,2024-01-01 08:00:00,
,,,1605604.0,2024-01-01 09:00:00,
,,,1605605.0,2024-01-01 10:00:00,
,,,1605606.0,2024-01-01 11:00:00,
,,,1605607.0,2024-01-01 12:00:00,
,,,1605608.0,2024-01-01 13:00:00,
,,,1605609.0,2024-01-01 14:00:00,
,,,1605610.0,2024-01-01 15:00:00,
,,,1605611.0,2024-01-01 16:00:00,
,,,1605612.0,2024-01-01 17:00:00,
,,,1605613.0,2024-01-01 18:00:00,go to EntryPreparationState
,,,1605614.0,2024-01-01 18:00:00,エントリー準備状態に遷移します。
,,,1605615.0,2024-01-01 19:00:00,Prediction: 0
,,,1605617.0,2024-01-01 19:00:00,go to PositionState
,,,1605618.0,2024-01-01 19:00:00,エントリーイベントが発生。ポジション状態に遷移します。
,,,1605619.0,2024-01-01 20:00:00,continue Position state pandl:-15.947699999999987
,,,1605620.0,2024-01-01 21:00:00,continue Position state pandl:-10.724399999999878
,,,1605621.0,2024-01-01 22:00:00,continue Position state pandl:-3.9554999999998475
,,,1605622.0,2024-01-01 23:00:00,continue Position state pandl:-49.21260000000011
,,,1605623.0,2024-01-02 00:00:00,losscut price: 44441.502
,,,1605631.0,2024-01-02 00:00:00,go to IdleState
,,,1605632.0,2024-01-02 00:00:00,アイドル状態に遷移します。
,,,1605633.0,2024-01-02 01:00:00,
,,,1605634.0,2024-01-02 02:00:00,go to EntryPreparationState
,,,1605635.0,2024-01-02 02:00:00,エントリー準備状態に遷移します。
,,,1605636.0,2024-01-02 03:00:00,Prediction: 0
,,,1605638.0,2024-01-02 03:00:00,go to PositionState
,,,1605639.0,2024-01-02 03:00:00,エントリーイベントが発生。ポジション状態に遷移します。
,,,1605640.0,2024-01-02 04:00:00,continue Position state pandl:10.189708235399644
,,,1605641.0,2024-01-02 05:00:00,continue Position state pandl:10.183508235399836
,,,1605642.0,2024-01-02 06:00:00,continue Position state pandl:11.231308235399661
,,,1605643.0,2024-01-02 07:00:00,continue Position state pandl:-7.176491764600291
,,,1605644.0,2024-01-02 08:00:00,continue Position state pandl:-26.88629176460038
,,,1605645.0,2024-01-02 09:00:00,continue Position state pandl:-21.535691764600166
,,,1605646.0,2024-01-02 10:00:00,continue Position state pandl:-17.015891764600134
,,,1605647.0,2024-01-02 11:00:00,continue Position state pandl:-6.922291764600436
,,,1605648.0,2024-01-02 12:00:00,continue Position state pandl:1.1749082353997213
,,,1605649.0,2024-01-02 13:00:00,continue Position state pandl:-19.551691764600243
,,,1605650.0,2024-01-02 14:00:00,continue Position state pandl:5.1429082353995685
,,,1605651.0,2024-01-02 15:00:00,continue Position state pandl:9.544908235399612
,,,1605652.0,2024-01-02 16:00:00,continue Position state pandl:-1.522091764600395
,,,1605653.0,2024-01-02 17:00:00,continue Position state pandl:22.930708235399628
,,,1605654.0,2024-01-02 18:00:00,continue Position state pandl:11.26230823539961
,,,1605655.0,2024-01-02 19:00:00,continue Position state pandl:18.33030823539982
,,,1605656.0,2024-01-02 20:00:00,continue Position state pandl:34.747908235399585
,,,1605657.0,2024-01-02 21:00:00,continue Position state pandl:12.812308235399792
,,,1605658.0,2024-01-02 22:00:00,continue Position state pandl:22.279708235399788
,,,1605659.0,2024-01-02 23:00:00,continue Position state pandl:24.50550823539995
,,,1605660.0,2024-01-03 00:00:00,continue Position state pandl:12.471308235399897
,,,1605661.0,2024-01-03 01:00:00,continue Position state pandl:1.026108235399784
,,,1605662.0,2024-01-03 02:00:00,continue Position state pandl:3.797508235399869
,,,1605663.0,2024-01-03 03:00:00,continue Position state pandl:4.653108235399737
,,,1605664.0,2024-01-03 04:00:00,continue Position state pandl:9.786708235399852
,,,1605665.0,2024-01-03 05:00:00,continue Position state pandl:11.045308235399967
,,,1605666.0,2024-01-03 06:00:00,continue Position state pandl:1.1315082353997017
,,,1605667.0,2024-01-03 07:00:00,continue Position state pandl:21.09550823539964
,,,1605668.0,2024-01-03 08:00:00,continue Position state pandl:9.458108235400028
,,,1605669.0,2024-01-03 09:00:00,continue Position state pandl:0.07750823539961438
